kategori,product_id,product_name,product_price
Meyve ve Sebze,6487,Avokado İthal Adet,84.9
Meyve ve Sebze,704,Bezelye - 500 Gr.,42.45
Meyve ve Sebze,5029,Biber Dolmalık - 500 Gr.,19.95
Meyve ve Sebze,8087,Biber Kırmızı - 500 Gr.,129.95
Meyve ve Sebze,9815,Biber Kırmızı Şili Acı - 500 Gr.,99.95
Meyve ve Sebze,7769,Biber Köy - 500 Gr.,24.95
Meyve ve Sebze,9774,Biber Sivri - 500 Gr.,19.95
Meyve ve Sebze,4120,Biber Tatlı - 500 Gr.,14.95
Meyve ve Sebze,7970,Börülce - 500 Gr.,144.95
Meyve ve Sebze,3233,Çilek - 500 Gr.,88.95
Meyve ve Sebze,8096,Deniz Börülcesi Adet,22.9
Meyve ve Sebze,1498,Dereotu Demet,11.9
Meyve ve Sebze,9778,Domates - 500 Gr.,81.45
Meyve ve Sebze,8735,Domates Cherry - 500 Gr.,62.45
Meyve ve Sebze,619,Domates Pembe - 500 Gr.,59.95
Meyve ve Sebze,4455,Domates Salkım - 500 Gr.,52.45
Meyve ve Sebze,4138,Elma Golden - 500 Gr.,67.45
Meyve ve Sebze,8576,Elma Granny Smith - 500 Gr.,72.45
Meyve ve Sebze,4125,Elma Starking - 500 Gr.,62.45
Meyve ve Sebze,6805,Enginar Adet,25.9
Meyve ve Sebze,1247,Erik - 500 Gr.,117.45
Meyve ve Sebze,9703,Fasulye Ayşe Kadın - 500 Gr.,72.45
Meyve ve Sebze,4355,Fasulye Çalı - 500 Gr.,61.45
Meyve ve Sebze,9740,Havuç - 500 Gr.,32.45
Meyve ve Sebze,8547,Hindistan Cevizi,122.9
Meyve ve Sebze,6487,Avokado İthal Adet,84.9
Meyve ve Sebze,704,Bezelye - 500 Gr.,42.45
Meyve ve Sebze,5029,Biber Dolmalık - 500 Gr.,19.95
Meyve ve Sebze,8087,Biber Kırmızı - 500 Gr.,129.95
Meyve ve Sebze,9815,Biber Kırmızı Şili Acı - 500 Gr.,99.95
Meyve ve Sebze,7769,Biber Köy - 500 Gr.,24.95
Meyve ve Sebze,9774,Biber Sivri - 500 Gr.,19.95
Meyve ve Sebze,4120,Biber Tatlı - 500 Gr.,14.95
Meyve ve Sebze,7970,Börülce - 500 Gr.,144.95
Meyve ve Sebze,3233,Çilek - 500 Gr.,88.95
Meyve ve Sebze,8096,Deniz Börülcesi Adet,22.9
Meyve ve Sebze,1498,Dereotu Demet,11.9
Meyve ve Sebze,9778,Domates - 500 Gr.,81.45
Meyve ve Sebze,8735,Domates Cherry - 500 Gr.,62.45
Meyve ve Sebze,619,Domates Pembe - 500 Gr.,59.95
Meyve ve Sebze,4455,Domates Salkım - 500 Gr.,52.45
Meyve ve Sebze,4138,Elma Golden - 500 Gr.,67.45
Meyve ve Sebze,8576,Elma Granny Smith - 500 Gr.,72.45
Meyve ve Sebze,4125,Elma Starking - 500 Gr.,62.45
Meyve ve Sebze,6805,Enginar Adet,25.9
Meyve ve Sebze,1247,Erik - 500 Gr.,117.45
Meyve ve Sebze,9703,Fasulye Ayşe Kadın - 500 Gr.,72.45
Meyve ve Sebze,4355,Fasulye Çalı - 500 Gr.,61.45
Meyve ve Sebze,9740,Havuç - 500 Gr.,32.45
Meyve ve Sebze,8547,Hindistan Cevizi,122.9
Meyve ve Sebze,6487,Avokado İthal Adet,84.9
Meyve ve Sebze,704,Bezelye - 500 Gr.,42.45
Meyve ve Sebze,5029,Biber Dolmalık - 500 Gr.,19.95
Meyve ve Sebze,8087,Biber Kırmızı - 500 Gr.,129.95
Meyve ve Sebze,9815,Biber Kırmızı Şili Acı - 500 Gr.,99.95
Meyve ve Sebze,7769,Biber Köy - 500 Gr.,24.95
Meyve ve Sebze,9774,Biber Sivri - 500 Gr.,19.95
Meyve ve Sebze,4120,Biber Tatlı - 500 Gr.,14.95
Meyve ve Sebze,7970,Börülce - 500 Gr.,144.95
Meyve ve Sebze,3233,Çilek - 500 Gr.,88.95
Meyve ve Sebze,8096,Deniz Börülcesi Adet,22.9
Meyve ve Sebze,1498,Dereotu Demet,11.9
Meyve ve Sebze,9778,Domates - 500 Gr.,81.45
Meyve ve Sebze,8735,Domates Cherry - 500 Gr.,62.45
Meyve ve Sebze,619,Domates Pembe - 500 Gr.,59.95
Meyve ve Sebze,4455,Domates Salkım - 500 Gr.,52.45
Meyve ve Sebze,4138,Elma Golden - 500 Gr.,67.45
Meyve ve Sebze,8576,Elma Granny Smith - 500 Gr.,72.45
Meyve ve Sebze,4125,Elma Starking - 500 Gr.,62.45
Meyve ve Sebze,6805,Enginar Adet,25.9
Meyve ve Sebze,1247,Erik - 500 Gr.,117.45
Meyve ve Sebze,9703,Fasulye Ayşe Kadın - 500 Gr.,72.45
Meyve ve Sebze,4355,Fasulye Çalı - 500 Gr.,61.45
Meyve ve Sebze,9740,Havuç - 500 Gr.,32.45
Meyve ve Sebze,8547,Hindistan Cevizi,122.9
Meyve ve Sebze,6487,Avokado İthal Adet,84.9
Meyve ve Sebze,704,Bezelye - 500 Gr.,42.45
Meyve ve Sebze,5029,Biber Dolmalık - 500 Gr.,19.95
Meyve ve Sebze,8087,Biber Kırmızı - 500 Gr.,129.95
Meyve ve Sebze,9815,Biber Kırmızı Şili Acı - 500 Gr.,99.95
Meyve ve Sebze,7769,Biber Köy - 500 Gr.,24.95
Meyve ve Sebze,9774,Biber Sivri - 500 Gr.,19.95
Meyve ve Sebze,4120,Biber Tatlı - 500 Gr.,14.95
Meyve ve Sebze,7970,Börülce - 500 Gr.,144.95
Meyve ve Sebze,3233,Çilek - 500 Gr.,88.95
Meyve ve Sebze,8096,Deniz Börülcesi Adet,22.9
Meyve ve Sebze,1498,Dereotu Demet,11.9
Meyve ve Sebze,9778,Domates - 500 Gr.,81.45
Meyve ve Sebze,8735,Domates Cherry - 500 Gr.,62.45
Meyve ve Sebze,619,Domates Pembe - 500 Gr.,59.95
Meyve ve Sebze,4455,Domates Salkım - 500 Gr.,52.45
Meyve ve Sebze,4138,Elma Golden - 500 Gr.,67.45
Meyve ve Sebze,8576,Elma Granny Smith - 500 Gr.,72.45
Meyve ve Sebze,4125,Elma Starking - 500 Gr.,62.45
Meyve ve Sebze,6805,Enginar Adet,25.9
Meyve ve Sebze,1247,Erik - 500 Gr.,117.45
Meyve ve Sebze,9703,Fasulye Ayşe Kadın - 500 Gr.,72.45
Meyve ve Sebze,4355,Fasulye Çalı - 500 Gr.,61.45
Meyve ve Sebze,9740,Havuç - 500 Gr.,32.45
Meyve ve Sebze,8547,Hindistan Cevizi,122.9
Et ve Tavuk,8066,Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.,539.8
Et ve Tavuk,11066,Akdeniz Toros Dana Burger 360 Gr,569.9
Et ve Tavuk,11067,Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,349.9
Et ve Tavuk,11068,Akdeniz Toros Dana Sosis 5'li 250 Gr,329.9
Et ve Tavuk,7303,Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,599.8
Et ve Tavuk,9367,Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),429.9
Et ve Tavuk,2907,Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,299.9
Et ve Tavuk,7394,Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.,259.9
Et ve Tavuk,9360,Akdeniz Toros Piliç Izgara Tava (Donuk Olarak Satılır) - 1 Kg.,359.9
Et ve Tavuk,9359,Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,529.9
Et ve Tavuk,11069,Akdeniz Toros Piliç Kangal Sucuk 250 Gr,189.9
Et ve Tavuk,11064,Akdeniz Toros Piliç Nuggut 500 Gr,279.9
Et ve Tavuk,9368,Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),189.9
Et ve Tavuk,12301,Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,519.0
Et ve Tavuk,12297,Apikoğlu Dana Kangal Sucuk 280 Gr,749.9
Et ve Tavuk,12299,Apikoğlu Dana Parmak Sucuk - 500 Gr.,1199.5
Et ve Tavuk,12904,Apikoğlu Dana Yarım Kangal Sucuk 180 Gr,299.9
Et ve Tavuk,12303,Apikoğlu Kurutulmuş Dana Füme Et 100 GR,569.0
Et ve Tavuk,1968,Bolca Hindi Bonfile - 1 Kg.,539.9
