url,name,brand,sku,original_price,member_price,discount,stock,image
https://www.watsons.com.tr/palette-deluxe-uil-ultra-yogun-renk-acici/p/BP_114255,Palette Deluxe Uil Ultra Yoğun Renk Açıcı,PALETTE,114255,"539,90 ₺","379,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hac/ha1/12124624814110/prd-front-114255_1200x1200/prd-front-114255-1200x1200.jpg
https://www.watsons.com.tr/rebul-aqua-kolonya-50-ml/p/BP_168679,Rebul Aqua Kolonya 50 ml,REBUL,168679,"84,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h12/he9/14189101449246/prd-front-168679_1200x1200/prd-front-168679-1200x1200.jpg
https://www.watsons.com.tr/herschel-free-spirit-body-mist-150-ml/p/BP_1381688,Herschel Free Spirit Body Mist 150 ml,HERSCHEL,1381688,"449,90 ₺","269,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h14/h18/9991232094238/prd-front-1381688_1200x1200/prd-front-1381688-1200x1200.jpg
https://www.watsons.com.tr/i-heart-revolution-grapefruit-kas-serumu-jeli/p/BP_1442987,I Heart Revolution Grapefruit Kaş Serumu &amp; Jeli,I HEART REVOLUTION,1442987,"1.064,90 ₺","339,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h25/he6/12761418203166/prd-front-1442987_1200x1200/prd-front-1442987-1200x1200.jpg
https://www.watsons.com.tr/molped-supernight-super-ekonomik-uzun-ped-18-adet/p/BP_1352750,Molped Supernight Süper Ekonomik Uzun Ped 18 Adet,MOLPED,1352750,"288,90 ₺","144,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/haa/h54/9326283554846/prd-front-1352750_1200x1200/prd-front-1352750-1200x1200.png
https://www.watsons.com.tr/martinelia-lets-be-mermaids-oje-seti/p/BP_1441489,,,,N/A,N/A,N/A,,
https://www.watsons.com.tr/lamonde-mystery-body-mist-150-ml/p/BP_1366974,,,,N/A,N/A,N/A,,
https://www.watsons.com.tr/watsons-tuy-dokucu-krem-100-ml/p/BP_1323588,Watsons Tüy Dökücü Krem 100 ml,WATSONS,1323588,"299,90 ₺","99,95 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h15/hf0/9244401139742/prd-front-1323588_1200x1200/prd-front-1323588-1200x1200.png
https://www.watsons.com.tr/loreal-paris-infaillible-3-second-makyaj-sabitleme-spreyi/p/BP_1397312,L'Oreal Paris Infaillible 3-Second Makyaj Sabitleme Spreyi,LOREAL PARIS,1397312,"1.079,90 ₺","647,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h62/h92/10525749313566/prd-front-1397312_1200x1200/prd-front-1397312-1200x1200.jpg
https://www.watsons.com.tr/pure-beauty-cica-soothe-serum-30-ml/p/BP_1326717,Pure Beauty Cica Soothe Serum 30 ml,PURE BEAUTY,1326717,"149,00 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he8/h9b/12270273724446/prd-front-1326717_1200x1200/prd-front-1326717-1200x1200.jpg
https://www.watsons.com.tr/matsu-silk-glaze-isi-koruyucu-sprey-200-ml/p/BP_1485400,Matsu Silk Glaze Isı Koruyucu Sprey 200 ml,MATSU PROFESSIONAL,1485400,"999,90 ₺","699,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h74/h12/13887380619294/prd-front-1485400_1200x1200/prd-front-1485400-1200x1200.jpg
https://www.watsons.com.tr/gillette-venus-comfortglide-breeze-tiras-makinesi-2-adet-yedek-baslik/p/BP_139373,Gillette Venus Comfortglide Breeze Tıraş Makinesi + 2 Adet Yedek Başlık,GILLETTE VENUS,139373,"934,90 ₺","519,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hee/h4b/12993730084894/prd-front-139373_1200x1200/prd-front-139373-1200x1200.jpg
https://www.watsons.com.tr/maybelline-new-york-cloutopia-allik-divine-dreamy-dawn-int-09/p/BP_1480255,,,,"1.199,90 ₺","599,90 ₺",N/A,,
https://www.watsons.com.tr/sensodyne-hizli-rahatlama-dis-macunu-beyazlatici-75-ml/p/BP_154077,Sensodyne Hızlı Rahatlama Diş Macunu Beyazlatıcı 75 ml,SENSODYNE,154077,"379,90 ₺","285,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h94/h6c/13602228961310/prd-front-154077_1200x1200/prd-front-154077-1200x1200.jpg
https://www.watsons.com.tr/pantene-argan-yagi-serum-100-ml/p/BP_140014,Pantene Argan Yağı Serum 100 ml,PANTENE,140014,"544,90 ₺","217,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h15/h38/12501379907614/prd-front-140014_1200x1200/prd-front-140014-1200x1200.jpg
https://www.watsons.com.tr/himalaya-arindirici-neem-ve-cay-agaci-maske-30-ml/p/BP_1340332,,,,N/A,N/A,N/A,,
