url,name,price
https://www.watsons.com.tr/bomb-cosmetics-wild-rose-blaster-banyo-topu-160-g/p/BP_1328215,Bomb Cosmetics Wild Rose Blaster Banyo Topu 160 g,"419,90 ₺"
https://www.watsons.com.tr/revolution-bright-light-aydinlatici-radiance/p/BP_1314824,Revolution Bright Light Aydınlatıcı Radiance,"649,90 ₺"
https://www.watsons.com.tr/volenia-kupe-gumus-renkli-halka/p/BP_1452416,Volenia Küpe Gümüş Renkli Halka,"99,00 ₺"
https://www.watsons.com.tr/dalin-bebek-sampuani-kolay-tarama-badem-ozlu-200-ml/p/BP_1262016,Dalin Bebek Şampuanı Kolay Tarama Badem Özlü 200 ml,"128,90 ₺"
https://www.watsons.com.tr/palette-deluxe-sac-boyasi-3-65-cikolata-kahve/p/BP_135369,Palette Deluxe Saç Boyası 3-65 Çikolata Kahve,"449,90 ₺"
https://www.watsons.com.tr/golden-rose-silky-touch-compact-powder-no-06/p/BP_126760,Golden Rose Silky Touch Compact Powder No: 06,"79,95 ₺"
https://www.watsons.com.tr/golden-rose-plumping-gloss-211/p/BP_1402975,Golden Rose Plumping Gloss 211,"149,00 ₺"
https://www.watsons.com.tr/sinoz-glikoik-asit-isilti-etkili-tonik-200-ml/p/BP_1336580,Sinoz Glikoik Asit Işıltı Etkili Tonik 200 ml,"699,90 ₺"
https://www.watsons.com.tr/urban-care-kuru-sampuan-lychee-breeze-200-ml/p/BP_1418123,Urban Care Kuru Şampuan Lychee Breeze 200 ml,"539,90 ₺"
https://www.watsons.com.tr/maybelline-new-york-super-stay-lumi-matte-fondoten-no-96/p/BP_1425116,Maybelline New York Super Stay Lumi Matte Fondöten No: 96,"1.649,90 ₺"
https://www.watsons.com.tr/rimmel-london-omg-dudak-balmi-004-red-velvet/p/BP_1447173,Rimmel London Omg Dudak Balmı 004 Red Velvet,"1.064,90 ₺"
https://www.watsons.com.tr/essence-8h-matte-comfort-dudak-kalemi-no-07/p/BP_1340829,Essence 8H Matte Comfort Dudak Kalemi No: 07,"105,90 ₺"
https://www.watsons.com.tr/biomagic-sac-boyasi-yogun-kullu-kumral-no-711/p/BP_166698,Biomagic Saç Boyası Yoğun Küllü Kumral No: 7.11,"699,90 ₺"
https://www.watsons.com.tr/palmolive-skin-radiance-avokado-bal-450-ml/p/BP_1410234,Palmolive Skin Radiance Avokado&amp;Bal 450 ml,"342,90 ₺"
https://www.watsons.com.tr/duaderm-yuz-detoks-krem-50-ml/p/BP_1411207,Duaderm Yüz Detoks Krem 50 ml,"1.645,90 ₺"
https://www.watsons.com.tr/slipstop-buzz-kaydirmaz-ayakkabi-kiz-cocuk-33-35/p/BP_1439613,Slipstop Buzz Kaydırmaz Ayakkabı Kız Çocuk 33-35,"149,00 ₺"
https://www.watsons.com.tr/deborah-red-touch-ruj-no-03-pink/p/BP_1319199,N/A,N/A
https://www.watsons.com.tr/volenia-bileklik-altin-renkli-ve-gumus-renkli-yuvarlak-2li-su-yolu/p/BP_1452654,Volenia Bileklik Altın Renkli Ve Gümüş Renkli Yuvarlak 2'li Su Yolu,"199,00 ₺"
https://www.watsons.com.tr/wella-koleston-naturals-sac-boyasi-4-6-kizil-viyole/p/BP_1444667,N/A,"29,95 ₺"
https://www.watsons.com.tr/loreal-paris-bronze-to-paradise-bronzlastirici-pudra-mat/p/BP_1291122,N/A,N/A
https://www.watsons.com.tr/duaderm-serum-hyaluronic-acid-30-ml/p/BP_1393182,N/A,N/A
https://www.watsons.com.tr/natracare-organik-ped-gunluk-ultra-ince-22-adet/p/BP_147937,N/A,N/A
https://www.watsons.com.tr/signal-white-now-sensitive-aninda-beyazlatici-leke-karsiti-75-ml/p/BP_1316427,Signal White Now Sensitive Anında Beyazlatıcı Leke KarşıtI 75 ml,"79,95 ₺"
https://www.watsons.com.tr/kotex-ultra-quadro-gece-16-adet-/p/BP_119561,Kotex Ultra Quadro Gece 16&nbsp;adet&nbsp;&nbsp;&nbsp;&nbsp;,"307,90 ₺"
https://www.watsons.com.tr/sinoz-gunluk-kullanim-fluid-gunes-kremi-spf50-50-ml/p/BP_1392447,Sinoz Günlük Kullanım Fluid Güneş Kremi Spf50+ 50 ml,"899,90 ₺"
https://www.watsons.com.tr/lionesse-cocuk-sac-fircasi-tavsan/p/BP_1423289,Lionesse Çocuk Saç Fırçası&nbsp;Tavşan,"39,95 ₺"
https://www.watsons.com.tr/deborah-like-a-pro-tint-volume-extensions-maskara/p/BP_1404298,Deborah Like A Pro Tint Volume Extensions Maskara,"849,90 ₺"
https://www.watsons.com.tr/flormar-pearly-yari-transparan-parlak-bitisli-sedefli-oje-no-201-luxury-white/p/BP_1478652,Flormar Pearly Yarı Transparan &amp; Parlak Bitişli Sedefli Oje No: 201 Luxury White,"149,90 ₺"
https://www.watsons.com.tr/essence-likit-waterproof-eyeliner/p/BP_162785,Essence Likit Waterproof Eyeliner,"204,90 ₺"
https://www.watsons.com.tr/volenia-bileklik-recine/p/BP_1481137,Volenia Bileklik Reçine,"449,00 ₺"
https://www.watsons.com.tr/celenes-yuz-yikama-jeli-yagli-ve-karma-ciltler-250-ml/p/BP_1253742,Celenes Yüz Yıkama Jeli Yağlı ve Karma Ciltler 250 ml,"699,90 ₺"
https://www.watsons.com.tr/kotex-ultra-quadro-uzun-18-adet/p/BP_119560,Kotex Ultra Quadro Uzun 18 adet,"307,90 ₺"
https://www.watsons.com.tr/ulric-de-varens-sweet-musk-vanille-kadin-body-fragrance-deodorant-150-ml/p/BP_1459878,Ulric de Varens Sweet Musk Vanille Kadın Body Fragrance Deodorant 150 ml,"489,90 ₺"
https://www.watsons.com.tr/hc-care-yogun-vitamin-destekli-sac-kremi-340-ml/p/BP_1404851,HC Care Yoğun Vitamin Destekli Saç Kremi 340 ml,"439,90 ₺"
https://www.watsons.com.tr/wella-koleston-kit-sac-boyasi-kor-ates-kizili-77-44/p/BP_123674,Wella Koleston Kit Saç Boyası Kor Ateş Kızılı 77/44,"549,90 ₺"
https://www.watsons.com.tr/superdrug-finishing-touches-takma-tirnak-french-ombre-24lu/p/BP_1435441,Superdrug Finishing Touches Takma Tırnak French Ombre 24'lü,"349,90 ₺"
https://www.watsons.com.tr/martinelia-world-blisters-ruj-kiraz/p/BP_1441559,N/A,N/A
