TTB İçerik Listesi,,
Katalog Adı,(*) Birim,Katalog Kodu
"Torakotomi, kardiak masaj ile birlikte - RESÜSİTASYON","800,00",ACİL TIP
Torakotomi - RESÜSİTASYON,"600,00",ACİL TIP
Normal doğum - GENİTOÜRİNER,"550,00",ACİL TIP
İntravenöz trombolitik tedavi uygulama ve takip protokolü - KARDİYOVASKÜLER,"300,00",ACİL TIP
"Büyük eklem kapalı çıkık redüksiyonu - ÇIKIKLARIN KAPALI REDÜKSİYONU (alçı, sargı dahil) (ÇKR)","250,00",ACİL TIP
"Deri laserasyonu onarımı, 10 cm’den büyük ve/veya bir çok alanda - YARA VE YANIK BAKIMI","200,00",ACİL TIP
"Yanık debridmanı, %10’dan büyük, ameliyathanede - YARA VE YANIK BAKIMI","200,00",ACİL TIP
Toraks tüpü takılması(göğüs tüpüyle sualtı drenajı) - DİĞER,"200,00",ACİL TIP
"Toraks tüpü takılması, yenidoğan - DİĞER","200,00",ACİL TIP
Larinks yabancı cisim çıkarılması - KULAK BURUN BOĞAZ,"180,00",ACİL TIP
"Kardiyopulmoner resüssitasyon, defibrilasyon ile - RESÜSİTASYON","150,00",ACİL TIP
"Orta eklem  - ÇIKIKLARIN KAPALI REDÜKSİYONU (alçı, sargı dahil) (ÇKR)","150,00",ACİL TIP
Derin apse ve hematom drenajı - YARA VE YANIK BAKIMI,"150,00",ACİL TIP
Derin apse ve hematom drenajı - YARA VE YANIK BAKIMI,"150,00",ACİL TIP
"Kapak kesisi sütüre edilmesi, kirpikli kenar, kaş veya tars onarımı - YARA VE YANIK BAKIMI","150,00",ACİL TIP
Parafimozis redüksiyonu - GENİTOÜRİNER,"125,00",ACİL TIP
"Deri laserasyonu onarımı, 5-10 cm arası, tek bir alanda - YARA VE YANIK BAKIMI","125,00",ACİL TIP
"Yanık debridmanı ve pansumanı, %10’dan büyük bir alanda - YARA VE YANIK BAKIMI","125,00",ACİL TIP
"Periton lavajı, tanısal - GASTROİNTESTİNAL","100,00",ACİL TIP
Perikardiyosentez (ilk işlem) - KARDİYOVASKÜLER,"100,00",ACİL TIP
