product-name,product-price
Kalça Protezi Ameliyatı Fiyatı (SGK'lı),250.000₺ - 350.000₺
Kalça Protezi Ameliyatı Fiyatı (SGK'sız),450.000₺ - 550.000₺
Revizyon Kalça Protezi Ameliyatı Fiyatı (SGK'lı),400.000₺ - 600.000₺
Revizyon Kalça Protezi Ameliyatı Fiyatı (SGK'sız),500.000₺ - 700.000₺
Robotik Kalça Protezi Ameliyatı Fiyatı (SGK'lı),800.000₺ - 900.000₺
Robotik Kalça Protezi Ameliyatı Fiyatı (SGK'sız),800.000₺ - 900.000₺
Diz Protezi Ameliyatı Fiyatı (SGK'lı),200.000₺ - 250.000₺
Diz Protezi Ameliyatı Fiyatı (SGK'sız),250.000₺ - 300.000₺
Revizyon Diz Protezi Ameliyatı Fiyatı (SGK'lı),500.000₺ - 600.000₺
Revizyon Diz Protezi Ameliyatı Fiyatı (SGK'sız),500.000₺ - 600.000₺
Robotik Diz Protezi Ameliyatı Fiyatı (SGK'lı),700.000₺ - 800.000₺
Robotik Diz Protezi Ameliyatı Fiyatı (SGK'sız),700.000₺ - 800.000₺
Omuz Protezi Ameliyatı Fiyatı (SGK'lı),250.000₺ - 300.000₺
Omuz Protezi Ameliyatı Fiyatı (SGK'sız),350.000₺ - 400.000₺
Kalça Artroskopisi Ameliyatı Fiyatı (SGK'lı),200.000₺ - 250.000₺
Kalça Artroskopisi Ameliyatı Fiyatı (SGK'sız),300.000₺ - 320.000₺
YTO Ameliyatı Fiyatı (SGK'lı),200.000₺ - 250.000₺
YTO Ameliyatı Fiyatı (SGK'sız),320.000₺ - 350.000₺
Ön Çapraz Bağ Ameliyatı Fiyatı (SGK'lı),200.000₺ - 250.000₺
Ön Çapraz Bağ Ameliyatı Fiyatı (SGK'sız),250.000₺ - 300.000₺
Arka Çapraz Bağ Ameliyatı Fiyatı (SGK'lı),220.000₺ - 280.000₺
Arka Çapraz Bağ Ameliyatı Fiyatı (SGK'sız),300.000₺ - 350.000₺
Menisküs Ameliyatı Fiyatı (SGK'lı),180.000₺ - 200.000₺
Menisküs Ameliyatı Fiyatı (SGK'sız),220.000₺ - 250.000₺
MPFL Ameliyatı Fiyatı (SGK'lı),220.000₺ - 250.000₺
MPFL Ameliyatı Fiyatı (SGK'sız),280.000₺ - 300.000₺
Ayak Bileği Artroskopisi Ameliyatı Fiyatı (SGK'lı),150.000₺ - 200.000₺
Ayak Bileği Artroskopisi Ameliyatı Fiyatı (SGK'sız),200.000₺ - 250.000₺
Os Trigonum Ameliyatı Fiyatı (SGK'lı),150.000₺ - 180.000₺
Os Trigonum Ameliyatı Fiyatı (SGK'sız),200.000₺ - 220.000₺
Mozaikplasti Ameliyatı Fiyatı (SGK'lı),200.000₺ - 250.000₺
Mozaikplasti Ameliyatı Fiyatı (SGK'sız),250.000₺ - 300.000₺
Mikrokırık Ameliyatı Fiyatı (SGK'lı),150.000₺ - 200.000₺
Mikrokırık Ameliyatı Fiyatı (SGK'sız),180.000₺ - 200.000₺
Omuz Artroskopisi Fiyatı (SGK'lı),180.000₺ - 200.000₺
Omuz Artroskopisi Fiyatı (SGK'sız),250.000₺ - 280.000₺
Haglund Ameliyatı Fiyatı (SGK'lı),200.000₺ - 230.000₺
Haglund Ameliyatı Fiyatı (SGK'sız),250.000₺ - 280.000₺
Freiberg Ameliyatı Fiyatı (SGK'lı),120.000₺ - 150.000₺
Freiberg Ameliyatı Fiyatı (SGK'sız),150.000₺ - 200.000₺
Halluks Valgus Ameliyatı Fiyatı (SGK'lı),150.000₺ - 170.000₺
Halluks Valgus Ameliyatı Fiyatı (SGK'sız),180.000₺ - 200.000₺
Dirsek Artroskopisi Ameliyatı Fiyatı (SGK'lı),180.000₺ - 200.000₺
Dirsek Artroskopisi Ameliyatı Fiyatı (SGK'sız),220.000₺ - 250.000₺
Skafoid Kırığı Ameliyatı Fiyatı (SGK'lı),170.000₺ - 200.000₺
Skafoid Kırığı Ameliyatı Fiyatı (SGK'sız),200.000₺ - 250.000₺
