product_name,product_price
Ananas Adet,"189,90"
Armut Deveci - 500 Gr._1kg,"(124,90 / Kg)"
Armut Santa Maria - 500 Gr._1kg,"(159,90 / Kg)"
Avokado Adet,"98,90"
Ayva - 500 Gr._1kg,"(269,90 / Kg)"
Bakla Taze - 500 Gr._1kg,"(219,90 / Kg)"
Bal Kabağı - 500 Gr._1kg,"(54,90 / Kg)"
Biber Dolmalık - 500 Gr._1kg,"(122,90 / Kg)"
Biber Kırmızı - 500 Gr._1kg,"(99,90 / Kg)"
Biber Kırmızı Şili Acı - 500 Gr._1kg,"(149,90 / Kg)"
Biber Tatlı - 500 Gr._1kg,"(72,90 / Kg)"
Çilek - 500 Gr._1kg,"(309,90 / Kg)"
Dereotu Demet,"9,90"
Domates - 500 Gr._1kg,"(67,90 / Kg)"
Domates Cherry - 500 Gr._1kg,"(94,90 / Kg)"
Domates Pembe - 500 Gr._1kg,"(92,90 / Kg)"
Domates Salkım - 500 Gr._1kg,"(57,90 / Kg)"
Elma Golden - 500 Gr._1kg,"(129,90 / Kg)"
Elma Granny Smith - 500 Gr._1kg,"(174,90 / Kg)"
Elma Starking - 500 Gr._1kg,"(104,90 / Kg)"
Greyfurt - 500 Gr._1kg,"(64,90 / Kg)"
Havuç - 500 Gr._1kg,"(19,90 / Kg)"
Hindistan Cevizi,"122,90"
Ispanak - 500 Gr._1kg,"(74,90 / Kg)"
Kabak - 500 Gr._1kg,"(124,90 / Kg)"
Karnabahar - 2 Kg._1kg,"(39,90 / Kg)"
Kereviz - 750 Gr._1kg,"(52,91 / Kg)"
Kestane - 500 Gr._1kg,"(399,90 / Kg)"
Kivi - 500 Gr._1kg,"(179,90 / Kg)"
Kumkuat - 500 Gr._1kg,"(172,90 / Kg)"
"Lahana - 2,5 Kg._1kg","(19,90 / Kg)"
Lahana Brüksel Paket,"109,90"
"Lahana Kırmızı - 1,5 Kg._1kg","(23,90 / Kg)"
Limon - 500 Gr._1kg,"(129,90 / Kg)"
Manav Erüst Atıştırmalık Domates 250 Gr,"72,90"
Manav Erüst Çıtır Marul 100 Gr,"174,90"
Manav Erüst Dağ Salata Kekikli 125 Gr,"174,90"
Manav Erüst Deniz Salata Fesleğenli 125 Gr,"174,90"
Manav Erüst Kekik 25 Gr,"149,90"
Manav Erüst Maskolin 150 Gr,"174,90"
Manav Erüst Rozmarin Biberiye 25 Gr,"149,90"
Manav Verita Avokado Adet,"114,90"
Manav Verita Çarkıfelek 3'lü Paket,"199,90"
Manav Verita Doğranmış Hindistan Cevizi 200 Gr,"174,90"
Manav Verita Ejder Meyvesi Tekli Paket,"339,90"
Manav Verita Mango Paket,"154,90"
Manav Verita Zencefil 250 Gr,"94,90"
Manav Zerdeçal 100 Gr (Paket),"64,90"
Mango Adet,"99,90"
Mantar Paket 400 Gr,"84,90"
Marul Adet,"57,90"
Marul Iceberg Adet,"79,90"
Marul Kıvırcık Adet,"57,90"
Maydanoz Demet,"9,90"
