kategori,product_name,product_price
Meyve ve Sebze,Armut Santa Maria - 500 Gr.,"82,45"
Meyve ve Sebze,Avokado Adet,"137,90"
Meyve ve Sebze,Bakla Taze - 500 Gr.,"54,95"
Meyve ve Sebze,Biber Dolmalık - 500 Gr.,"112,45"
Meyve ve Sebze,Biber Kırmızı - 500 Gr.,"119,95"
Meyve ve Sebze,Biber Kırmızı Şili Acı - 500 Gr.,"144,95"
Meyve ve Sebze,Biber Köy - 500 Gr.,"109,95"
Meyve ve Sebze,Biber Sivri - 500 Gr.,"97,45"
Meyve ve Sebze,Biber Tatlı - 500 Gr.,"133,95"
Meyve ve Sebze,Dereotu Demet,"11,90"
Meyve ve Sebze,Domates - 500 Gr.,"79,95"
Meyve ve Sebze,Domates Pembe - 500 Gr.,"87,45"
Meyve ve Sebze,Domates Salkım - 500 Gr.,"69,95"
Meyve ve Sebze,Elma Golden - 500 Gr.,"72,45"
Meyve ve Sebze,Elma Starking - 500 Gr.,"59,95"
Meyve ve Sebze,Fasulye Çalı - 500 Gr.,"127,45"
Meyve ve Sebze,Greyfurt - 500 Gr.,"31,45"
Meyve ve Sebze,Havuç - 500 Gr.,"24,95"
Meyve ve Sebze,Hindistan Cevizi,"122,90"
Meyve ve Sebze,Kabak - 500 Gr.,"34,95"
Meyve ve Sebze,Karnabahar - 2 Kg.,"151,80"
Meyve ve Sebze,Karpuz - 10 Kg.,"699,00"
Meyve ve Sebze,Kavun - 5 Kg.,"1.499,50"
Meyve ve Sebze,Kereviz - 750 Gr.,"44,18"
Meyve ve Sebze,"Lahana - 2,5 Kg.","44,75"
Meyve ve Sebze,"Lahana Kırmızı - 1,5 Kg.","59,85"
Meyve ve Sebze,Limon - 500 Gr.,"64,95"
Meyve ve Sebze,Manav Alabaş Turp (Kohlrabi) - 1 Kg.,"46,90"
Meyve ve Sebze,Manav Erüst Kekik 25 Gr,"149,90"
Meyve ve Sebze,Manav Erüst Rozmarin Biberiye 25 Gr,"149,90"
Meyve ve Sebze,Manav Zerdeçal 100 Gr (Paket),"74,90"
Meyve ve Sebze,Mango Adet,"99,90"
Meyve ve Sebze,Mantar Paket 400 Gr,"92,90"
Meyve ve Sebze,Marul Adet,"84,90"
Meyve ve Sebze,Marul Iceberg Adet,"125,90"
Meyve ve Sebze,Marul Kıvırcık Adet,"84,90"
Meyve ve Sebze,Maydanoz Demet,"11,90"
Meyve ve Sebze,Muz Yerli - 500 Gr.,"54,95"
Meyve ve Sebze,Patates - 500 Gr.,"16,45"
Meyve ve Sebze,Patlıcan - 500 Gr.,"44,95"
Meyve ve Sebze,Patlıcan Topan - 500 Gr.,"52,45"
Meyve ve Sebze,Pırasa - 500 Gr.,"24,95"
Meyve ve Sebze,Portakal - 500 Gr.,"29,95"
Meyve ve Sebze,Roka Demet,"11,90"
Meyve ve Sebze,Salatalık Silör - 500 Gr.,"62,45"
Meyve ve Sebze,Sarımsak Paket 250 Gr,"114,90"
Meyve ve Sebze,Soğan Beyaz - 500 Gr.,"32,95"
Meyve ve Sebze,Soğan Kırmızı - 500 Gr.,"37,45"
Meyve ve Sebze,Soğan Kuru - 500 Gr.,"9,45"
Meyve ve Sebze,Soğan Taze - 500 Gr.,"59,95"
Meyve ve Sebze,Soğan Yahnilik - 500 Gr.,"67,45"
Meyve ve Sebze,Tere Demet,"11,90"
Meyve ve Sebze,Zencefil - 500 Gr.,"122,45"
Et ve Tavuk,Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.,"539,80"
Et ve Tavuk,Akdeniz Toros Dana Burger 360 Gr,"569,90"
Et ve Tavuk,Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,"349,90"
Et ve Tavuk,Akdeniz Toros Dana Sosis 5'li 250 Gr,"329,90"
Et ve Tavuk,Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,"599,80"
Et ve Tavuk,Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),"429,90"
Et ve Tavuk,Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,"299,90"
Et ve Tavuk,Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.,"259,90"
Et ve Tavuk,Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,"529,90"
Et ve Tavuk,Akdeniz Toros Piliç Kangal Sucuk 250 Gr,"189,90"
Et ve Tavuk,Akdeniz Toros Piliç Nuggut 500 Gr,"279,90"
Et ve Tavuk,Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),"189,90"
Et ve Tavuk,Apikoğlu Dana Antrikot Pastırma 70 Gr,"259,90"
Et ve Tavuk,Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,"485,00"
Et ve Tavuk,Apikoğlu Dana Kangal Sucuk - 500 Gr.,"1.199,50"
Et ve Tavuk,Apikoğlu Dana Kangal Sucuk 280 Gr,"749,90"
Et ve Tavuk,Apikoğlu Dana Parmak Sucuk - 500 Gr.,"1.199,50"
Et ve Tavuk,Apikoğlu Kurutulmuş Dana Füme Et 100 GR,"519,00"
Et ve Tavuk,Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,"359,90"
Et ve Tavuk,Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,"299,90"
Et ve Tavuk,Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr,"299,90"
Et ve Tavuk,Çapanoğlu Fümechef Karabiberli Dana Rosatbeef 100 Gr,"299,90"
Et ve Tavuk,Cumhuriyet Acılı Parmak Sucuk - 500 Gr.,"899,95"
Et ve Tavuk,Cumhuriyet Çemeni Sıyrılmış Pastırma 90 Gr,"399,90"
Et ve Tavuk,Cumhuriyet Kangal Fermente Sucuk - 500 Gr.,"899,95"
Et ve Tavuk,Cumhuriyet Küvet Sucuk 300 Gr,"659,90"
Et ve Tavuk,Dana Haşlamalık Et - 500 Gr.,"579,95"
Et ve Tavuk,Dana İşkembe - 500 Gr.,"99,95"
Et ve Tavuk,Dana Kol Kuşbaşı - 500 Gr.,"549,95"
Et ve Tavuk,Dana Kol Kuşbaşı Kıymalık - 500 Gr.,"549,95"
Et ve Tavuk,Dana Kontrfile - 500 Gr.,"769,95"
Et ve Tavuk,Dana Nuar - 500 Gr.,"579,95"
Et ve Tavuk,Dana Sote - 500 Gr.,"609,95"
Et ve Tavuk,Erpiliç But - 1 Kg.,"149,90"
Et ve Tavuk,Erpiliç Schnitzel 300 Gr,"89,90"
Et ve Tavuk,Fümechef Cotto Dana,"299,90"
Et ve Tavuk,Fümechef Sade Roastbeef Dana,"299,90"
Et ve Tavuk,Gedik Baget Pi - 1 Kg.,"159,90"
Et ve Tavuk,Gedik Izgara - Tava Pi - 1 Kg.,"319,90"
Et ve Tavuk,Gedik Poşet Bütün Pi - 2 Kg.,"279,80"
Et ve Tavuk,Gürmar Dana Kangal Sucuk - 500 Gr.,"899,95"
Et ve Tavuk,"Kuzu But İnciksiz - 2,5 Kg.","2.699,75"
Et ve Tavuk,"Kuzu But Tandır - 1,5 Kg.","1.994,85"
Et ve Tavuk,Kuzu Gerdan - 500 Gr.,"484,95"
Et ve Tavuk,"Kuzu Kol - 1,5 Kg.","1.544,85"
Et ve Tavuk,Kuzu Pirzola - 500 Gr.,"814,95"
Et ve Tavuk,Kuzu Şiş - 500 Gr.,"744,95"
Et ve Tavuk,Lezita But - 1 Kg.,"135,00"
Et ve Tavuk,Lezita But Izgara Derisiz - 1 Kg.,"279,90"
Et ve Tavuk,Lezita Fileto - 1 Kg.,"225,00"
Et ve Tavuk,Lezita Piliç Baton Sucuk 450 Gr,"119,90"
Et ve Tavuk,Lezita Piliç Yaprak Döner 200 gr,"129,90"
Et ve Tavuk,"Lezita Poşetli Bütün Piliç - 1,5 Kg.","209,85"
Et ve Tavuk,Maret Afiyetle Dana Kokteyl Sosis 200 gr,"219,90"
Et ve Tavuk,Maret Afiyetle Dana Sucuk 200 Gr,"230,00"
Et ve Tavuk,Maret Boncuk Sucuk 220 Gr,"349,90"
Et ve Tavuk,Maret Çemeni Sıyrılmış Pastırma 100 Gr,"379,90"
Et ve Tavuk,Maret Küvet Sucuk 300 Gr,"259,90"
Et ve Tavuk,Maret Lezzetince Hindi Füme 110 Gr,"96,50"
Et ve Tavuk,Maret Pratik Dana Macar Salam 50 Gr,"59,90"
Et ve Tavuk,Maret Pratik Hindi Füme 60 Gr,"49,90"
Et ve Tavuk,Maret Pratik Hindi Salam 8 Dilim 60 gr,"34,90"
Et ve Tavuk,Maret Pratik Sosis 140 Gr,"69,90"
Et ve Tavuk,Maret Sosis 5'li 240 Gr,"299,90"
Et ve Tavuk,Namet 7/24 Dana Jambon 50 Gr,"84,90"
Et ve Tavuk,Namet 7/24 Hindi Füme 60 Gr,"34,95"
Et ve Tavuk,Namet 7/24 Hindi Salam 60 Gr,"27,90"
Et ve Tavuk,Namet 7/24 Hindi Sosis 140 Gr,"59,90"
