product-name,kategori,product_price
Avokado İthal Adet,Meyve ve Sebze,84.9
Bakla Taze - 500 Gr.,Meyve ve Sebze,42.45
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,19.95
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,124.95
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,99.95
Biber Köy - 500 Gr.,Meyve ve Sebze,27.45
Biber Sivri - 500 Gr.,Meyve ve Sebze,23.95
Biber Tatlı - 500 Gr.,Meyve ve Sebze,19.95
Çilek - 500 Gr.,Meyve ve Sebze,104.95
Dereotu Demet,Meyve ve Sebze,11.9
Domates - 500 Gr.,Meyve ve Sebze,84.95
Domates Cherry - 500 Gr.,Meyve ve Sebze,62.95
Domates Pembe - 500 Gr.,Meyve ve Sebze,62.95
Domates Salkım - 500 Gr.,Meyve ve Sebze,60.95
Elma Golden - 500 Gr.,Meyve ve Sebze,67.45
Elma Granny Smith - 500 Gr.,Meyve ve Sebze,84.95
Elma Starking - 500 Gr.,Meyve ve Sebze,64.95
Enginar Adet,Meyve ve Sebze,32.9
Erik - 500 Gr.,Meyve ve Sebze,219.95
Fasulye Ayşe Kadın - 500 Gr.,Meyve ve Sebze,89.95
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,62.45
Havuç - 500 Gr.,Meyve ve Sebze,18.45
Hindistan Cevizi,Meyve ve Sebze,122.9
Kabak - 500 Gr.,Meyve ve Sebze,24.95
Kabak Girit - 500 Gr.,Meyve ve Sebze,62.45
Avokado İthal Adet,Meyve ve Sebze,84.9
Bakla Taze - 500 Gr.,Meyve ve Sebze,42.45
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,19.95
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,124.95
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,99.95
Biber Köy - 500 Gr.,Meyve ve Sebze,27.45
Biber Sivri - 500 Gr.,Meyve ve Sebze,23.95
Biber Tatlı - 500 Gr.,Meyve ve Sebze,19.95
Çilek - 500 Gr.,Meyve ve Sebze,104.95
Dereotu Demet,Meyve ve Sebze,11.9
Domates - 500 Gr.,Meyve ve Sebze,84.95
Domates Cherry - 500 Gr.,Meyve ve Sebze,62.95
Domates Pembe - 500 Gr.,Meyve ve Sebze,62.95
Domates Salkım - 500 Gr.,Meyve ve Sebze,60.95
Elma Golden - 500 Gr.,Meyve ve Sebze,67.45
Elma Granny Smith - 500 Gr.,Meyve ve Sebze,84.95
Elma Starking - 500 Gr.,Meyve ve Sebze,64.95
Enginar Adet,Meyve ve Sebze,32.9
Erik - 500 Gr.,Meyve ve Sebze,219.95
Fasulye Ayşe Kadın - 500 Gr.,Meyve ve Sebze,89.95
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,62.45
Havuç - 500 Gr.,Meyve ve Sebze,18.45
Hindistan Cevizi,Meyve ve Sebze,122.9
Kabak - 500 Gr.,Meyve ve Sebze,24.95
Kabak Girit - 500 Gr.,Meyve ve Sebze,62.45
Avokado İthal Adet,Meyve ve Sebze,84.9
Bakla Taze - 500 Gr.,Meyve ve Sebze,42.45
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,19.95
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,124.95
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,99.95
Biber Köy - 500 Gr.,Meyve ve Sebze,27.45
Biber Sivri - 500 Gr.,Meyve ve Sebze,23.95
Biber Tatlı - 500 Gr.,Meyve ve Sebze,19.95
Çilek - 500 Gr.,Meyve ve Sebze,104.95
Dereotu Demet,Meyve ve Sebze,11.9
Domates - 500 Gr.,Meyve ve Sebze,84.95
Domates Cherry - 500 Gr.,Meyve ve Sebze,62.95
Domates Pembe - 500 Gr.,Meyve ve Sebze,62.95
Domates Salkım - 500 Gr.,Meyve ve Sebze,60.95
Elma Golden - 500 Gr.,Meyve ve Sebze,67.45
Elma Granny Smith - 500 Gr.,Meyve ve Sebze,84.95
Elma Starking - 500 Gr.,Meyve ve Sebze,64.95
Enginar Adet,Meyve ve Sebze,32.9
Erik - 500 Gr.,Meyve ve Sebze,219.95
Fasulye Ayşe Kadın - 500 Gr.,Meyve ve Sebze,89.95
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,62.45
Havuç - 500 Gr.,Meyve ve Sebze,18.45
Hindistan Cevizi,Meyve ve Sebze,122.9
Kabak - 500 Gr.,Meyve ve Sebze,24.95
Kabak Girit - 500 Gr.,Meyve ve Sebze,62.45
Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,539.8
Akdeniz Toros Dana Burger 360 Gr,Et ve Tavuk,569.9
Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,Et ve Tavuk,349.9
Akdeniz Toros Dana Sosis 5'li 250 Gr,Et ve Tavuk,329.9
Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,599.8
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,429.9
Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,299.9
Akdeniz Toros Piliç Bonfile (Donuk Olarak Satılır)  - 1 Kg.,Et ve Tavuk,459.9
Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,259.9
Akdeniz Toros Piliç Izgara Tava (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,359.9
Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,529.9
Akdeniz Toros Piliç Kangal Sucuk 250 Gr,Et ve Tavuk,189.9
Akdeniz Toros Piliç Nuggut 500 Gr,Et ve Tavuk,279.9
Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,189.9
Akdeniz Toros Tavuk Izgara Şiş (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,649.9
Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,Et ve Tavuk,519.0
Apikoğlu Dana Kangal Sucuk 280 Gr,Et ve Tavuk,749.9
Apikoğlu Dana Parmak Sucuk - 500 Gr.,Et ve Tavuk,1199.5
Apikoğlu Dana Yarım Kangal Sucuk 180 Gr,Et ve Tavuk,299.9
Apikoğlu Kurutulmuş Dana Füme Et 100 GR,Et ve Tavuk,569.0
Bolca Hindi Bonfile - 1 Kg.,Et ve Tavuk,439.9
Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.,Et ve Tavuk,439.9
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,Et ve Tavuk,359.9
Çapanoğlu Dana Füme Et 60 Gr,Et ve Tavuk,199.9
