kategori,product_id,product_name,product_price
Meyve ve Sebze,6487,Avokado İthal Adet,84.9
Meyve ve Sebze,8123,Bakla Taze - 500 Gr.,49.95
Meyve ve Sebze,5029,Biber Dolmalık - 500 Gr.,27.45
Meyve ve Sebze,8087,Biber Kırmızı - 500 Gr.,112.45
Meyve ve Sebze,9815,Biber Kırmızı Şili Acı - 500 Gr.,87.45
Meyve ve Sebze,7769,Biber Köy - 500 Gr.,27.45
Meyve ve Sebze,9774,Biber Sivri - 500 Gr.,24.95
Meyve ve Sebze,4120,Biber Tatlı - 500 Gr.,16.45
Meyve ve Sebze,3233,Çilek - 500 Gr.,114.95
Meyve ve Sebze,1498,Dereotu Demet,11.9
Meyve ve Sebze,9778,Domates - 500 Gr.,82.45
Meyve ve Sebze,8735,Domates Cherry - 500 Gr.,62.95
Meyve ve Sebze,619,Domates Pembe - 500 Gr.,63.95
Meyve ve Sebze,4455,Domates Salkım - 500 Gr.,60.95
Meyve ve Sebze,4138,Elma Golden - 500 Gr.,67.45
Meyve ve Sebze,8576,Elma Granny Smith - 500 Gr.,84.95
Meyve ve Sebze,4125,Elma Starking - 500 Gr.,64.95
Meyve ve Sebze,6805,Enginar Adet,32.9
Meyve ve Sebze,1247,Erik - 500 Gr.,167.45
Meyve ve Sebze,9703,Fasulye Ayşe Kadın - 500 Gr.,99.95
Meyve ve Sebze,9740,Havuç - 500 Gr.,19.95
Meyve ve Sebze,8547,Hindistan Cevizi,122.9
Meyve ve Sebze,9759,Kabak - 500 Gr.,22.45
Meyve ve Sebze,766,Kabak Girit - 500 Gr.,63.95
Meyve ve Sebze,767,Kabak Top - 500 Gr.,58.45
Meyve ve Sebze,6487,Avokado İthal Adet,84.9
Meyve ve Sebze,8123,Bakla Taze - 500 Gr.,49.95
Meyve ve Sebze,5029,Biber Dolmalık - 500 Gr.,27.45
Meyve ve Sebze,8087,Biber Kırmızı - 500 Gr.,112.45
Meyve ve Sebze,9815,Biber Kırmızı Şili Acı - 500 Gr.,87.45
Meyve ve Sebze,7769,Biber Köy - 500 Gr.,27.45
Meyve ve Sebze,9774,Biber Sivri - 500 Gr.,24.95
Meyve ve Sebze,4120,Biber Tatlı - 500 Gr.,16.45
Meyve ve Sebze,3233,Çilek - 500 Gr.,114.95
Meyve ve Sebze,1498,Dereotu Demet,11.9
Meyve ve Sebze,9778,Domates - 500 Gr.,82.45
Meyve ve Sebze,8735,Domates Cherry - 500 Gr.,62.95
Meyve ve Sebze,619,Domates Pembe - 500 Gr.,63.95
Meyve ve Sebze,4455,Domates Salkım - 500 Gr.,60.95
Meyve ve Sebze,4138,Elma Golden - 500 Gr.,67.45
Meyve ve Sebze,8576,Elma Granny Smith - 500 Gr.,84.95
Meyve ve Sebze,4125,Elma Starking - 500 Gr.,64.95
Meyve ve Sebze,6805,Enginar Adet,32.9
Meyve ve Sebze,1247,Erik - 500 Gr.,167.45
Meyve ve Sebze,9703,Fasulye Ayşe Kadın - 500 Gr.,99.95
Meyve ve Sebze,9740,Havuç - 500 Gr.,19.95
Meyve ve Sebze,8547,Hindistan Cevizi,122.9
Meyve ve Sebze,9759,Kabak - 500 Gr.,22.45
Meyve ve Sebze,766,Kabak Girit - 500 Gr.,63.95
Meyve ve Sebze,767,Kabak Top - 500 Gr.,58.45
Meyve ve Sebze,6487,Avokado İthal Adet,84.9
Meyve ve Sebze,8123,Bakla Taze - 500 Gr.,49.95
Meyve ve Sebze,5029,Biber Dolmalık - 500 Gr.,27.45
Meyve ve Sebze,8087,Biber Kırmızı - 500 Gr.,112.45
Meyve ve Sebze,9815,Biber Kırmızı Şili Acı - 500 Gr.,87.45
Meyve ve Sebze,7769,Biber Köy - 500 Gr.,27.45
Meyve ve Sebze,9774,Biber Sivri - 500 Gr.,24.95
Meyve ve Sebze,4120,Biber Tatlı - 500 Gr.,16.45
Meyve ve Sebze,3233,Çilek - 500 Gr.,114.95
Meyve ve Sebze,1498,Dereotu Demet,11.9
Meyve ve Sebze,9778,Domates - 500 Gr.,82.45
Meyve ve Sebze,8735,Domates Cherry - 500 Gr.,62.95
Meyve ve Sebze,619,Domates Pembe - 500 Gr.,63.95
Meyve ve Sebze,4455,Domates Salkım - 500 Gr.,60.95
Meyve ve Sebze,4138,Elma Golden - 500 Gr.,67.45
Meyve ve Sebze,8576,Elma Granny Smith - 500 Gr.,84.95
Meyve ve Sebze,4125,Elma Starking - 500 Gr.,64.95
Meyve ve Sebze,6805,Enginar Adet,32.9
Meyve ve Sebze,1247,Erik - 500 Gr.,167.45
