product-name,kategori,product_id,product_price
Avokado İthal Adet,Meyve ve Sebze,6487,84.9
Bezelye - 500 Gr.,Meyve ve Sebze,704,42.45
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,5029,24.95
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,8087,129.95
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,9815,99.95
Biber Köy - 500 Gr.,Meyve ve Sebze,7769,24.95
Biber Sivri - 500 Gr.,Meyve ve Sebze,9774,19.95
Biber Tatlı - 500 Gr.,Meyve ve Sebze,4120,19.95
Börülce - 500 Gr.,Meyve ve Sebze,7970,144.95
Çilek - 500 Gr.,Meyve ve Sebze,3233,84.95
Deniz Börülcesi Adet,Meyve ve Sebze,8096,22.9
Dereotu Demet,Meyve ve Sebze,1498,11.9
Domates - 500 Gr.,Meyve ve Sebze,9778,59.95
Domates Cherry - 500 Gr.,Meyve ve Sebze,8735,58.45
Domates Pembe - 500 Gr.,Meyve ve Sebze,619,54.95
Domates Salkım - 500 Gr.,Meyve ve Sebze,4455,49.95
Elma Golden - 500 Gr.,Meyve ve Sebze,4138,67.45
Elma Starking - 500 Gr.,Meyve ve Sebze,4125,62.45
Enginar Adet,Meyve ve Sebze,6805,25.9
Erik - 500 Gr.,Meyve ve Sebze,1247,127.45
Fasulye Ayşe Kadın - 500 Gr.,Meyve ve Sebze,9703,72.45
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,4355,59.95
Havuç - 500 Gr.,Meyve ve Sebze,9740,32.45
Hindistan Cevizi,Meyve ve Sebze,8547,122.9
Kabak - 500 Gr.,Meyve ve Sebze,9759,17.95
Avokado İthal Adet,Meyve ve Sebze,6487,84.9
Bezelye - 500 Gr.,Meyve ve Sebze,704,42.45
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,5029,24.95
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,8087,129.95
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,9815,99.95
Biber Köy - 500 Gr.,Meyve ve Sebze,7769,24.95
Biber Sivri - 500 Gr.,Meyve ve Sebze,9774,19.95
Biber Tatlı - 500 Gr.,Meyve ve Sebze,4120,19.95
Börülce - 500 Gr.,Meyve ve Sebze,7970,144.95
Çilek - 500 Gr.,Meyve ve Sebze,3233,84.95
Deniz Börülcesi Adet,Meyve ve Sebze,8096,22.9
Dereotu Demet,Meyve ve Sebze,1498,11.9
Domates - 500 Gr.,Meyve ve Sebze,9778,59.95
Domates Cherry - 500 Gr.,Meyve ve Sebze,8735,58.45
Domates Pembe - 500 Gr.,Meyve ve Sebze,619,54.95
Domates Salkım - 500 Gr.,Meyve ve Sebze,4455,49.95
Elma Golden - 500 Gr.,Meyve ve Sebze,4138,67.45
Elma Starking - 500 Gr.,Meyve ve Sebze,4125,62.45
Enginar Adet,Meyve ve Sebze,6805,25.9
Erik - 500 Gr.,Meyve ve Sebze,1247,127.45
Fasulye Ayşe Kadın - 500 Gr.,Meyve ve Sebze,9703,72.45
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,4355,59.95
Havuç - 500 Gr.,Meyve ve Sebze,9740,32.45
Hindistan Cevizi,Meyve ve Sebze,8547,122.9
Kabak - 500 Gr.,Meyve ve Sebze,9759,17.95
Avokado İthal Adet,Meyve ve Sebze,6487,84.9
Bezelye - 500 Gr.,Meyve ve Sebze,704,42.45
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,5029,24.95
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,8087,129.95
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,9815,99.95
Biber Köy - 500 Gr.,Meyve ve Sebze,7769,24.95
Biber Sivri - 500 Gr.,Meyve ve Sebze,9774,19.95
Biber Tatlı - 500 Gr.,Meyve ve Sebze,4120,19.95
Börülce - 500 Gr.,Meyve ve Sebze,7970,144.95
Çilek - 500 Gr.,Meyve ve Sebze,3233,84.95
Deniz Börülcesi Adet,Meyve ve Sebze,8096,22.9
Dereotu Demet,Meyve ve Sebze,1498,11.9
Domates - 500 Gr.,Meyve ve Sebze,9778,59.95
Domates Cherry - 500 Gr.,Meyve ve Sebze,8735,58.45
Domates Pembe - 500 Gr.,Meyve ve Sebze,619,54.95
Domates Salkım - 500 Gr.,Meyve ve Sebze,4455,49.95
Elma Golden - 500 Gr.,Meyve ve Sebze,4138,67.45
Elma Starking - 500 Gr.,Meyve ve Sebze,4125,62.45
Enginar Adet,Meyve ve Sebze,6805,25.9
Erik - 500 Gr.,Meyve ve Sebze,1247,127.45
Fasulye Ayşe Kadın - 500 Gr.,Meyve ve Sebze,9703,72.45
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,4355,59.95
Havuç - 500 Gr.,Meyve ve Sebze,9740,32.45
Hindistan Cevizi,Meyve ve Sebze,8547,122.9
Kabak - 500 Gr.,Meyve ve Sebze,9759,17.95
Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,8066,539.8
Akdeniz Toros Dana Burger 360 Gr,Et ve Tavuk,11066,569.9
Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,Et ve Tavuk,11067,349.9
Akdeniz Toros Dana Sosis 5'li 250 Gr,Et ve Tavuk,11068,329.9
Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,7303,599.8
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,9367,429.9
Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,2907,299.9
