product-name;product-price;product-id
Ananas Adet;164.9;6932
Armut Akça - 500 Gr.;104.95;221
Avokado İthal Adet;109.9;6487
Bamya - 500 Gr.;149.95;11700
Barbunya - 500 Gr.;117.45;4674
Bezelye - 500 Gr.;42.45;704
Biber Dolmalık - 500 Gr.;54.95;5029
Biber Kırmızı - 500 Gr.;54.95;8087
Biber Kırmızı Şili Acı - 500 Gr.;56.45;9815
Biber Köy - 500 Gr.;54.95;7769
Biber Sivri - 500 Gr.;54.95;9774
Biber Tatlı - 500 Gr.;52.45;4120
Börülce - 500 Gr.;99.95;7970
Dereotu Demet;11.9;1498
Domates Cherry - 500 Gr.;42.45;8735
Domates Pembe - 500 Gr.;37.45;619
Domates Salkım - 500 Gr.;26.45;4455
Elma Starking - 500 Gr.;77.45;4125
Erik - 500 Gr.;117.45;1247
Erik Anjelika - 500 Gr.;69.95;7540
Fasulye Ayşe Kadın - 500 Gr.;97.45;9703
Fasulye Çalı - 500 Gr.;84.95;4355
Havuç - 500 Gr.;34.95;9740
Kabak - 500 Gr.;25.95;9759
Kabak Girit - 500 Gr.;49.95;766
Ananas Adet;164.9;6932
Armut Akça - 500 Gr.;104.95;221
Avokado İthal Adet;109.9;6487
Bamya - 500 Gr.;149.95;11700
Barbunya - 500 Gr.;117.45;4674
Bezelye - 500 Gr.;42.45;704
Biber Dolmalık - 500 Gr.;54.95;5029
Biber Kırmızı - 500 Gr.;54.95;8087
Biber Kırmızı Şili Acı - 500 Gr.;56.45;9815
Biber Köy - 500 Gr.;54.95;7769
Biber Sivri - 500 Gr.;54.95;9774
Biber Tatlı - 500 Gr.;52.45;4120
Börülce - 500 Gr.;99.95;7970
Dereotu Demet;11.9;1498
Domates Cherry - 500 Gr.;42.45;8735
Domates Pembe - 500 Gr.;37.45;619
Domates Salkım - 500 Gr.;26.45;4455
Elma Starking - 500 Gr.;77.45;4125
Erik - 500 Gr.;117.45;1247
Erik Anjelika - 500 Gr.;69.95;7540
Fasulye Ayşe Kadın - 500 Gr.;97.45;9703
Fasulye Çalı - 500 Gr.;84.95;4355
Havuç - 500 Gr.;34.95;9740
Kabak - 500 Gr.;25.95;9759
Kabak Girit - 500 Gr.;49.95;766
Ananas Adet;164.9;6932
Armut Akça - 500 Gr.;104.95;221
Avokado İthal Adet;109.9;6487
Bamya - 500 Gr.;149.95;11700
Barbunya - 500 Gr.;117.45;4674
Bezelye - 500 Gr.;42.45;704
Biber Dolmalık - 500 Gr.;54.95;5029
Biber Kırmızı - 500 Gr.;54.95;8087
Biber Kırmızı Şili Acı - 500 Gr.;56.45;9815
Biber Köy - 500 Gr.;54.95;7769
Biber Sivri - 500 Gr.;54.95;9774
Biber Tatlı - 500 Gr.;52.45;4120
Börülce - 500 Gr.;99.95;7970
Dereotu Demet;11.9;1498
Domates Cherry - 500 Gr.;42.45;8735
Domates Pembe - 500 Gr.;37.45;619
Domates Salkım - 500 Gr.;26.45;4455
Elma Starking - 500 Gr.;77.45;4125
Erik - 500 Gr.;117.45;1247
Erik Anjelika - 500 Gr.;69.95;7540
Fasulye Ayşe Kadın - 500 Gr.;97.45;9703
Fasulye Çalı - 500 Gr.;84.95;4355
Havuç - 500 Gr.;34.95;9740
Kabak - 500 Gr.;25.95;9759
Kabak Girit - 500 Gr.;49.95;766
Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.;559.8;8066
Akdeniz Toros Dana Burger 360 Gr;579.9;11066
Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr;359.9;11067
Akdeniz Toros Dana Sosis 5'li 250 Gr;349.9;11068
Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.;679.8;7303
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır);429.9;9367
Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.;329.9;2907
Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.;269.9;7394
Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.;559.9;9359
Akdeniz Toros Piliç Kangal Sucuk 250 Gr;199.9;11069
Akdeniz Toros Piliç Nuggut 500 Gr;289.9;11064
Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır);199.9;9368
Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR;519.0;12301
Apikoğlu Dana Kangal Sucuk - 500 Gr.;1199.5;12298
Apikoğlu Dana Yarım Kangal Sucuk 180 Gr;399.9;12904
Apikoğlu Kurutulmuş Dana Füme Et 100 GR;569.0;12303
Bolca Hindi Bonfile - 1 Kg.;439.9;1968
