Tarih,UrunID,UrunAdi,FiyatFloat
2026-05-04,1391497,PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Kol  + PS5 Şarj İstasyonu (Yeni Sürüm),38799.0
2026-05-04,1854494,Airwrap Co-anda 2x™ Saç Şekillendirme ve Kurutma Seti (Jasper Plum),34999.0
2026-05-04,1801090,Beosound A9 Altın Rengi Multiroom Kablosuz Hoparlör,227999.0
2026-05-04,1803095,Beosound A9 5.G Natural Aluminium B Bluetooth Hoparlör,227999.0
2026-05-04,1865279,iPhone 17 Pro 256GB Kozmik Turuncu Akıllı Cep Telefonu MG8H4TU/A,107999.0
2026-05-04,1853888,Gri Türk Kahvesi Makinesi,16750.0
2026-05-04,1257395,FS1000 Seyahat Boy Kablosuz Mini Yüz Epilatörü + Temizleme Fırçası ve Pil,1299.0
2026-05-04,1630196,BeoSound Balance Multiroom Siyah Hi-Fi Bluetooth Hoparlör,224949.0
2026-05-04,1630208,Beosound A9 Multiroom Siyah Bluetooth Hoparlör,221899.0
2026-05-04,1748958,JetBoots Pro Plus Kablosuz Kompresyon Botu,63900.0
2026-05-04,1387958,PlayStation VR2 PS5 Sanal Gerçeklik Gözlüğü,27999.0
2026-05-04,1453203,HR 2000 Burun ve Kulak Tüyü Düzelticisi,4990.0
2026-05-04,1630209,BeoSound 2 3. Nesil Multiroom Natural Hi-Fi Bluetooth Hoparlör,251149.0
2026-05-04,1916229,Spot+Scrub™ Ai Islak ve Kuru Temizleme Özellikli Robot Süpürge,49999.0
2026-05-04,1748231,Phantom I Aktif Hi-Fi Bluetooth Hoparlör,213099.0
2026-05-04,1806616,Instax 20'li Film Tüm Mini Makineler ile Uyumlu,1249.0
2026-05-04,1248322,FM 120 Shiatsu Ayak Masaj Aleti,27990.0
2026-05-04,1893841,A2024 Yeni Seri 3 Milyon Atım 3 Başlık Ultra Hızlı IPL Epilasyon Cihazı,10699.0
2026-05-04,1620046,Meta Quest 3S 128GB Beyaz VR Sanal Gerçeklik Gözlüğü ,26999.0
2026-05-04,1096814,LS50 Saten Beyaz Wireless II Mineral Hoparlör,202899.0
2026-05-04,1320693,V12 Detect Slim Absolute Kablosuz Dikey Süpürge,32999.0
2026-05-04,1962840,Phantom Ultimate Opéra de Paris Beyaz Kablosuz Bluetooth Hoparlör,184589.1
2026-05-04,1474764,650 Adet Kapasiteli Puro Dolabı CIG650BU,149990.0
2026-05-04,1917519,FlexStyle 3-in-1 Stone Saç Kurutma Şekillendirme Sistemi,8999.0
2026-05-04,1846503,S8540 230 Derece Keratin Saç Düzleştirici,2999.0
