product-name,product-price,Tarih,UrunID
PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Kol  + PS5 Şarj İstasyonu (Yeni Sürüm),38143.3,2026-05-20,1391497
PlayStation VR2 PS5 Sanal Gerçeklik Gözlüğü,26999.0,2026-05-20,1387958
"ThinkPad X1 Carbon Gen 13 Aura Edition Ultra 7 32GB Ram 1TB SSD 14"" 258V 2.8K Oled Windows 11 Pro Laptop 21NS004MTX",136000.0,2026-05-20,1841471
RD545 Innerscan Pro Segmental Vücut Analizi Akıllı Dijital Tartı,141896.0,2026-05-20,1865379
Silk Expert Pro 5 Venus PL5146 Çanta ve 2 Başlıklı IPL Lazer Epilasyon Aleti,19999.0,2026-05-20,1483234
Buhar Basınçlı Antibakteriyel Kırık Beyaz Paspas ve Mop Seti,2999.0,2026-05-20,1544830
JetBoots Pro Plus Kablosuz Kompresyon Botu,63900.0,2026-05-20,1748958
"ThinkPad E14 Gen7 Ultra 7 255H 32 GB RAM 1 TB SSD 14"" WUXGA FreeDos Laptop 21SX007FTX ",77000.0,2026-05-20,1897343
Fast Platinum Vücut Analiz Tartısı,233480.0,2026-05-20,1714047
FS1000 Seyahat Boy Kablosuz Mini Yüz Epilatörü + Temizleme Fırçası ve Pil,1299.0,2026-05-20,1257395
V12 Detect Slim Absolute Kablosuz Dikey Süpürge,35999.0,2026-05-20,1320693
Instax 20'li Film Tüm Mini Makineler ile Uyumlu,1249.0,2026-05-20,1806616
Service Solo 49 Şişe Kapasiteli Şarap Dolabı ECS512Z,89990.0,2026-05-20,1491592
Guard S1 Junior Terra Red Toz Torbalı Süpürge,11193.0,2026-05-20,1692491
IPL9850 PureCare 3.000.000 Atımlı Buz Lazer Epilasyon Cihazı,23999.0,2026-05-20,1660352
Mozart 1 Pro Akıllı Projeksiyon Cihazı,23999.0,2026-05-20,1828913
FM 120 Shiatsu Ayak Masaj Aleti,31100.0,2026-05-20,1248322
Airwrap Co-anda 2x™ Saç Şekillendirme ve Kurutma Seti (Jasper Plum),34999.0,2026-05-20,1854494
Gri Türk Kahvesi Makinesi,16750.0,2026-05-20,1853888
50's Style Bella Casa Krem 6 Parça Wedding Set,93500.0,2026-05-20,1934131
P-KE2 Mavi Su Geçirmez Çocuk Su Altı Kamerası ,2999.0,2026-05-20,1805887
Classica Solo Şarap Dolabı 368 Lt,208640.0,2026-05-20,1938830
Meta Quest 3S 128GB Beyaz VR Sanal Gerçeklik Gözlüğü ,24499.0,2026-05-20,1620046
A2024 Yeni Seri 3 Milyon Atım 3 Başlık Ultra Hızlı IPL Epilasyon Cihazı,10699.0,2026-05-20,1893841
StainStriker Pet Başlıklı Leke Çıkarma ve Koltuk Yıkama Makinesi,6999.0,2026-05-20,1742098
Cinetic Big Ball Absolute 2 Elektrikli Süpürge,19999.0,2026-05-20,1343990
RC9588 KeratinCare 25 mm Otomatik Saç Maşası,3999.0,2026-05-20,1929880
Glam Gold 5 Başlıklı Düz Dalgalı ve Bukleli Çok Amaçlı Saç Şekillendirici ,19999.0,2026-05-20,1900704
50's Style Bella Casa Black+ 6 Parça Wedding Set,91500.0,2026-05-20,1967758
FlexStyle 3-in-1 Stone Saç Kurutma Şekillendirme Sistemi,9999.0,2026-05-20,1917519
S8540 230 Derece Keratin Saç Düzleştirici,2999.0,2026-05-20,1846503
