product-name,product-price,Ana Kategori,Kategori ID,Stok Kodu
EKRU YÜKSEK BEL PANTOLON,₺52.950,Kadin,301,M406629122-0027
EKRU YÜN PALTO,₺105.950,Kadin,301,M407015474-0027
EKRU KOLSUZ BLUZ,₺37.950,Kadin,301,M406629124-0027
EKRU PANTOLON,₺59.950,Kadin,301,M406629139-0027-0041
EKRU YÜN TRİKO,₺55.950,Kadin,301,M406629186-0027
EKRU GÖMLEK,₺59.950,Kadin,301,M406629138-0027-0041
BEYAZ DESENLİ İPEK PANTOLON,₺59.950,Kadin,301,M406629144-0041-0012
BEYAZ DESENLİ İPEK BLUZ,₺55.950,Kadin,301,M406629143-0041-0012
EKRU ORGANZA MİDİ ETEK,₺75.950,Kadin,301,M406629148-0027
EKRU KOLSUZ TRİKO,₺52.950,Kadin,301,M406629147-0027-0041
EKRU UZUN KOLLU BLUZ,₺55.950,Kadin,301,M407225455-0027
EKRU UZUN KOLLU TRİKO,₺55.950,Kadin,301,M406629129-0027-0004
EKRU YÜN TRİKO,₺47.950,Kadin,301,M406629125-0027
EKRU PANTOLON,₺42.950,Kadin,301,M407005355-0027-0021
EKRU TRİKO,₺32.950,Kadin,301,M407005350-0027-0021
EKRU-BEJ ETEK,₺45.950,Kadin,301,M407005349-0027-0021
BEJ TRİKO,₺57.950,Kadin,301,M407092522-0021-0027
BEJ V YAKA TRİKO,₺39.950,Kadin,301,M407005352-0021
EKRU KABAN,₺99.950,Kadin,301,M407005835-0027
EKRU KISA KOLLU TRİKO,₺49.950,Kadin,301,M407005314-0027-0021
EKRU GÖMLEK,₺52.950,Kadin,301,M407005346-0027-0021
EKRU O YAKA TRİKO,₺39.950,Kadin,301,M407005351-0027
EKRU CEKET,₺62.950,Kadin,301,M406629126-0027
EKRU PANTOLON,₺29.950,Kadin,301,M406629127-0027
EKRU TRİKO,₺62.950,Kadin,301,M406629191-0027-0014
ÇOK RENKLİ BOL PAÇA PANTOLON,₺52.950,Kadin,301,M406356669-0085
ÇOK RENKLİ GÖMLEK,₺65.950,Kadin,301,M406356666-0085
BEYAZ DANTELLİ GÖMLEK,₺69.950,Kadin,301,M406356665-0012
PİRİNÇ KÜPE,₺15.950,Kadin,301,M407485823-0009
GRİ TRKO,₺129.950,Kadin,301,M406356658-0004-0012
MAVİ TRİKO,₺105.950,Kadin,301,M406356655-0038-0027
MAVİ DENIM PANTOLON,₺85.950,Kadin,301,M406356652-0038
EKRU TRİKO,₺129.950,Kadin,301,M406356656-0027-0012
MAVİ DESENLİ İPEK PANTOLON,₺59.950,Kadin,301,M406629164-0038-0055
MAVİ DESENLİ İPEK GÖMLEK,₺47.950,Kadin,301,M406629153-0038-0055
MAVİ GÖMLEK,₺52.950,Kadin,301,M406629151-0038-0055
MAVİ UZUN KOLLU ELBİSE,₺79.950,Kadin,301,M406629152-0038-0055
MAVİ DÜŞÜK KOLLU MİDİ ELBİSE,₺45.950,Kadin,301,M407003901-0038
MAVİ BOL PAÇA PANTOLON,₺35.950,Kadin,301,M407003900-0038
MAVİ UZUN KOLLU GÖMLEK,₺32.950,Kadin,301,M407003899-0038
MAVİ-EKRU TRİKO,₺45.950,Kadin,301,M406452513-0038-0027
MAVİ V YAKA TRİKO,₺15.950,Kadin,301,M407170283-0038-0055
EKRU DAR PAÇA PANTOLON,₺29.950,Kadin,301,M407003930-0027
EKRU MİDİ ETEK,₺19.950,Kadin,301,M407005832-0027-0002
EKRU ÇİZGİLİ TRİKO,₺22.950,Kadin,301,M406992635-0027-0002
EKRU-LACİVERT ÇİZGİLİ TRİKO,₺22.950,Kadin,301,M406939296-0027-0041
ÇOK RENKLİ TRİKO,₺129.950,Kadin,301,M406356657-0085
SARI DİK YAKA TRİKO,₺35.950,Kadin,301,M407225405-0072
DORE PİRİNÇ KOLYE,₺17.950,Kadin,301,M406629182-0092
BEJ YÜN/KAŞMİR KABAN,₺115.950,Kadin,301,M407035534-0021
EKRU DİZ ÜSTÜ ELBİSE,₺110.950,Kadin,301,M406629121-0027-0041
EKRU ETEK,₺39.950,Kadin,301,M407225444-0027-0002
MİNT GÖMLEK,₺82.950,Kadin,301,M406356674-0037-0021
EKRU ETEK,₺32.950,Kadin,301,M406869570-0027-0021
EKRU KAYIK YAKA TRİKO,₺22.950,Kadin,301,M406869596-0027
EKRU TRİKO,₺45.950,Kadin,301,M406452493-0027-0021
BEJ BOL PAÇA PANTOLON,₺29.950,Kadin,301,M406258751-0021
BEJ DİK YAKA KOLSUZ BLUZ,₺22.950,Kadin,301,M406258752-0021
BEJ BOL PAÇA PANTOLON,₺15.950,Kadin,301,M301979475-0021
EKRU KABAN,₺52.950,Kadin,301,M406869594-0027-0021
EKRU DOKULU BOL PAÇA PANTOLON,₺25.950,Kadin,301,M407033220-0027
EKRU DİK YAKA TRİKO,₺42.950,Kadin,301,M407005315-0027
EKRU YÜN-KAŞMİR TRİKO,₺22.950,Kadin,301,M406939298-0027
EKRU TRİKO,₺55.950,Kadin,301,M406629187-0027
BEJ BORU PAÇA PANTOLON,₺29.950,Kadin,301,M406260004-0021
BEJ CEKET,₺69.950,Kadin,301,M406260003-0021-0004
EKRU DAR PAÇA PANTOLON,₺39.950,Kadin,301,M406629226-0027
ECRU CEKET,₺85.950,Kadin,301,M406629225-0027
EKRU TRİKO,₺59.950,Kadin,301,M406629223-0027
BEJ DAR PAÇA PANTOLON,₺42.950,Kadin,301,M406722995-0021
BEJ DİK YAKA CEKET,₺59.950,Kadin,301,M406722993-0021
AÇIK KAHVE O YAKA TRİKO,₺19.950,Kadin,301,M406608860-0017
BEJ MONT,₺115.950,Kadin,301,M406722992-0021-0088
KOYU TURUNCU TRİKO,₺45.950,Kadin,301,M406115349-0079-0021
EKRU CEKET,₺45.950,Kadin,301,M407012680-0027-0004
BEJ BORU PAÇA PANTOLON,₺29.950,Kadin,301,M407012684-0021
EKRU O YAKA KISA KOLLU T-SHİRT,₺15.950,Kadin,301,M407012686-0027
EKRU SPOR PANTOLON,₺37.950,Kadin,301,M407900926-0027-0004
EKRU SWEATSHİRT,₺55.950,Kadin,301,M407900925-0027-0004
EKRU DERİ YELEK,₺99.950,Kadin,301,M406629221-0027
EKRU KAŞMİR-İPEK TRİKO,₺59.950,Kadin,301,M406629222-0027
BEJ DESENLİ DAR PAÇA PANTOLON,₺39.950,Kadin,301,M407003895-0021
BEJ YÜN MONT,₺145.950,Kadin,301,M407038387-0021
BEJ TRİKO,₺57.950,Kadin,301,M406452498-0021-0027
VİZON DÜZ KESİM PANTOLON,₺21.950,Kadin,301,M302039661-0022-0027
VİZON EKO KÜRK,₺99.950,Kadin,301,M407015959-0022
VİZON KISA KOLLU TRİKO,₺47.950,Kadin,301,M406629228-0027-0004
BEJ UZUN ETEK,₺45.950,Kadin,301,M406629230-0021
VİZON TRİKO,₺37.950,Kadin,301,M406629229-0027-0009
VİZON TRİKO ELBİSE,₺42.950,Kadin,301,M406869600-0022
VİZON UZUN KOLLU ELBİSE,₺35.950,Kadin,301,M406869589-0022-0014
VİZON BOL PAÇA PANTOLON,₺35.950,Kadin,301,M406305663-0022
VİZON UZUN KOLLU GÖMLEK,₺39.950,Kadin,301,M406305664-0022
