brand,sku,original_price,member_price,discount,stock,image
PALETTE,114255,"539,90 ₺","379,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hac/ha1/12124624814110/prd-front-114255_1200x1200/prd-front-114255-1200x1200.jpg
REBUL,168679,"84,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h12/he9/14189101449246/prd-front-168679_1200x1200/prd-front-168679-1200x1200.jpg
HERSCHEL,1381688,"449,90 ₺","269,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h14/h18/9991232094238/prd-front-1381688_1200x1200/prd-front-1381688-1200x1200.jpg
I HEART REVOLUTION,1442987,"1.064,90 ₺","339,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h25/he6/12761418203166/prd-front-1442987_1200x1200/prd-front-1442987-1200x1200.jpg
MOLPED,1352750,"288,90 ₺","144,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/haa/h54/9326283554846/prd-front-1352750_1200x1200/prd-front-1352750-1200x1200.png
,,N/A,N/A,N/A,,
,,N/A,N/A,N/A,,
WATSONS,1323588,"299,90 ₺","99,95 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h15/hf0/9244401139742/prd-front-1323588_1200x1200/prd-front-1323588-1200x1200.png
LOREAL PARIS,1397312,"1.079,90 ₺","647,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h62/h92/10525749313566/prd-front-1397312_1200x1200/prd-front-1397312-1200x1200.jpg
PURE BEAUTY,1326717,"149,00 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he8/h9b/12270273724446/prd-front-1326717_1200x1200/prd-front-1326717-1200x1200.jpg
MATSU PROFESSIONAL,1485400,"999,90 ₺","699,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h74/h12/13887380619294/prd-front-1485400_1200x1200/prd-front-1485400-1200x1200.jpg
GILLETTE VENUS,139373,"934,90 ₺","519,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hee/h4b/12993730084894/prd-front-139373_1200x1200/prd-front-139373-1200x1200.jpg
,,"1.199,90 ₺","599,90 ₺",N/A,,
SENSODYNE,154077,"379,90 ₺","285,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h94/h6c/13602228961310/prd-front-154077_1200x1200/prd-front-154077-1200x1200.jpg
PANTENE,140014,"544,90 ₺","217,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h15/h38/12501379907614/prd-front-140014_1200x1200/prd-front-140014-1200x1200.jpg
,,N/A,N/A,N/A,,
