url,name,normal_price
https://www.watsons.com.tr/arko-nem-gliserinli-el-kremi-60-ml/p/BP_131828,Arko Nem Gliserinli El Kremi 60 ml,"149,90 ₺"
https://www.watsons.com.tr/flormar-nail-enamel-yogun-pigmentli-parlak-oje-no-456-purr-cat/p/BP_152003,Flormar Nail Enamel Yoğun Pigmentli Parlak Oje No: 456 Purr Cat,"99,95 ₺"
https://www.watsons.com.tr/matsu-espresso-glaze-dudak-balm-15-ml/p/BP_1456630,Matsu Espresso Glaze Dudak Balm 15 ml,"439,90 ₺"
https://www.watsons.com.tr/pure-beauty-brighten-up-nem-veren-tonik-140-ml/p/BP_1392041,Pure Beauty Brighten Up Nem Veren Tonik 140 ml,"999,90 ₺"
https://www.watsons.com.tr/flormar-nail-enamel-yogun-pigmentli-parlak-oje-no-537/p/BP_1378132,Flormar Nail Enamel Yoğun Pigmentli Parlak Oje No: 537,"99,95 ₺"
https://www.watsons.com.tr/golden-rose-plumping-gloss-208/p/BP_1402954,Golden Rose Plumping Gloss 208,"79,95 ₺"
https://www.watsons.com.tr/short-story-wash-your-troubles-away-nazik-yuz-temizleme-jeli-200-ml/p/BP_1437366,Short Story Wash Your Troubles Away Nazik Yüz Temizleme Jeli 200 ml,"499,90 ₺"
https://www.watsons.com.tr/corega-dis-protez-temizleyici-tablet-30-adet/p/BP_141517,Corega Diş Protez Temizleyici Tablet 30 Adet,"219,90 ₺"
https://www.watsons.com.tr/flormar-nail-enamel-yogun-pigmentli-parlak-oje-no-543/p/BP_1378104,Flormar Nail Enamel Yoğun Pigmentli Parlak Oje No: 543,"99,95 ₺"
https://www.watsons.com.tr/nyx-professional-make-up-lip-iv-dudak-parlaticisi-tint-ready-blushblush/p/BP_1430233,Nyx Professional Make Up Lip IV Dudak Parlatıcısı Tint Ready Blushblush,"999,90 ₺"
https://www.watsons.com.tr/maruderm-aydinlatici-c-vitamini-ve-peptid-cilt-bakim-serumu-30-ml/p/BP_1368675,Maruderm Aydınlatıcı C Vitamini ve Peptid Cilt Bakım Serumu 30 ml,"699,90 ₺"
https://www.watsons.com.tr/revolution-sunset-stick-allik-bronze-orange/p/BP_1450316,Revolution Sunset Stick Allık Bronze &amp; Orange,"1.189,90 ₺"
https://www.watsons.com.tr/volenia-yuzuk-altin-renkli-zincir/p/BP_1452619,N/A,N/A
https://www.watsons.com.tr/flormar-color-shadow-stick-soft-cloud-no-001/p/BP_1398180,Flormar Color Shadow Stick Soft Cloud No: 001,"149,00 ₺"
https://www.watsons.com.tr/wella-koleston-naturals-sac-boyasi-2-8-bogurtlen-siyahi/p/BP_122557,Wella Koleston Naturals Saç Boyası 2/8 Böğürtlen Siyahı,"249,90 ₺"
https://www.watsons.com.tr/rimmel-london-match-perfection-fondoten-200-soft-bej/p/BP_147286,Rimmel London Match Perfection Fondöten 200 Soft Bej,"849,90 ₺"
https://www.watsons.com.tr/slipstop-big-blue-kaydirmaz-ayakkabi-erkek-42-43/p/BP_1440096,Slipstop Big Blue Kaydırmaz Ayakkabı Erkek 42-43,"149,00 ₺"
https://www.watsons.com.tr/watsons-sac-maskesi-hindistan-cevizi-500-ml/p/BP_1302973,Watsons Saç Maskesi Hindistan Cevizi 500 ml,"499,90 ₺"
https://www.watsons.com.tr/nyx-professional-makeup-fat-oil-lip-drip-parlatici-dudak-yagi-thats-chic/p/BP_1349117,Nyx Professional Makeup Fat Oil Lip Drip Parlatıcı Dudak Yağı Thats Chic,"1.049,90 ₺"
https://www.watsons.com.tr/kotex-young-tekli-paket-gunduz-6li/p/BP_1427055,Kotex Young Tekli Paket Gündüz 6'lı,"131,90 ₺"
https://www.watsons.com.tr/axe-black-erkek-deodorant-150-ml/p/BP_145194,Axe Black Erkek Deodorant 150 ml,"369,90 ₺"
https://www.watsons.com.tr/golden-rose-keratin-oje-glitter-no-414/p/BP_1429771,Golden Rose Keratin Oje Glitter No: 414,"99,95 ₺"
https://www.watsons.com.tr/flormar-star-shine-yogun-pigmentli-metalik-oje-no-031/p/BP_1379630,Flormar Star Shine Yoğun Pigmentli Metalik Oje No: 031,"199,90 ₺"
https://www.watsons.com.tr/mia-klinika-canlandirici-goz-alti-serumu-30-ml/p/BP_1383221,Mia Klinika Canlandırıcı Göz Altı Serumu 30 ml,"718,90 ₺"
https://www.watsons.com.tr/mov-glitter-sprey-gri/p/BP_1356019,N/A,N/A
https://www.watsons.com.tr/golden-rose-emily-dudak-kalemi-no-224/p/BP_1238272,Golden Rose Emily Dudak Kalemi No: 224,"114,90 ₺"
https://www.watsons.com.tr/head-shoulders-derinlemesine-temiz-yaglanma-kontrolu-limon-300-ml/p/BP_1278676,Head&amp;Shoulders Derinlemesine Temiz Yağlanma Kontrolü Limon 300  ml,"274,90 ₺"
https://www.watsons.com.tr/nyx-professional-makeup-bridgerton-royal-dudak-parlaticisi-angel-food-cake/p/BP_1454978,N/A,N/A
https://www.watsons.com.tr/rimmel-london-omg-dudak-balmi-005-coral-breeze/p/BP_1447180,Rimmel London Omg Dudak Balmı 005 Coral Breeze,"1.064,90 ₺"
https://www.watsons.com.tr/show-by-pastel-monochrome-duo-eyes-ikili-far-paleti-21-natural-beauty/p/BP_1352974,Show By Pastel Monochrome Duo Eyes İkili Far Paleti 21 Natural Beauty,"475,90 ₺"
https://www.watsons.com.tr/pastel-profashion-mini-likit-bronzer-10/p/BP_1423380,N/A,N/A
https://www.watsons.com.tr/sensodyne-hassas-temizlik-dis-fircasi-11/p/BP_1391635,Sensodyne Hassas Temizlik Diş Fırçası 1+1,"229,90 ₺"
https://www.watsons.com.tr/axis-y-mugwort-gozenek-arindiran-kil-maskesi-100-ml/p/BP_1419495,Axis-Y Mugwort Gözenek Arındıran Kil Maskesi 100 ml,"2.124,90 ₺"
https://www.watsons.com.tr/cosmed-revolution-nemlendirici-goz-cevresi-kremi-15-ml/p/BP_1312563,Cosmed Revolution Nemlendirici Göz Çevresi Kremi 15 ml,"149,00 ₺"
https://www.watsons.com.tr/gliss-7sec-oil-nutritive-ekspres-onarici-bakim-oleik-asit-ve-marula-yagi-ile-200-ml/p/BP_1326024,N/A,N/A
https://www.watsons.com.tr/emotion-deodorant-sprey-kadin-ocean-fresh-200-ml/p/BP_1376984,Emotion Deodorant Sprey Kadın Ocean Fresh 200 ml,"265,90 ₺"
https://www.watsons.com.tr/lionesse-kas-usturasi/p/BP_1246721,Lionesse Kaş Usturası,"119,90 ₺"
https://www.watsons.com.tr/flormar-nail-enamel-yogun-pigmentli-parlak-oje-no-555-pink-flare/p/BP_1391845,Flormar Nail Enamel Yoğun Pigmentli Parlak Oje No: 555 Pink Flare,"99,95 ₺"
https://www.watsons.com.tr/dalin-light-oil-spreyli-bebek-yagi-200-ml/p/BP_114589,Dalin Light Oil Spreyli Bebek Yağı 200 ml,"224,90 ₺"
https://www.watsons.com.tr/she-vec-crush-on-pink-leke-karsiti-gunes-kremi-spf50-50-ml/p/BP_1444779,She Vec Crush On Pink Leke Karşıtı Güneş Kremi SPF50 50 ml,"149,00 ₺"
https://www.watsons.com.tr/maybelline-new-york-lifter-liner-dudak-kalemi-09-peaking/p/BP_1397690,N/A,N/A
https://www.watsons.com.tr/flormar-quick-dry-cabuk-kuruyan-parlak-oje-no-02-soft-pink/p/BP_1394862,Flormar Quick Dry Çabuk Kuruyan Parlak Oje No: 02 Soft Pink,"149,90 ₺"
https://www.watsons.com.tr/flormar-extra-days-oje-koruyucu-son-kat-tirnak-cilasi/p/BP_167204,Flormar Extra Days Oje Koruyucu Son Kat Tırnak Cilası,"199,90 ₺"
https://www.watsons.com.tr/pastel-make-up-to-skin-care-hydrating-goz-alti-kapaticisi-ve-goz-kremi-65-honeybun/p/BP_1377313,Pastel Make Up To Skin Care Hydrating Göz Altı Kapatıcısı ve Göz Kremi 65 Honeybun,"999,90 ₺"
https://www.watsons.com.tr/revolution-brow-pomade-dark-brown-kas-pudrasi/p/BP_155004,N/A,N/A
https://www.watsons.com.tr/naturals-by-watsons-argan-sampuan-490-ml/p/BP_1422652,Naturals By Watsons Argan Şampuan 490 ml,"549,90 ₺"
https://www.watsons.com.tr/golden-rose-nail-expert-beauty-oil-nail-cuticle/p/BP_1464582,Golden Rose Nail Expert Beauty Oil Nail &amp; Cuticle,"334,90 ₺"
https://www.watsons.com.tr/elensilia-alpha-arbutin-aydinlatici-bakim-serumu-50-ml/p/BP_1434097,Elensilia Alpha Arbutin Aydınlatıcı Bakım Serumu 50 ml,"2.299,90 ₺"
https://www.watsons.com.tr/loreal-paris-elseve-glycolic-gloss-parlaklik-veren-sac-bakim-kremi-250-ml/p/BP_1462881,L'Oreal Paris Elseve Glycolic Gloss Parlaklık Veren Saç Bakım Kremi 250 ml,"359,90 ₺"
https://www.watsons.com.tr/note-new-era-skin-protect-primer/p/BP_1398159,Note New Era Skin Protect Primer,"949,90 ₺"
https://www.watsons.com.tr/gliss-blonde-perfector-turunculasma-karsiti-onarici-sampuan-peptit-ve-yaban-mersini-ozu-ile-250-ml/p/BP_1278599,Gliss Blonde Perfector Turunculaşma Karşıtı Onarıcı Şampuan Peptit ve Yaban Mersini Özü ile 250 ml,"432,90 ₺"
https://www.watsons.com.tr/unfilter-beauty-lip-cheek-41-cheeked/p/BP_1427643,Unfilter Beauty Lip &amp; Cheek 41 Cheeked,"349,90 ₺"
https://www.watsons.com.tr/garnier-cift-fazli-micellar-kusursuz-makyaj-temizleme-suyu-400-ml/p/BP_149806,Garnier Çift Fazlı Micellar Kusursuz Makyaj Temizleme Suyu 400 ml,"599,90 ₺"
https://www.watsons.com.tr/note-luminous-silk-compact-blusher-allik-no-3-coral/p/BP_144147,Note Luminous Silk Compact Blusher Allık No: 3 Coral,"649,90 ₺"
https://www.watsons.com.tr/show-by-pastel-lip-liner-dudak-kalemi-200/p/BP_133160,Show By Pastel Lip Liner Dudak Kalemi 200,"319,90 ₺"
https://www.watsons.com.tr/slipstop-chili-kaydirmaz-ayakkabi-kiz-cocuk-24-26/p/BP_1439382,Slipstop Chili Kaydırmaz Ayakkabı Kız Çocuk 24-26,"149,00 ₺"
https://www.watsons.com.tr/beauty-formulas-hyalronic-hydro-jel-goz-maskesi-6li/p/BP_1422883,Beauty Formulas Hyalronic Hydro Jel Göz Maskesi 6'lı,"374,90 ₺"
https://www.watsons.com.tr/herbal-essences-sac-spreyi-gul-esansli-145-ml/p/BP_1433033,Herbal Essences Saç Spreyi Gül Esanslı 145 ml,"589,90 ₺"
https://www.watsons.com.tr/naturals-by-watsons-argan-sac-kremi-490-ml/p/BP_1422687,Naturals By Watsons Argan Saç Kremi 490 ml,"519,90 ₺"
https://www.watsons.com.tr/blade-man-edt-erkek-marine-fresh-70-ml/p/BP_1380785,N/A,N/A
https://www.watsons.com.tr/slipstop-golden-tisort-kiz-cocuk-6-7-yas/p/BP_1438549,N/A,"199,00 ₺"
https://www.watsons.com.tr/banobagi-silk-pearl-booster-maske-1-adet/p/BP_1458737,Banobagi Silk Pearl Booster Maske 1 Adet,"299,90 ₺"
https://www.watsons.com.tr/watsons-silky-glow-el-maskesi-1-cift/p/BP_1455482,Watsons Silky Glow El Maskesi 1 Çift,"179,90 ₺"
https://www.watsons.com.tr/essence-jel-oje-no-51/p/BP_1352386,N/A,N/A
https://www.watsons.com.tr/maybelline-new-york-sunkisser-likit-allik-08-shades-on/p/BP_1397655,Maybelline New York Sunkisser Likit Allık 08 Shades On,"749,90 ₺"
https://www.watsons.com.tr/aussie-sos-repair-revive-sampuan-500-ml/p/BP_1476090,Aussie Sos Repair Revive Şampuan 500 ml,"969,90 ₺"
https://www.watsons.com.tr/snp-gold-collagen-nemlendirici-mist-100-ml/p/BP_1386581,N/A,N/A
