District,Rooms,Price
Merkez,1+1,14500.0
Merkez,2+1,15500.0
Erbaa,1+1,16000.0
Merkez,1+1,16000.0
Merkez,1+1,15000.0
Merkez,1+1,14000.0
Merkez,2+0,15500.0
Merkez,1+1,17000.0
Merkez,2+1,15500.0
Merkez,3+1,15000.0
Erbaa,3+1,8800.0
Erbaa,3+1,13000.0
Erbaa,3+1,16500.0
Merkez,1+1,16000.0
Merkez,3+1,15000.0
Merkez / Karşıyaka,1+1,18500.0
Merkez,1+1,14000.0
Merkez,2+1,17000.0
Merkez,1+1,15000.0
Merkez / Karşıyaka,1+1,16500.0
Merkez,1+1,17500.0
Merkez / Karşıyaka,1+1,12000.0
Merkez,1+1,15500.0
Merkez,1+1,18750.0
Merkez,1+1,15000.0
Merkez,2+0,14000.0
Merkez,2+1,14000.0
Merkez / Köyler,1+1,15000.0
Merkez,2+1,13500.0
Merkez,2+1,18500.0
Merkez,2+1,15500.0
Merkez,3+1,18000.0
Merkez,2+1,14000.0
Merkez,2+1,16000.0
Merkez,3+1,17500.0
Merkez,3+1,19000.0
Merkez,2+0,15000.0
Merkez,2+0,17900.0
Zile,2+1,15500.0
Merkez,2.5+1,17500.0
Merkez,1+1,10000.0
Merkez,1+1,15000.0
Turhal,3+1,19000.0
Merkez,Stüdyo (1+0),12100.0
Merkez,2+0,15000.0
Merkez,1+1,15000.0
Merkez,2+1,15000.0
Merkez,2+1,16000.0
Merkez,3+1,17500.0
Merkez,1+1,15500.0
Merkez,2+1,17500.0
Merkez,1+1,16500.0
Merkez,3+1,17500.0
Merkez,1+1,18000.0
Merkez,2+1,17500.0
Merkez,Stüdyo (1+0),15500.0
Merkez / Köyler,3+1,18000.0
Merkez,1+1,15000.0
Merkez / Karşıyaka,2+1,18000.0
Merkez / Karşıyaka,1+1,15200.0
Niksar,1+1,12500.0
Merkez / Köyler,1+1,19000.0
Merkez,2+1,10000.0
Merkez / Karşıyaka,3+1,14000.0
Turhal,3+1,17000.0
Merkez,1+1,19000.0
Merkez,3+1,16000.0
Pazar,3+1,19500.0
Merkez,1+1,15000.0
Merkez,2+1,15500.0
Merkez / Karşıyaka,1+1,13500.0
Merkez,1+1,16000.0
Merkez,3+1,15500.0
Zile,3+1,12000.0
Erbaa,2+1,13000.0
Erbaa,2+1,14000.0
Merkez,2+0,15500.0
Merkez,1+1,17000.0
Merkez,2+1,15500.0
Merkez,Stüdyo (1+0),10000.0
Merkez,1+1,17500.0
Merkez,3+1,19500.0
Merkez,2+1,10500.0
Merkez,2+1,12500.0
Merkez,2+1,10000.0
Merkez,1+1,15500.0
Merkez,2+1,17000.0
Merkez,2+1,14000.0
Merkez / Köyler,2+1,17000.0
Erbaa,2+1,19000.0
Merkez / Perakende,2+0,14000.0
Merkez,2+1,17000.0
Merkez / Karşıyaka,1+1,18000.0
Niksar,1+1,14000.0
Merkez,2+1,14250.0
Turhal,3+1,14500.0
Merkez,3+1,17000.0
Merkez,1+1,15000.0
Merkez,2+1,13950.0
Merkez / Karşıyaka,1+1,16500.0
Turhal,3+1,18999.0
Niksar,2+1,9000.0
Merkez,2+0,18500.0
Zile,3+1,18000.0
Merkez / Karşıyaka,3+1,17000.0
Merkez,2+1,10500.0
Merkez,2+1,19500.0
Merkez,1+1,16750.0
Merkez,1+1,17250.0
Merkez / Karşıyaka,1+1,18000.0
Merkez,1+1,17000.0
Merkez,3+1,17500.0
Merkez / Perakende,1+1,15000.0
Merkez,2.5+1,17500.0
Merkez / Perakende,2+1,15500.0
Merkez / Karşıyaka,3+1,14000.0
Merkez,3+1,16000.0
Zile,2+0,16000.0
Merkez,3+1,14000.0
Merkez / Köyler,1+1,16000.0
Merkez,2+1,16500.0
Merkez,2+0,15000.0
Merkez,1+1,18000.0
Zile,2+1,15000.0
Merkez,3+1,17500.0
Merkez,3+1,18500.0
Merkez,Stüdyo (1+0),12500.0
Niksar,1+1,17000.0
Turhal,3+1,18000.0
Erbaa,1+1,16000.0
Zile,3+1,15000.0
Merkez,1+1,15000.0
Erbaa,2+1,17000.0
Merkez,2+0,13000.0
Erbaa,3+1,17000.0
Turhal,3+1,15500.0
Merkez,2+1,12000.0
