product-name;product-price;product-id
Ananas Adet;239.9;6932
Armut Santa Maria - 500 Gr.;66.45;4141
Avokado Adet;115.9;7961
Bamya - 500 Gr.;132.95;11700
Biber Kırmızı - 500 Gr.;44.45;8087
Biber Köy - 500 Gr.;49.45;7769
Biber Sivri - 500 Gr.;59.95;9774
Biber Tatlı - 500 Gr.;49.95;4120
Böğürtlen Paket;129.9;7493
Börülce - 500 Gr.;74.95;7970
Dereotu Demet;11.9;1498
Domates - 500 Gr.;23.45;9778
Domates Cherry - 500 Gr.;40.45;8735
Domates Pembe - 500 Gr.;33.45;619
Domates Salkım - 500 Gr.;36.45;4455
Elma Gala - 500 Gr.;42.95;1225
Elma Golden - 500 Gr.;42.95;4138
Erik - 500 Gr.;109.95;1247
Erik Anjelika - 500 Gr.;40.0;7540
Fasulye Ayşe Kadın - 500 Gr.;67.45;9703
Fasulye Çalı - 500 Gr.;57.45;4355
İncir Siyah - 500 Gr.;67.45;7528
Kabak - 500 Gr.;13.95;9759
Kabak Girit - 500 Gr.;66.45;766
Kabak Top - 500 Gr.;24.95;767
Karpuz - 10 Kg.;139.0;6764
Kavun Kırkağaç - 5 Kg.;169.5;8322
Kiraz Salihli - 750 Gr.;247.43;6769
Limon - 500 Gr.;58.95;7494
Manav Çekirdeksiz Karpuz - 5 Kg.;159.5;13444
Manav Verita Karambola Tekli Paket;114.9;12026
Manav Verita Mango Paket;214.9;12015
Muz İthal - 500 Gr.;75.45;4139
Muz Yerli - 500 Gr.;49.95;10488
Nektar Beyaz - 500 Gr.;75.95;7550
Nektar Kırmızı - 500 Gr.;42.45;8067
Portakal - 500 Gr.;33.95;4442
Şeftali - 500 Gr.;41.45;6767
Üzüm Sultani - 500 Gr.;32.45;5058
Lahana Kırmızı - 1,5 Kg.;62.85;9736
Manav Erüst Atıştırmalık Domates 250 Gr;59.9;12013
Manav Erüst Mini Havuç 250 Gr;234.9;12002
Manav Zerdeçal 100 Gr (Paket);74.9;5748
Mantar Izgara Paket 500 Gr;119.9;904
Mantar Paket 400 Gr;92.9;7962
Marul Adet;44.9;9749
Marul Iceberg Adet;52.9;9775
Marul Kıvırcık Adet;44.9;7011
Mısır Adet;24.9;4049
Verita Demirhindi 225 Gr;224.9;12020
Verita Lime 3' lü Paket;134.9;12019
Zencefil - 500 Gr.;129.95;8272
Patlıcan - 500 Gr.;37.45;9710
Patlıcan Topan - 500 Gr.;37.45;1851
Salatalık Silör - 500 Gr.;21.45;8583
Maydanoz Demet;11.9;1499
Nane Demet;11.9;1500
Roka Demet;11.9;1501
Semizotu Demet;19.9;4221
Patates - 500 Gr.;23.95;4150
Patates Şeker ( Kırmızı ) - 500 Gr.;72.45;6252
Sarımsak Paket 250 Gr;67.9;8610
Soğan Beyaz - 500 Gr.;64.95;1570
Soğan Kırmızı - 500 Gr.;57.45;4119
Soğan Kuru - 500 Gr.;23.95;4155
Soğan Taze - 500 Gr.;74.95;9724
Soğan Yahnilik - 500 Gr.;94.95;4459
Alaçatı Tahinli Kurabiye 250 Gr;209.95;772
Alaçatı Tarçınlı Kurabiye 250 Gr;209.95;808
Aytad Ayçekirdekli Galeta 150 Gr.;79.9;6124
Aytad Beze 80 Gr.;79.9;6125
Aytad Galeta Sade 120 Gr;59.9;13232
Aytad Meşhur Un Kurabiyesi 300 GR;139.9;13123
Dr. Oetker Krep 177 Gr;21.2;409
Eti Form Kızarmış Kepekli Ekmek Dilimleri 138 Gr;70.0;9990
Eti Tuzsuz Kızarmış Ekmek 148 Gr;56.0;9214
Etimek Klasik Kızarmış Ekmek 143 Gr;56.0;9215
Kula Haşhaşlı Çörek Adet;70.0;13135
La Lorraine Balkan Çöreği Adet;49.95;11818
La Lorraine Çavdar Ekmeği;89.95;12141
La Lorraine Ispanaklı -Peynirli Rulo Börek;32.95;11817
La Lorraine Kare Ekmek Rustik;89.95;11811
La Lorraine Patlıcanlı Rulo Börek;32.95;13466
La Lorraine Peynirli Rulo Börek;32.95;11815
La Lorraine Pizza Çörek Adet;65.0;12145
La Lorraine Rustik Köy Ekmeği;29.95;11808
La Lorraine Sokak Simidi;22.5;11814
La Lorraine Tombul Ekmek 18/32 350G;59.95;11809
La Lorraine Üzümlü Çörek;49.95;11812
La Lorraine Vanilya Kremalı Kruvasan Adet;49.95;13431
La Lorraine XL Tereyağlı Kruvasan 130 GR;59.95;13430
La Lorraine Zeytinli Kekikli Rustik Baget;32.95;12143
Pınar Pastırmalı Paçanga Böreği 270 Gr;334.95;13213
Uno Grissuno Denge Tam Buğdaylı Çiya Tohumlu Galeta 150 Gr;110.0;9660
Uno Grissuno Kepekli Galeta 150 Gr;110.0;1629
Uno Grissuno Yulaflı Karabuğdaylı Galeta 150 Gr;110.0;1631
Uno Tandır Lavaş 6'lı 282 gr;115.0;11345
Untad Çavdarlı Siyez Buğday Tortilla 390 Gr;139.5;12586
Untad Lavaş Tam Buğdaylı 560 gr (7*80gr);139.5;3990
Untad Sade Lavaş 300 gr (12*25gr);115.0;3989
Untad Zeytinli Çeşnili Tortilla 390 Gr;139.5;12585
Seven Days Fındık Kremalı Kruvasan 72 Gr;40.0;9248
Uno %100 Tam Buğday Tava Ekmeği 450 gr;97.5;3911
Uno Büyük Tost Ekmeği 550 Gr;79.9;4382
Uno Çikolata Kremalı Kruvasan 30 Gr;19.5;6467
Uno Çikolatalı Kruvasan 240 Gr;125.0;3555
Uno Denge Tam Buğdaylı ve Çiya Tohumlu Ekmek 400 GR;82.5;2614
Uno Ekşi Mayalı Tam Buğday Ekmek 450 Gr;97.5;4454
Uno Gurme Hamburger Ekmeği 440 Gr;125.0;5092
Uno Tam Cookies Frambuaz&Elma&Fındık 50 Gr;47.5;3468
Uno Tam Cookies Kayısı&Hurma&Badem 50 Gr;47.5;3467
La Lorrine Çörek Ahududu-Frambuaz Kremalı Adet;49.95;13142
La Lorrine Ekşi Mayalı Çok Tahıllı Ekmek 420 GR;89.95;13108
Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.;559.8;8066
Akdeniz Toros Dana Burger 360 Gr;579.9;11066
Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr;359.9;11067
Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.;679.8;7303
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır);429.9;9367
