product-name,product-price,Tarih,UrunID
Mercury K1 Pro RGB Special Edition Cyberpunk Kablosuz Mekanik Gaming Klavye ,13529.0,2026-05-16,1666339
PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Kol  + PS5 Şarj İstasyonu (Yeni Sürüm),38143.3,2026-05-16,1391497
RD545 Innerscan Pro Segmental Vücut Analizi Akıllı Dijital Tartı,141896.0,2026-05-16,1865379
Beosound A9 5.G Natural Aluminium B Bluetooth Hoparlör,284969.0,2026-05-16,1803095
PlayStation VR2 PS5 Sanal Gerçeklik Gözlüğü,26999.0,2026-05-16,1387958
Buhar Basınçlı Antibakteriyel Kırık Beyaz Paspas ve Mop Seti,2999.0,2026-05-16,1544830
Gri Türk Kahvesi Makinesi,16750.0,2026-05-16,1853888
Supersonic Nural™ Saç Kurutma Makinesi (Prusya mavisi/Parlak bakır),24999.0,2026-05-16,1804594
IPL9850 PureCare 3.000.000 Atımlı Buz Lazer Epilasyon Cihazı,23999.0,2026-05-16,1660352
Instax 20'li Film Tüm Mini Makineler ile Uyumlu,1249.0,2026-05-16,1806616
Mozart 1 Pro Akıllı Projeksiyon Cihazı,20999.0,2026-05-16,1828913
FS1000 Seyahat Boy Kablosuz Mini Yüz Epilatörü + Temizleme Fırçası ve Pil,1299.0,2026-05-16,1257395
Beosound A9 Multiroom Siyah Bluetooth Hoparlör,277349.0,2026-05-16,1630208
FM 120 Shiatsu Ayak Masaj Aleti,29500.0,2026-05-16,1248322
"ThinkPad X1 2in1 Gen 10 Aura Edition Ultra 7 258V 2.8K 32GB Ram 1TB SSD 5G LTE 14"" Windows 11 Pro Laptop 21NU0023TX",144000.0,2026-05-16,1841470
Meta Quest 3S 128GB Beyaz VR Sanal Gerçeklik Gözlüğü ,24499.0,2026-05-16,1620046
FlexStyle 3-in-1 Stone Saç Kurutma Şekillendirme Sistemi,9999.0,2026-05-16,1917519
V12 Detect Slim Absolute Kablosuz Dikey Süpürge,32999.0,2026-05-16,1320693
JetBoots Pro Plus Kablosuz Kompresyon Botu,63900.0,2026-05-16,1748958
"ThinkPad X1 Carbon Gen 13 Aura Edition Ultra 7 32GB Ram 1TB SSD 14"" 258V 2.8K Oled Windows 11 Pro Laptop 21NS004MTX",136000.0,2026-05-16,1841471
SES881 BSS The Barista Touch™️Impress Espresso Kahve Makinesi,129999.0,2026-05-16,1528755
V16 Piston Animal Submarine™ Islak Kuru Kablosuz Süpürge (Mat Siyah/Bakır),52999.0,2026-05-16,1853749
Beosound A9 Altın Rengi Multiroom Kablosuz Hoparlör,256499.0,2026-05-16,1801090
Dem-cf15w Saç Kurutma Ve Fön Makinesi ,1110.0,2026-05-16,1369543
Airwrap Co-anda 2x™ Saç Şekillendirme ve Kurutma Seti (Jasper Plum),34999.0,2026-05-16,1854494
P-KE2 Mavi Su Geçirmez Çocuk Su Altı Kamerası ,2999.0,2026-05-16,1805887
Fast Platinum Vücut Analiz Tartısı,233480.0,2026-05-16,1714047
StainStriker Pet Başlıklı Leke Çıkarma ve Koltuk Yıkama Makinesi,6999.0,2026-05-16,1742098
"ThinkPad E14 Gen7 Ultra 7 255H 32 GB RAM 1 TB SSD 14"" WUXGA FreeDos Laptop 21SX007FTX ",76000.0,2026-05-16,1897343
 Xbox Series X 1TB Digital Edition Oyun Konsolu,39999.0,2026-05-16,1750937
S8540 230 Derece Keratin Saç Düzleştirici,2999.0,2026-05-16,1846503
A2024 Yeni Seri 3 Milyon Atım 3 Başlık Ultra Hızlı IPL Epilasyon Cihazı,10699.0,2026-05-16,1893841
3000 Serisi Çift Hazneli Airfryer NA350/00 9 lt Yağsız Fritöz,6799.0,2026-05-16,1689844
Silk Expert Pro 5 Venus PL5146 Çanta ve 2 Başlıklı IPL Lazer Epilasyon Aleti,19999.0,2026-05-16,1483234
HR 2000 Burun ve Kulak Tüyü Düzelticisi,5100.0,2026-05-16,1453203
"RBS6000 Segmental Vücut Analizi Multi-BIA Yağ, Sıvı, Kas Ölçer 8 Elektrotlu Akıllı Tartı",5999.0,2026-05-16,1607097
PS8 1TB Portable 1050MB/S-1000MB/S USB 3.2 Gen 2 Taşınabilir SSD GXB1M24160,5999.0,2026-05-16,1840442
Cinetic Big Ball Absolute 2 Elektrikli Süpürge,19999.0,2026-05-16,1343990
PSP Playstation Portal Remote Oyun Konsolu,16648.45,2026-05-16,1485096
Guard S1 Junior Terra Red Toz Torbalı Süpürge,11193.0,2026-05-16,1692491
Airwrap i.d.™ Saç Şekillendirme ve Kurutma Seti (Ceramic Apricot),27999.0,2026-05-16,1966211
KBOV.2001.GR Icona Vintage Serisi Gizli Rezistanslı Kettle 1.7 Lt,6940.1,2026-05-16,1900624
Spot+Scrub™ Ai Islak ve Kuru Temizleme Özellikli Robot Süpürge,49999.0,2026-05-16,1916229
Pro Express Protect GV9230 Buhar Kazanlı Ütü,12999.0,2026-05-16,1369580
PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Kol Kırmızı+ PS5 Şarj İstasyonu (Yeni Sürüm),40411.34,2026-05-16,1874282
SteamPickUp 3-in-1 Sert Zemin Buharlı Temizleyici,11999.0,2026-05-16,1742111
"Artisan 5KSM175PS Candy Apple Stand Mikser 4,8 lt",47999.0,2026-05-16,1173965
P-KE6 Bej Karaoke Party Hoparlör ve 2 Mikrofon Set,4285.0,2026-05-16,1865307
Pembe Print Çocuk Şipşak Fotoğraf Makinesi,2999.0,2026-05-16,1863983
Phantom I Aktif Hi-Fi Bluetooth Hoparlör,213099.0,2026-05-16,1748231
Rd 953 Siyah Bluetooth Vücut Analizi Akıllı Dijital Tartı,42709.0,2026-05-16,1672909
Ambeo Soundbar Max ,159999.0,2026-05-16,1050731
Vali 1 900 ANSI Lümen Android TV Dahili Standlı Projeksiyon Cihazı ,13999.0,2026-05-16,1828878
BTH13 Pembe Kedi Kulaklı Unisex Çocuk Bluetooth Kulak Üstü Bluetooth Kulaklık ,1699.0,2026-05-16,1896289
LS50 Saten Beyaz Wireless II Mineral Hoparlör,202899.0,2026-05-16,1096814
Lumea Advanced BRI924/00 250.000 Atımlı IPL Lazer Epilasyon Aleti,15099.0,2026-05-16,1279403
Altın Rengi Karbon 10.000 Mah Powerbank P-Pb5  ,3499.0,2026-05-16,1865330
WG42K2ZXTR iQ500 Gümüş 1200 Devir Çamaşır Makinesi 9 kg,47299.0,2026-05-16,1856638
BeoSound Balance Multiroom Siyah Hi-Fi Bluetooth Hoparlör,224949.0,2026-05-16,1630196
Lono Waffle Makinesi,8999.0,2026-05-16,1203983
TQ713R03 EQ700 İntegral Paslanmaz Çelik Çıkarılabilir Su Tankı Tam Otomatik Kahve Makinesi,79286.4,2026-05-16,1678212
BeoSound 2 3. Nesil Multiroom Natural Hi-Fi Bluetooth Hoparlör,251149.0,2026-05-16,1630209
Grilliant 1340H Inox 4 Dilim Izgara ve Tost Makinesi 2000 W,4999.0,2026-05-16,1749014
FlexStyle 5-in-1 Black Saç Kurutma ve Şekillendirme Sistemi,12999.0,2026-05-16,1861265
C40 Red İnissia Kapsüllü Kahve Makinesi,8587.1,2026-05-16,1836948
Fast Vücut Analiz Tartısı,233480.0,2026-05-16,1839976
WH-1000XM6 Gece Yarısı Mavisi Kulak Üstü Bluetooth Kulaklık,23194.85,2026-05-16,1804842
Instax Mini 12 Mavi Fotoğraf Makinesi + Fotoğraf Çerçeve Seti,6799.0,2026-05-16,1549662
Phantom Ultimate Opéra de Paris Beyaz Bluetooth Hoparlör,422899.0,2026-05-16,1962862
TAR4600/10 Siyah Saatli Radyo,5000.0,2026-05-16,1866179
Teabot 1785H Bakır Renk Otomatik Çay Makinesi,6999.0,2026-05-16,1867077
Easyblend 1000 W Beyaz Blender Seti 0.7 lt,3199.9,2026-05-16,1710821
Airwrap Co-anda2x™ Saç Şekillendirme ve Kurutma Seti (Ceramic Apricot),34999.0,2026-05-16,1966214
Kult Siyah Paslanmaz Çelik El Blender Seti,9999.0,2026-05-16,1206002
Dolce&Gabbana Tasarım Hamur Karıştırma Makinesi,95000.0,2026-05-16,877553
Phantom Ultimate 108 dB Kablosuz Aktif Hi-Fi Hoparlör,356199.0,2026-05-16,1953043
Lift Xtra Titanium 2200W 3.5 Bar Aktif 3D Tabanlı Kesintili Buhar Özellikli Otomatik Termostatlı Titanyum Buhar Kazanlı Ütü,49999.0,2026-05-16,1227256
"Combi All-in-One Multicooker Fırın ve Az Yağlı Pişirici 12,5 lt",15999.0,2026-05-16,1861268
Hepsi Bir Arada Series 7 Islak ve Kuru 13'ü 1 Arada Tıraş Kiti AIO7560,4199.0,2026-05-16,1786948
J10 Piano Black (EA) Tam Otomatik Kahve Makinesi,219999.0,2026-05-16,1910772
Pembe 5 Farklı Ses Efektli Retro Mikrofonlu Karaoke Bluetooth Hoparlör,3250.0,2026-05-16,1707756
Realikids Waterproof Pembe Dijital Fotoğraf Makinesi,7490.0,2026-05-16,1466408
BC 401 Siyah Vücut Analizi Bluetooth Akıllı Tartı,18862.0,2026-05-16,1672585
Star Wars-Grogu in Pram Figürlü Lisanslı Mini Bluetooth Hoparlör,1599.0,2026-05-16,1911411
Azur 7000 Serisi DST7030/20 Buharlı Ütü 2800 W,3059.0,2026-05-16,1701989
DT2026 Pure Pop Sarı Düzleştirici Buharlı Dikey Ütü,1999.0,2026-05-16,1539570
Airstrait Prusya Mavisi Parlak Bakır Saç Düzleştirici,24999.0,2026-05-16,1439134
Alex Gyroscope Beyaz 1288h Moplu ve Akıllı Robot Süpürge ,7999.0,2026-05-16,1927380
Rhythm Ease Masaj Tabancası,14851.0,2026-05-16,1733498
Airwrap Co-anda 2x™ Saç Şekillendirme ve Kurutma Seti (Jasper Plum),34999.0,2026-05-16,1854494
FC 8 Smart Signature Line Islak ve Kuru Dikey Süpürge,27499.0,2026-05-16,1588783
Kult X Paslanmaz Çelik Spiral Rende,8999.0,2026-05-16,1187461
Stanmore III Brown Bluetooth Hoparlör,32900.0,2026-05-16,1428827
XU2100/25 2000 Serisi Elektrikli Akıllı Robot Süpürge,19519.0,2026-05-16,1838128
Hue Play Siyah 2'li Paket,6248.75,2026-05-16,1015300
Dexart TeaCraft Çay Makinesi ve Su Isıtıcısı,5999.0,2026-05-16,1708455
SES880 BSS The Barista Touch Espresso Kahve Makinesi,119999.0,2026-05-16,1255379
Peach 2 IPL Mint Epilasyon Cihazı,20399.0,2026-05-16,1280616
Rd 953 Beyaz Bluetooth Vücut Analizi Akıllı Dijital Tartı,42709.0,2026-05-16,1672910
Ambeo Soundbar Max ,159999.0,2026-05-16,1050731
LB 37 Siyah Hava Nemlendirici,7250.0,2026-05-16,1890401
SuperGrill 3in1 Inox 6 Dilim Kapasiteli Barbekü Izgara ve Tost Makinesi 2000 Watt,7999.0,2026-05-16,1786930
Beosound A5 100. Yıl Özel Sürüm Limited Taşınabilir Bluetooth Hoparlör ,112449.0,2026-05-16,1981979
Loop Gen2 Copper Brown Ekransız Kondisyon İzleyici ve Giyilebilir Sağlık Bilekliği,11499.9,2026-05-16,1864038
"Cute Renkli Desenli 13"" 14 Unisex Laptop Kılıfı",3049.0,2026-05-16,1876264
3'ü 1 Arada Gümüş Filtre Kahve Makinesi,3499.0,2026-05-16,1724253
Airwrap Co-anda 2x™ Saç Şekillendirme ve Kurutma Seti Kıvırcık+Bukleli (Jasper Plum),34999.0,2026-05-16,1955593
QuickSnack Waffle ve Tost Makinesi K-803,4999.0,2026-05-16,1889868
Osmo Action 6 Adventure Combo Aksiyon Kamerası,28999.0,2026-05-16,1894138
"ThinkPad E16 U5-125U 16GB RAM 512GB SSD 16"" FHD Windows 11 Pro Laptop 21MA008WTX",62500.0,2026-05-16,1904070
Wi-CH056 Type-C Elektrikli Vakumlu Magnetik Telefon Tutucu,2751.9,2026-05-16,1763336
Közy °400 Pizza Pide Lahmacun ve Sebze Közleme Makinesi,4499.0,2026-05-16,1854564
NeoPix 150 Ev Projektörü,12599.0,2026-05-16,1866174
Silk-épil 9 Flex 9-041 3D Epilatör,7999.0,2026-05-16,1489820
Partybox  2'li Kablosuz Mikrofon Set,7990.0,2026-05-16,1519271
Apple Watch Uyumlu Tassel Chain Akıllı Saat Kordon,1399.9,2026-05-16,1656792
Mu-So 2nd Generation Hi-Fi Bluetooth Hoparlör,98990.0,2026-05-16,1619154
Apple iPhone 17 Pro Max Roseland Turuncu Magsafe Uyumlu Telefon Kılıfı,2099.0,2026-05-16,1893202
TREND AC 70 Mobil Klima,44296.0,2026-05-16,1786187
H6 RGB 7.1 Ampligame Mikrofonlu Oyuncu Kulaklığı,4000.0,2026-05-16,1247304
Beosound A5 Meşe Ağacı Taşınabilir Bluetooth Hoparlör,95949.0,2026-05-16,1923856
"Kediler Aşkına 13""/14""/15"" Laptop Kılıfı",3950.0,2026-05-16,1091071
Realishot DC5500 24MP Siyah Dijital Fotoğraf Makinesi,6290.0,2026-05-16,1468089
V12s Detect Slim Submarine™ Islak Temizleme Özellikli Kablosuz Dikey Süpürge,29999.0,2026-05-16,1908498
WQG25201TR Serie 4 Beyaz 10 kg Isı Pompalı Kurutma Makinesi,33999.0,2026-05-16,1863090
SLUSHi™ Frozen Makinesi,19999.0,2026-05-16,1836769
Service 18 Şişe Kapasiteli Solo Şarap Dolabı,29990.0,2026-05-16,1809644
Airstrait Prusya Mavisi Parlak Bakır Saç Düzleştirici,24999.0,2026-05-16,1439134
Bueno Paslanmaz Çelik Gümüş Ekmek Kızartma Makinesi,3999.0,2026-05-16,1194855
Kitchenminis Su Isıtıcısı ve Çay Makinesi 7211003374,9999.0,2026-05-16,1206009
FaceSpa Pro 912 Şarjlı Yüz Epilatörü 3’ü 1 Arada Epilasyon ve Cilt Bakım Seti,4999.0,2026-05-16,1124151
FashionMaster Antrasit Lotus Beyazı Buharlı Ütü Sistemi B4847 ,142492.5,2026-05-16,1061251
Esm 50 Çekmece içi istasyonlu Kablosuz El Blenderı,30500.0,2026-05-16,1801757
C6688E Style Secret Air Auto-Curl Teknolojili Sıcak Hava İle Bukle Yapan Otomatik Saç Maşası,10999.0,2026-05-16,1907371
Airwrap Co-anda 2x™ Saç Şekillendirme ve Kurutma Seti (Jasper Plum),34999.0,2026-05-16,1854494
Siyah Dijital Mutfak Tartısı,1999.0,2026-05-16,1192979
Print Yeşil Çocuk Şipşak Fotoğraf Makinesi ,2999.0,2026-05-16,1863978
V12 Detect Slim Absolute Kablosuz Dikey Süpürge,32999.0,2026-05-16,1320693
Core 400s Hava Temizleyici,13999.0,2026-05-16,1818572
Lamborghini Forte Pro Siyah Saç Kurutma Makinesi,13000.0,2026-05-16,1877594
Driving Force Shifter G29/G920 Uyumlu Vites,3499.0,2026-05-16,1391521
650 Adet Kapasiteli Puro Dolabı CIG650BU,149990.0,2026-05-16,1474764
LB 88 Siyah Hava Nemlendirici ,13399.0,2026-05-16,1225181
Luxe Café Pro Series Gümüş Espresso Makinesi ,39999.0,2026-05-16,1904131
Caso WineExclusive 12 Şarap Dolabı,42999.0,2026-05-16,1876739
DH 450 Meyve ve Sebze Kurutucu,9999.0,2026-05-16,1488565
L500 Hava Nemlendirici,11549.99,2026-05-16,1348808
 BC 401 Beyaz Vücut Analizi Bluetooth Akıllı Tartı,18862.0,2026-05-16,1672586
