product-name,product-price
PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Kol  + PS5 Şarj İstasyonu (Yeni Sürüm),40205.15
Creami® Deluxe 10-in-1 Dondurma ve Frozen Makinesi,12999.00
Beosound A9 100. Yıl Özel Sürüm - Limited Taşınabilir Bluetooth Hoparlör,249999.00
Phantom Ultimate Opéra de Paris Beyaz Bluetooth Hoparlör,362499.00
FlexStyle 3-in-1 Stone Saç Kurutma Şekillendirme Sistemi,7999.00
Meta Quest 3S 128GB Beyaz VR Sanal Gerçeklik Gözlüğü ,23607.22
Normatec Premier Bacak Masaj Aleti,76900.00
SPORT True Wireless Kablosuz Kulak İçi Kulaklık,10299.00
Beosound A9 Altın Rengi Multiroom Kablosuz Hoparlör,227959.00
Cinetic Big Ball Absolute 2 Elektrikli Süpürge,18999.00
Airwrap Co-anda 2x™ Saç Şekillendirme ve Kurutma Seti (Jasper Plum),35999.00
Spot+Scrub™ Ai Islak ve Kuru Temizleme Özellikli Robot Süpürge,49999.00
Beosound A9 5.G Natural Aluminium B Bluetooth Hoparlör,227959.00
StainStriker Pet Başlıklı Leke Çıkarma ve Koltuk Yıkama Makinesi,5999.00
Beoplay Eleven Naturel Alüminyum Kulak İçi Bluetooth Kulaklık,25999.00
PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Kol Kırmızı+ PS5 Şarj İstasyonu (Yeni Sürüm),41236.08
Instax 20'li Film Tüm Mini Makineler ile Uyumlu,1249.00
SLUSHi™ Frozen Makinesi,12999.00
A2024 Yeni Seri 3 Milyon Atım 3 Başlık Ultra Hızlı IPL Epilasyon Cihazı,10999.00
LSX II LT Kablosuz Aktif Yeşil Hi-Fi Hoparlör,69999.00
PlayStation VR2 PS5 Sanal Gerçeklik Gözlüğü,25899.00
Beosound A9 Multiroom Siyah Bluetooth Hoparlör,221879.00
Pro Express Protect GV9230 Buhar Kazanlı Ütü,14999.00
Gri Türk Kahvesi Makinesi,18250.00
Buhar Basınçlı Antibakteriyel Kırık Beyaz Paspas ve Mop Seti,2999.00
Smart İ Buhar Kazanlı Ütü Sistemi,119999.00
BeoSound 2 3. Nesil Multiroom Siyah Hi-Fi Bluetooth Hoparlör,251149.00
iPhone 17 Pro 256GB Kozmik Turuncu Akıllı Cep Telefonu MG8H4TU/A,119586.60
Silk Expert Pro 5 Venus PL5146 Çanta ve 2 Başlıklı IPL Lazer Epilasyon Aleti,20999.00
FC 8 Smart Signature Line Islak ve Kuru Dikey Süpürge,27499.00
Arete Two Nem Alma ve Hava Temizleme Cihazı 12 lt,26999.99
HR 2000 Burun ve Kulak Tüyü Düzelticisi,5100.00
50's Style Retro Storm Blue Matt Special Edition Filtre Kahve Makinası,17800.00
Prive Akıllı Vücut Analiz Tartısı,240000.00
V12 Detect Slim Absolute Kablosuz Dikey Süpürge,36999.00
Fast Platinum Vücut Analiz Tartısı,233480.00
SC 5 Deluxe Signature Line Buharlı Temizlik Makinesi,30799.00
PSP Playstation Portal Remote Oyun Konsolu,16999.00
BC 401 Siyah Vücut Analizi Bluetooth Akıllı Tartı,18862.00
Triangle Desenli Bluetooth 5.3 Pembe Kulak Üstü Kulaklık,3860.90
InnerTrace 8 Elektrotlu Akıllı Tartı RBS6000,5999.00
KBOV.2001.GR Icona Vintage Serisi Gizli Rezistanslı Kettle 1.7 Lt,6940.10
RBS4000 Wellness Akıllı Vücut Analiz Tartısı,2499.00
