collected_string,matched_category_code,matched_category_turkish_name,matched_category_english_name
%100 PAMUK %100 PAMUK BİSİKLET YAKA ÜST KIZ ÇOCUK,0713001,Bisiklet,Bicycle
%100 PAMUK %100 PAMUKLU BİSİKLET YAKA TİŞÖRT ERKEK BEBEK,0713001,Bisiklet,Bicycle
%100 PAMUK ARAÇ BASKILI BİSİKLET YAKA KISA KOLLU TİŞÖRT ERKEK BEBEK,0713001,Bisiklet,Bicycle
%100 PAMUK ASİMETRİK BİSİKLET YAKA ÇİZGİLİ TİŞÖRT,0713001,Bisiklet,Bicycle
%100 PAMUK BALLOON FIT BİSİKLET YAKA POPLİN KOLSUZ BLUZ,0713001,Bisiklet,Bicycle
%100 PAMUK BALLOON FIT BİSİKLET YAKA TİŞÖRT KIZ BEBEK,0713001,Bisiklet,Bicycle
%100 PAMUK BARBİE BİSİKLET YAKA SWEATSHİRT KIZ BEBEK,0713001,Bisiklet,Bicycle
%100 PAMUK BARBİE FİTTED BİSİKLET YAKA RİBANA KISA KOLLU TİŞÖRT KIZ ÇOCUK,0713001,Bisiklet,Bicycle
%100 PAMUK BARBİE RELAX FİT BİSİKLET YAKA KISA KOLLU TİŞÖRT KIZ ÇOCUK,0713001,Bisiklet,Bicycle
%100 PAMUK BATMAN 85 BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,0713001,Bisiklet,Bicycle
%100 PAMUK BATMAN BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,0713001,Bisiklet,Bicycle
%100 PAMUK BATMAN BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT ERKEK ÇOCUK,0713001,Bisiklet,Bicycle
%100 PAMUK BOXY FİT BASKILI BİSİKLET YAKA ATLET,0713001,Bisiklet,Bicycle
%100 PAMUK BOXY FİT BİSİKLET YAKA BASKILI ATLET,0713001,Bisiklet,Bicycle
%100 PAMUK BOXY FİT BİSİKLET YAKA BASKILI KISA KOLLU TİŞÖRT,0713001,Bisiklet,Bicycle
%100 PAMUK BOXY FİT BİSİKLET YAKA BASKILI KISA KOLLU TİŞÖRT KIZ ÇOCUK,0713001,Bisiklet,Bicycle
%100 PAMUK BOXY FİT BİSİKLET YAKA BASİC DÜZ KISA KOLLU SİYAH TİŞÖRT,0713001,Bisiklet,Bicycle
%100 PAMUK BOXY FİT BİSİKLET YAKA BASİC DÜZ KISA KOLLU TİŞÖRT,0713001,Bisiklet,Bicycle
%100 PAMUK BOXY FİT BİSİKLET YAKA BASİC DÜZ KISA KOLLU TİŞÖRT KIZ ÇOCUK,0713001,Bisiklet,Bicycle
%100 PAMUK BOXY FİT BİSİKLET YAKA DESENLİ KISA KOLLU TİŞÖRT,0713001,Bisiklet,Bicycle
%100 PAMUK BOXY FİT BİSİKLET YAKA KISA KOLLU TİŞÖRT,0713001,Bisiklet,Bicycle
%100 PAMUK BOXY FİT BİSİKLET YAKA SIRT BASKILI ATLET,0713001,Bisiklet,Bicycle
%100 PAMUK BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,0713001,Bisiklet,Bicycle
%100 PAMUK BRAWL STARS OVERSIZE BİSİKLET YAKA KISA KOLLU TİŞÖRT ERKEK ÇOCUK,0713001,Bisiklet,Bicycle
%100 PAMUK BİSİKLET YAKA ANİME BASKILI KISA KOLLU TİŞÖRT ERKEK ÇOCUK,0713001,Bisiklet,Bicycle
%100 PAMUK BİSİKLET YAKA ANİME BASKILI KISA KOLLU TİŞÖRT KIZ ÇOCUK,0713001,Bisiklet,Bicycle
%100 PAMUK BİSİKLET YAKA ASLAN BASKILI UZUN KOLLU TİŞÖRT ERKEK BEBEK,0713001,Bisiklet,Bicycle
%100 PAMUK BİSİKLET YAKA ATLET ERKEK BEBEK,0713001,Bisiklet,Bicycle
%100 PAMUK BİSİKLET YAKA ATLET ERKEK ÇOCUK,0713001,Bisiklet,Bicycle
%100 PAMUK BİSİKLET YAKA AYI BASKILI UZUN KOLLU TİŞÖRT KIZ BEBEK,0713001,Bisiklet,Bicycle
%100 PAMUK BİSİKLET YAKA BASKILI ATLET ERKEK BEBEK,0713001,Bisiklet,Bicycle
