code,turkish_name,english_name,weight
01,Gıda ve alkolsüz içecekler,Food and non-alcoholic beverages,"24,4444"
011,Gıda,Food,"22,1040"
0111,Tahıllar ve tahıl ürünleri,Cereals and cereal products,"4,4505"
01111,Tahıllar,Cereals,"0,4673"
0111121,Pirinç,Rice,
0111192,Bulgur,Bulgur (cracked wheat),
01112,Tahıl unları,Flour of cereals,"0,3604"
0111211,Buğday unu,Wheat flour,
01113,Ekmek ve unlu mamuller,Bread and bakery products,"3,3873"
0111311,Ekmek,Bread,
0111392,Diğer pastane ürünleri,Other bakery and patisserie products,
0111393,Bisküvi,Biscuits,
0111394,Kraker,Crackers,
0111396,Gofret,Wafer,
0111398,Baklava,Baklava,
0111399,"Simit, poğaça vb. (fırın, market vb. yerlerde satılan)","Simit, poğaça etc. (offered in bakeries, supermarkets, etc.)",
01114,Kahvaltılık tahıl ürünleri,Breakfast cereals,"0,0284"
0111401,Kahvaltılık tahıl gevreği,Breakfast cereal,
01115,"Makarna, erişte, kuskus ve benzeri makarna ürünleri","Macaroni, noodles, couscous and similar pasta products","0,2070"
0111501,Makarna,Pasta (dried),
0111502,Şehriye,Vermicelli and soup pasta,
0112,"Canlı hayvanlar, kesilen kara hayvanlarının etleri ve diğer kısımları","Live animals, and meat and other parts of slaughtered land animals","4,6082"
01122,"Et, taze, soğutulmuş veya dondurulmuş","Meat, fresh, chilled or frozen","3,6716"
0112214,Dana eti,Beef (veal) meat,
0112230,Kuzu eti,Lamb meat,
0112246,Tavuk eti,Chicken meat,
01123,"Et, kurutulmuş, tuzlanmış, salamura edilmiş veya tütsülenmiş","Meat, dried, salted, in brine or smoked","0,6113"
0112311,"Sucuk (kangal, dana etinden)",Fermented sausage (sucuk),
0112312,Dana salam,Beef salami,
0112392,Beyaz et salam,Poultry salami,
01124,"Kesilmiş hayvanların sakatat ve diğer parçaları (taze, soğutulmuş veya dondurulmuş, kurutulmuş, tuzlanmış, salamura edilmiş veya tütsülenmiş)","Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked","0,0832"
0112401,Sakatat,Offal (organ meats),
01125,"Kesilmiş hayvanların et, sakatat ve diğer parçalarından yemeye hazır hale getirilmiş ürünler","Preparations of meat, offal, blood and other parts of slaughtered animals","0,2422"
0112511,Sosis,Sausage,
0112590,Hazır tavuk yemekleri,Prepared poultry dishes,
0112593,Hazır et yemekleri,Prepared meat dishes,
0113,Balıklar ve diğer su ürünleri,Fish and other seafood,"0,3777"
01131,"Balıklar, canlı, taze, soğutulmuş veya dondurulmuş","Fish, live, fresh, chilled or frozen","0,3408"
0113121,Somon balığı (ithal),Salmon (imported),
0113151,Palamut balığı (yerli),Bonito (domestic),
0113191,Diğer balıklar,Other fishes,
01133,Konserve edilmiş veya işlenmiş balık ürünleri,Fish preparations,"0,0369"
0113315,Konserve balık,Canned fish,
