product-name,product-price,Ana Kategori,Kategori ID,Stok Kodu,Fiyat,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d
EKRU-BEJ KRUVAZE YELEK,₺72.950,Kadin,301,M405487839-0027-0104,72950.0,03,0.0,0.0,0.0
EKRU-BEJ CEKET,₺75.950,Kadin,301,M405487845-0027-0104,75950.0,03,0.0,0.0,0.0
EKRU ASKILI BLUZ,₺30.950,Kadin,301,M405487842-0027,30950.0,03,0.0,0.0,0.0
BEJ BOL KESİM PANTOLON,₺32.950,Kadin,301,M405487846-0104,32950.0,03,0.0,0.0,0.0
BEJ-EKRU GÖMLEK,₺42.950,Kadin,301,M405487840-0104,42950.0,03,0.0,0.0,0.0
BEJ KISA KOLLU ELBİSE,₺57.950,Kadin,301,M405487841-0104,57950.0,03,0.0,0.0,0.0
CAMEL O YAKA TRİKO,₺45.950,Kadin,301,M404576991-0088,45950.0,03,0.0,0.0,0.0
BLUZ,₺35.950,Kadin,301,M405487838-0104,35950.0,03,0.0,0.0,0.0
BEJ DÜZ KESİM PANTOLON,₺39.950,Kadin,301,M405487843-0104,39950.0,03,0.0,0.0,0.0
CAMEL V YAKA TRİKO,₺45.950,Kadin,301,M404577017-0088,45950.0,03,0.0,0.0,0.0
TABA BOL PAÇA PANTOLON,₺30.950,Kadin,301,M404576999-0017,30950.0,03,0.0,0.0,0.0
CAMEL V YAKA TRİKO,₺45.950,Kadin,301,M404577018-0088,45950.0,03,0.0,0.0,0.0
TABA KISA KOLLU BLUZ,₺30.950,Kadin,301,M404577000-0017,30950.0,03,0.0,0.0,0.0
CAMEL UZUN KOLLU ELBİSE,₺50.950,Kadin,301,M404577016-0088,50950.0,03,0.0,0.0,0.0
CAMEL KRUVAZE CEKET,₺45.950,Kadin,301,M404480414-0088,45950.0,03,0.0,0.0,0.0
CAMEL BOL KESİM PANTOLON,₺25.950,Kadin,301,M404480415-0088,25950.0,03,0.0,0.0,0.0
CAMEL KOLSUZ BLUZ,₺20.950,Kadin,301,M404480401-0088,20950.0,03,0.0,0.0,0.0
BEJ MİDİ ETEK,₺50.950,Kadin,301,M405092261-0021-0031,50950.0,03,0.0,0.0,0.0
PEMBE-BEJ DEGRADE İPEK BLUZ,₺40.950,Kadin,301,M405092301-0063,40950.0,03,0.0,0.0,0.0
ELBİSE,₺100.950,Kadin,301,M405092274-0063,100950.0,03,0.0,0.0,0.0
