date,genel_1d,grup_05_1d,grup_07_1d,grup_09_1d,genel_7d,grup_05_7d,grup_07_7d,grup_09_7d,genel_15d,grup_05_15d,grup_07_15d,grup_09_15d,genel_30d,grup_05_30d,grup_07_30d,grup_09_30d
2026-03-15,,,,,,,,,,,,,,,,
2026-03-16,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-03-17,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-03-18,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-03-19,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-03-20,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-03-21,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2026-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2026-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2026-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2026-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2026-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2026-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-04-05,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.02,0.02,0.0,0.0,,,,
2026-04-06,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.02,0.02,0.0,0.0,,,,
2026-04-07,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.02,0.02,0.0,0.0,,,,
2026-04-08,0.08,0.09,0.0,0.0,0.1,0.1,0.0,0.0,0.11,0.11,0.0,0.0,,,,
2026-04-09,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,,,,
2026-04-10,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,,,,
2026-04-11,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,,,,
2026-04-12,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.1,0.1,0.0,0.0,,,,
2026-04-13,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.1,0.1,0.0,0.0,,,,
2026-04-14,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.1,0.1,0.0,0.0,0.11,0.11,0.0,0.0
2026-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.11,0.11,0.0,0.0
2026-04-16,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.1,0.1,0.0,0.0,0.11,0.11,0.0,0.0
2026-04-17,0.05,0.05,0.0,0.0,0.11,0.11,0.0,0.0,0.15,0.15,0.0,0.0,0.13,0.14,0.0,0.0
2026-04-18,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.15,0.15,0.0,0.0,0.13,0.14,0.0,0.0
2026-04-19,-0.0,-0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.15,0.15,0.0,0.0,0.13,0.14,0.0,0.0
2026-04-20,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.14,0.14,0.0,0.0,0.13,0.14,0.0,0.0
2026-04-21,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.14,0.14,0.0,0.0,0.13,0.14,0.0,0.0
2026-04-22,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.14,0.14,0.0,0.0,0.13,0.14,0.0,0.0
2026-04-23,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.12,0.12,0.0,0.0,0.14,0.14,0.0,0.0
2026-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.16,0.16,0.0,0.0
2026-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.16,0.16,0.0,0.0
