name,price,shown_price,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
The Purest Solutions Günlük Nemlendirici Bakım Kremi 50 ml,699.9,699.9,The Purest Solutions Günlük Nemlendirici Bakım Kremi 50 ml,12,0.0,0.0,,
The Purest Solutions Nemlendirici Bakım Serum 30 ml,699.9,699.9,The Purest Solutions Nemlendirici Bakım Serum 30 ml,12,0.0,0.0,,
The Purest Solutions Bariyer Güçlendirici Serum 30 ml,699.9,699.9,The Purest Solutions Bariyer Güçlendirici Serum 30 ml,12,0.0,0.0,,
L'Oreal Paris Revitalift Clinical SPF50+ Günlük Yüksek UV Korumalı Yüz Güneş Kremi 50 ml,1359.9,1359.9,L'Oreal Paris Revitalift Clinical SPF50+ Günlük Yüksek UV Korumalı Yüz Güneş Kremi 50 ml,12,0.0,,,
Medicube Age-R Booster Pro Siyah Cilt Bakım Cihazı,36999.0,36999.0,Medicube Age-R Booster Pro Siyah Cilt Bakım Cihazı,12,0.0,0.0,,
Dr Althea 345 Relief Krem 50 ml,2999.9,2999.9,Dr Althea 345 Relief Krem 50 ml,12,0.0,0.0,,
ELENSILIA ALPHA ARBUTİN AYDINLA. BAKIM SERUMU 50ML,2299.9,2299.9,ELENSILIA ALPHA ARBUTİN AYDINLA. BAKIM SERUMU 50ML,12,0.0,,,
Round Lab Birch Juice Serinletici Nemlendirici Yüksek UV Korumalı Yüz Stick Güneş Koruyucu 19 gr,1519.9,1519.9,Round Lab Birch Juice Serinletici Nemlendirici Yüksek UV Korumalı Yüz Stick Güneş Koruyucu 19 gr,12,0.0,,,
L'Oréal Paris Revitalift Filler Glassy Skin Cam Cilt Görünümü Veren Hyaluronik Asit İçeren Nemlendirici Krem 50 ml,1399.9,1399.9,L'Oréal Paris Revitalift Filler Glassy Skin Cam Cilt Görünümü Veren Hyaluronik Asit İçeren Nemlendirici Krem 50 ml,12,0.0,0.0,,
Medicube Glutathione Glow Kapsul Krem 50 ml,3859.9,3859.9,Medicube Glutathione Glow Kapsul Krem 50 ml,12,0.0,0.0,,
Nivea Sun SPF50+ Koruma & 48 Saat Nemlendirme Vücut Güneş Kremi Sprey 200 ml,1879.9,1879.9,Nivea Sun SPF50+ Koruma & 48 Saat Nemlendirme Vücut Güneş Kremi Sprey 200 ml,12,0.0,,,
