product-name,product-price,shown_price,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Nyx Professional Makeup Bare With Me Kapatıcı Serum 02 Light,1259.9,1259.9,Nyx Professional Makeup Bare With Me Kapatıcı Serum 02 Light,12,0.0,0.0,0.0,
L'Oreal Paris Telescopic Maskara Gold Black,1449.9,1449.9,L'Oreal Paris Telescopic Maskara Gold Black,12,0.0,0.0,0.0,
Maybelline New York Lash Sensational Maskara Sky High,1699.9,1699.9,Maybelline New York Lash Sensational Maskara Sky High,12,0.0,,0.0,
Revolution Forever Flawless Far Paleti Nova Green,1149.9,1149.9,Revolution Forever Flawless Far Paleti Nova Green,12,0.0,0.0,0.0,
L'Oreal Paris Panorama Hacim Veren Maskara Siyah,1799.9,1799.9,L'Oreal Paris Panorama Hacim Veren Maskara Siyah,12,0.0,0.0,0.0,
Revolution Forever Flawless Far Paleti Affinity,1499.9,1499.9,Revolution Forever Flawless Far Paleti Affinity,12,0.0,0.0,,
Maybelline New York Super Lock Brow Glue Kaş Sabitleyici Maskara,1299.9,1299.9,Maybelline New York Super Lock Brow Glue Kaş Sabitleyici Maskara,12,0.0,0.0,0.0,
Nyx Professional Makeup Face Glue Makyaj Bazı,699.9,699.9,Nyx Professional Makeup Face Glue Makyaj Bazı,12,0.0,0.0,0.0,
Maybelline New York Lash Sensational Yelpaze Etkili Maskara Ekstra Siyah,1349.9,1349.9,Maybelline New York Lash Sensational Yelpaze Etkili Maskara Ekstra Siyah,12,0.0,0.0,0.0,
L'Oreal Paris Glotion All-In-One Doğal Işıltı 903 Medium Glow,1299.9,1299.9,L'Oreal Paris Glotion All-In-One Doğal Işıltı 903 Medium Glow,12,0.0,0.0,0.0,
Nyx Professional Makeup Buttermelt Blush Kremsi Pudra Allık 09 Feelin Butta,1099.9,1099.9,Nyx Professional Makeup Buttermelt Blush Kremsi Pudra Allık 09 Feelin Butta,12,0.0,0.0,0.0,
Revolution Forever Flawless Far Paleti Bird of Paradise,1499.9,1499.9,Revolution Forever Flawless Far Paleti Bird of Paradise,12,0.0,0.0,,
Flormar Volume Up Yüksek Pigmentli & Hacim Etkili Kat Kat Uygulanabilir Maskara,1249.9,1249.9,Flormar Volume Up Yüksek Pigmentli & Hacim Etkili Kat Kat Uygulanabilir Maskara,12,0.0,0.0,0.0,
L'Oreal Paris Telescopic Extensionist Maskara,1699.9,1699.9,L'Oreal Paris Telescopic Extensionist Maskara,12,0.0,0.0,0.0,
Revolution The Icon Enchanted Far Paleti,1809.9,1809.9,Revolution The Icon Enchanted Far Paleti,12,0.0,0.0,0.0,
Nyx Professional Makeup The Face Glue Sabitleyici Sprey,699.9,699.9,Nyx Professional Makeup The Face Glue Sabitleyici Sprey,12,0.0,0.0,0.0,
Nyx Professional Makeup Brow Glue Kaş Sabitleyici Maskara Şeffaf,949.9,949.9,Nyx Professional Makeup Brow Glue Kaş Sabitleyici Maskara Şeffaf,12,0.0,0.0,0.0,
Maybelline New York Lash Sensational Yelpaze Etkili Maskara Siyah,1349.9,1349.9,Maybelline New York Lash Sensational Yelpaze Etkili Maskara Siyah,12,0.0,0.0,0.0,
Flormar Extreme Tattoo Suya Dayanıklı ve Kalıcı Jel Göz Kalemi Koyu Kahve,799.9,799.9,Flormar Extreme Tattoo Suya Dayanıklı ve Kalıcı Jel Göz Kalemi Koyu Kahve,12,0.0,0.0,0.0,
Flormar Extreme Tattoo Yoğun Pigmentli Işıltılı Jel Göz Kalemi No: 001 Glitzy Brown,799.9,799.9,Flormar Extreme Tattoo Yoğun Pigmentli Işıltılı Jel Göz Kalemi No: 001 Glitzy Brown,12,0.0,,0.0,
Flormar Sheer Up Ruj No: 013 Gaia,869.9,869.9,Flormar Sheer Up Ruj No: 013 Gaia,12,0.0,0.0,0.0,
Revolution Ultra Blush Palette Sugar and Spice,999.9,999.9,Revolution Ultra Blush Palette Sugar and Spice,12,0.0,0.0,0.0,
Maybelline New York Lash Sensational Sky High Kahverengi Maskara,1699.9,1699.9,Maybelline New York Lash Sensational Sky High Kahverengi Maskara,12,0.0,0.0,0.0,
Nyx Professional Makeup Buttermelt Blush Kremsi Pudra Allık 08 Getting Butta,1099.9,1099.9,Nyx Professional Makeup Buttermelt Blush Kremsi Pudra Allık 08 Getting Butta,12,0.0,0.0,0.0,
Note 3in1 Glowing Skin Tinted Nemlendirici,949.9,949.9,Note 3in1 Glowing Skin Tinted Nemlendirici,12,0.0,0.0,0.0,
Nyx Professional Makeup Epic Ink Liner Dark Chocolate,999.9,999.9,Nyx Professional Makeup Epic Ink Liner Dark Chocolate,12,0.0,0.0,0.0,
Maybelline New York Sky High Maskara Cosmic Black,1699.9,1699.9,Maybelline New York Sky High Maskara Cosmic Black,12,0.0,0.0,0.0,
Nyx Professional Makeup Buttermelt Blush Kremsi Pudra Allık 04 U Know Butta,1099.9,1099.9,Nyx Professional Makeup Buttermelt Blush Kremsi Pudra Allık 04 U Know Butta,12,0.0,0.0,0.0,
L'Oreal Paris Panorama Chromatic Maskara Bordo,1799.9,1799.9,L'Oreal Paris Panorama Chromatic Maskara Bordo,12,0.0,0.0,0.0,
Revolution The Icon True Bronze Far Paleti,1809.9,1809.9,Revolution The Icon True Bronze Far Paleti,12,0.0,0.0,0.0,
Flormar Longer Than Ever Uzun Görünüm Veren Maskara No: 001,1249.9,1249.9,Flormar Longer Than Ever Uzun Görünüm Veren Maskara No: 001,12,0.0,0.0,0.0,
L'Oreal Paris Infaillible 24H Kapatıcı 322,1459.9,1459.9,L'Oreal Paris Infaillible 24H Kapatıcı 322,12,0.0,0.0,,
Unfilter Beauty Lip & Cheek 41 Cheeked,349.9,349.9,Unfilter Beauty Lip & Cheek 41 Cheeked,12,0.0,0.0,0.0,
Maybelline New York Lash Sensational Sky High Suya Dayanıklı Waterproof Maskara,1699.9,1699.9,Maybelline New York Lash Sensational Sky High Suya Dayanıklı Waterproof Maskara,12,0.0,0.0,0.0,
Nyx Professional Makeup Buttermelt Blush Kremsi Pudra Allık 02 Butta Together,1099.9,1099.9,Nyx Professional Makeup Buttermelt Blush Kremsi Pudra Allık 02 Butta Together,12,0.0,0.0,0.0,
Revolution Reloaded Far Paleti Iconic Fever,934.9,934.9,Revolution Reloaded Far Paleti Iconic Fever,12,0.0,0.0,0.0,
Revolution Reloaded Far Paleti Velvet Rose,934.9,934.9,Revolution Reloaded Far Paleti Velvet Rose,12,0.0,0.0,0.0,
L'Oreal Paris Infaillible 3-Second Makyaj Sabitleme Spreyi,1079.9,1079.9,L'Oreal Paris Infaillible 3-Second Makyaj Sabitleme Spreyi,12,0.0,0.0,0.0,
Nyx Professional Makeup Buttermelt Highlighter Kremsi Pudra Aydınlatıcı 05 Bright And Butta,1099.9,1099.9,Nyx Professional Makeup Buttermelt Highlighter Kremsi Pudra Aydınlatıcı 05 Bright And Butta,12,0.0,0.0,0.0,
Flormar Sheer Up Ruj No: 003 Pinky Nude,869.9,869.9,Flormar Sheer Up Ruj No: 003 Pinky Nude,12,0.0,0.0,0.0,
Nyx Professional Makeup Wonder Snatch Sabitleyici Pudra Cheeky Cherry,849.9,849.9,Nyx Professional Makeup Wonder Snatch Sabitleyici Pudra Cheeky Cherry,12,0.0,0.0,0.0,
Maybelline New York Instant Anti Age Eraser Kapatıcı 01 Light,1399.9,1399.9,Maybelline New York Instant Anti Age Eraser Kapatıcı 01 Light,12,0.0,0.0,0.0,
