date,product_id,product_name,category,tuik_category,price,relative_1d,relative_7d,relative_15d,relative_30d,sector
2026-09-06,4 baby eagle,4 baby eagle,epeykatfg,13,,,,0.0,,epeykatfg
2026-09-06,accu chek active,accu chek active,epeykatfg,06,,,,0.0,-2.0618556701030966,epeykatfg
2026-09-06,acer aspire go 15 ag15 71p nx j6sey 001 fr43,acer aspire go 15 ag15 71p nx j6sey 001 fr43,epeykatfg,08,,,,2.641271331934436,1.4503473581922943,epeykatfg
2026-09-06,acura ac 4000,acura ac 4000,epeykatfg,06,,,,3.0932287859658514,3.0932287859658514,epeykatfg
2026-09-06,acura ac 4020,acura ac 4020,epeykatfg,06,,,,-0.2130081897976588,-0.2130081897976588,epeykatfg
2026-09-06,acura ac 437,acura ac 437,epeykatfg,06,,,,14.749417249417274,6.191015477538708,epeykatfg
2026-09-06,acura ac 933,acura ac 933,epeykatfg,06,,,,,,epeykatfg
2026-09-06,adidas campus 00s hq8713,adidas campus 00s hq8713,epeykatfg,03,,,,0.0,-10.000000000000009,epeykatfg
2026-09-06,aerocool p300c,aerocool p300c,epeykatfg,08,,,,0.0,-1.0869565217391242,epeykatfg
2026-09-06,aiqura ad 805,aiqura ad 805,epeykatfg,06,,,,12.500947041442533,10.000740795614483,epeykatfg
2026-09-06,airfel lvq140u,airfel lvq140u,epeykatfg,05,,,,0.0,0.0,epeykatfg
2026-09-06,airfree orb,airfree orb,epeykatfg,05,,,,0.0,0.0,epeykatfg
2026-09-06,ajazz nj08,ajazz nj08,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,akel as1012 1500w,akel as1012 1500w,epeykatfg,05,,,,0.0,1.4393845390246796,epeykatfg
2026-09-06,alarko seradens super plus ssp 28,alarko seradens super plus ssp 28,epeykatfg,05,,,,0.0,0.0,epeykatfg
2026-09-06,alba fold x,alba fold x,epeykatfg,09,,,,0.0,0.0,epeykatfg
2026-09-06,alcatel 1041,alcatel 1041,epeykatfg,08,,,,14.219364058592365,14.219364058592365,epeykatfg
2026-09-06,alf ait 04,alf ait 04,epeykatfg,05,,,,-4.395604395604391,-4.395604395604391,epeykatfg
2026-09-06,alfais 4399,alfais 4399,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,ally 230,ally 230,epeykatfg,08,,,,,-34.893701120867334,epeykatfg
2026-09-06,ally ads 301a,ally ads 301a,epeykatfg,08,,,,4.165801961842308,4.165801961842308,epeykatfg
2026-09-06,almina dl 2023,almina dl 2023,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,alpin actuel b 160,alpin actuel b 160,epeykatfg,09,,,,-30.547585024292655,-30.547585024292655,epeykatfg
2026-09-06,alpin picco b 182r,alpin picco b 182r,epeykatfg,09,,,,-16.24993193574735,-16.24993193574735,epeykatfg
2026-09-06,alpin rigi b 170,alpin rigi b 170,epeykatfg,09,,,,0.0,,epeykatfg
2026-09-06,altis kk450 pro,altis kk450 pro,epeykatfg,09,,,,0.0,0.0,epeykatfg
2026-09-06,altis vision plus v2,altis vision plus v2,epeykatfg,09,,,,0.0,0.0,epeykatfg
2026-09-06,altus al 1128,altus al 1128,epeykatfg,05,,,,0.09917704156994223,1.1363636363636465,epeykatfg
2026-09-06,altus al 2983 ecofryer xl air fryer,altus al 2983 ecofryer xl air fryer,epeykatfg,05,,,,-1.267811062492985,10.072234904155852,epeykatfg
2026-09-06,altus al 355 bs,altus al 355 bs,epeykatfg,05,,,,-2.664884481232388,-1.470776186263567,epeykatfg
2026-09-06,altus al 445 nx,altus al 445 nx,epeykatfg,05,,,,2.2112745619025542,2.231726915164356,epeykatfg
2026-09-06,altus al 4955 es,altus al 4955 es,epeykatfg,05,,,,-14.56322443838587,-14.929434363639249,epeykatfg
2026-09-06,altus al 709 xnf je,altus al 709 xnf je,epeykatfg,05,,,,-0.3940721468812747,-2.390434782608697,epeykatfg
2026-09-06,altus al 795 ic,altus al 795 ic,epeykatfg,05,,,,0.0,1.724137931034475,epeykatfg
2026-09-06,altus al 81 ic,altus al 81 ic,epeykatfg,05,,,,-4.3010752688172005,-4.3010752688172005,epeykatfg
2026-09-06,altus al 91 yb,altus al 91 yb,epeykatfg,05,,,,-11.00000000000001,-11.00000000000001,epeykatfg
2026-09-06,altus al km 846,altus al km 846,epeykatfg,05,,,,15.241016067737846,16.672291596355038,epeykatfg
2026-09-06,altus alk 484 xe,altus alk 484 xe,epeykatfg,05,,,,-0.5376825880455183,-0.5376825880455183,epeykatfg
2026-09-06,amazfit cheetah square,amazfit cheetah square,epeykatfg,08,,,,-0.2763521515988909,-0.2763521515988909,epeykatfg
2026-09-06,amd a6 9500,amd a6 9500,epeykatfg,08,,,,0.4194217970939995,0.9139391854113832,epeykatfg
2026-09-06,amd a8 7650k,amd a8 7650k,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,amd ryzen 5 3400g,amd ryzen 5 3400g,epeykatfg,08,,,,6.814245055502033,5.653220652724822,epeykatfg
2026-09-06,amd ryzen 5 pro 5650g,amd ryzen 5 pro 5650g,epeykatfg,08,,,,-6.000000000000005,0.0,epeykatfg
2026-09-06,amd ryzen 7 5800x,amd ryzen 7 5800x,epeykatfg,08,,,,-4.221545888649835,-0.25239907940304285,epeykatfg
2026-09-06,antec nx360,antec nx360,epeykatfg,08,,,,0.0,-6.851071868539449,epeykatfg
2026-09-06,antec p30 argb,antec p30 argb,epeykatfg,08,,,,,,epeykatfg
2026-09-06,aoc c27g2ze bk,aoc c27g2ze bk,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,ape ryder loris,ape ryder loris,epeykatfg,09,,,,19.143356643356647,9.563959200443017,epeykatfg
2026-09-06,apple ipad 2022 10 nesil wi fi plus cellular 2,apple ipad 2022 10 nesil wi fi plus cellular 2,epeykatfg,08,,,,8.258447996434048,25.07937499999999,epeykatfg
2026-09-06,apple ipad air 13 m4 mh5v4tu a,apple ipad air 13 m4 mh5v4tu a,epeykatfg,08,,,,6.363752068219419,22.47435322267084,epeykatfg
