date,product_id,product_name,category,tuik_category,price,relative_1d,relative_7d,relative_15d,relative_30d,Rooms
2026-03-02,Bünyan / Gölova (Palas) | 3+1,Bünyan / Gölova (Palas),,04,9000.0,,,,,3+1
2026-03-02,Bünyan / Köyler | 3+1,Bünyan / Köyler,,04,10000.0,,,,,3+1
2026-03-02,Bünyan / Çiftlik | 3+1,Bünyan / Çiftlik,,04,12000.0,,,,,3+1
2026-03-02,Develi | 1+1,Develi,,04,11500.0,,,,,1+1
2026-03-02,Develi | 2+1,Develi,,04,13750.0,,,,,2+1
2026-03-02,Develi | 3+1,Develi,,04,13125.0,,,,,3+1
2026-03-02,Hacılar | 2+1,Hacılar,,04,12000.0,,,,,2+1
2026-03-02,Hacılar | 3+1,Hacılar,,04,13000.0,,,,,3+1
2026-03-02,Hacılar | 3.5+1,Hacılar,,04,40000.0,,,,,3.5+1
2026-03-02,Hacılar | 4+1,Hacılar,,04,9000.0,,,,,4+1
2026-03-02,Kocasinan / Argıncık | 2+1,Kocasinan / Argıncık,,04,10500.0,,,,,2+1
2026-03-02,Kocasinan / Argıncık | 3+1,Kocasinan / Argıncık,,04,14000.0,,,,,3+1
2026-03-02,Kocasinan / Argıncık | 4+1,Kocasinan / Argıncık,,04,31500.0,,,,,4+1
2026-03-02,Kocasinan / Erkilet | 2+1,Kocasinan / Erkilet,,04,13750.0,,,,,2+1
2026-03-02,Kocasinan / Erkilet | 2.5+1,Kocasinan / Erkilet,,04,16125.0,,,,,2.5+1
2026-03-02,Kocasinan / Erkilet | 3+0,Kocasinan / Erkilet,,04,14995.0,,,,,3+0
2026-03-02,Kocasinan / Erkilet | 3+1,Kocasinan / Erkilet,,04,17000.0,,,,,3+1
2026-03-02,Kocasinan / Erkilet | 3.5+1,Kocasinan / Erkilet,,04,18500.0,,,,,3.5+1
2026-03-02,Kocasinan / Erkilet | 4+1,Kocasinan / Erkilet,,04,20000.0,,,,,4+1
2026-03-02,Kocasinan / Erkilet | 4.5+1,Kocasinan / Erkilet,,04,20000.0,,,,,4.5+1
2026-03-02,Kocasinan / Erkilet | 5+1,Kocasinan / Erkilet,,04,64500.0,,,,,5+1
2026-03-02,Kocasinan / Fevziçakmak | 1+1,Kocasinan / Fevziçakmak,,04,21125.0,,,,,1+1
2026-03-02,Kocasinan / Fevziçakmak | 2+1,Kocasinan / Fevziçakmak,,04,11000.0,,,,,2+1
2026-03-02,Kocasinan / Fevziçakmak | 3+1,Kocasinan / Fevziçakmak,,04,13250.0,,,,,3+1
2026-03-02,Kocasinan / Fevziçakmak | 4+1,Kocasinan / Fevziçakmak,,04,28000.0,,,,,4+1
2026-03-02,Kocasinan / Fevziçakmak | 5+1,Kocasinan / Fevziçakmak,,04,47500.0,,,,,5+1
2026-03-02,Kocasinan / Merkez | 1+1,Kocasinan / Merkez,,04,16895.0,,,,,1+1
2026-03-02,Kocasinan / Merkez | 2+1,Kocasinan / Merkez,,04,15750.0,,,,,2+1
2026-03-02,Kocasinan / Merkez | 2.5+1,Kocasinan / Merkez,,04,16000.0,,,,,2.5+1
2026-03-02,Kocasinan / Merkez | 3+0,Kocasinan / Merkez,,04,16000.0,,,,,3+0
2026-03-02,Kocasinan / Merkez | 3+1,Kocasinan / Merkez,,04,19125.0,,,,,3+1
2026-03-02,Kocasinan / Merkez | 3.5+1,Kocasinan / Merkez,,04,30750.0,,,,,3.5+1
2026-03-02,Kocasinan / Merkez | 4+0,Kocasinan / Merkez,,04,16000.0,,,,,4+0
2026-03-02,Kocasinan / Merkez | 4+1,Kocasinan / Merkez,,04,32000.0,,,,,4+1
2026-03-02,Kocasinan / Sanayi | 1+1,Kocasinan / Sanayi,,04,21745.0,,,,,1+1
2026-03-02,Kocasinan / Sanayi | 2+1,Kocasinan / Sanayi,,04,16750.0,,,,,2+1
2026-03-02,Kocasinan / Sanayi | 2.5+1,Kocasinan / Sanayi,,04,10000.0,,,,,2.5+1
2026-03-02,Kocasinan / Sanayi | 3+1,Kocasinan / Sanayi,,04,14000.0,,,,,3+1
2026-03-02,Kocasinan / Sanayi | 3.5+1,Kocasinan / Sanayi,,04,14000.0,,,,,3.5+1
2026-03-02,Kocasinan / Sanayi | 4+1,Kocasinan / Sanayi,,04,18000.0,,,,,4+1
2026-03-02,Kocasinan / Sanayi | 5+1,Kocasinan / Sanayi,,04,77500.0,,,,,5+1
2026-03-02,Kocasinan / Sanayi | Stüdyo (1+0),Kocasinan / Sanayi,,04,19995.0,,,,,Stüdyo (1+0)
2026-03-02,Kocasinan / Yenimahalle | 1+1,Kocasinan / Yenimahalle,,04,16000.0,,,,,1+1
2026-03-02,Kocasinan / Yenimahalle | 2+1,Kocasinan / Yenimahalle,,04,10125.0,,,,,2+1
2026-03-02,Kocasinan / Yenimahalle | 2.5+1,Kocasinan / Yenimahalle,,04,11000.0,,,,,2.5+1
2026-03-02,Kocasinan / Yenimahalle | 3+0,Kocasinan / Yenimahalle,,04,22500.0,,,,,3+0
2026-03-02,Kocasinan / Yenimahalle | 3+1,Kocasinan / Yenimahalle,,04,14500.0,,,,,3+1
2026-03-02,Kocasinan / Yenimahalle | 3.5+1,Kocasinan / Yenimahalle,,04,23000.0,,,,,3.5+1
2026-03-02,Kocasinan / Yenimahalle | 4+0,Kocasinan / Yenimahalle,,04,22000.0,,,,,4+0
2026-03-02,Kocasinan / Yenimahalle | 4+1,Kocasinan / Yenimahalle,,04,25000.0,,,,,4+1
2026-03-02,Kocasinan / Yenimahalle | 4+2,Kocasinan / Yenimahalle,,04,17500.0,,,,,4+2
2026-03-02,Kocasinan / Yenimahalle | 5+1,Kocasinan / Yenimahalle,,04,23000.0,,,,,5+1
2026-03-02,Kocasinan / Yenişehir | 2+0,Kocasinan / Yenişehir,,04,17950.0,,,,,2+0
2026-03-02,Kocasinan / Yenişehir | 2+1,Kocasinan / Yenişehir,,04,11500.0,,,,,2+1
2026-03-02,Kocasinan / Yenişehir | 2.5+1,Kocasinan / Yenişehir,,04,18500.0,,,,,2.5+1
2026-03-02,Kocasinan / Yenişehir | 3+0,Kocasinan / Yenişehir,,04,11000.0,,,,,3+0
2026-03-02,Kocasinan / Yenişehir | 3+1,Kocasinan / Yenişehir,,04,15400.0,,,,,3+1
2026-03-02,Kocasinan / Yenişehir | 4+1,Kocasinan / Yenişehir,,04,25750.0,,,,,4+1
2026-03-02,Kocasinan / İldem/Beyazşehir | 2+1,Kocasinan / İldem/Beyazşehir,,04,10000.0,,,,,2+1
2026-03-02,Kocasinan / İldem/Beyazşehir | 2.5+1,Kocasinan / İldem/Beyazşehir,,04,16000.0,,,,,2.5+1
2026-03-02,Kocasinan / İldem/Beyazşehir | 3+0,Kocasinan / İldem/Beyazşehir,,04,17625.0,,,,,3+0
2026-03-02,Kocasinan / İldem/Beyazşehir | 3+1,Kocasinan / İldem/Beyazşehir,,04,14250.0,,,,,3+1
2026-03-02,Kocasinan / İldem/Beyazşehir | 3+2,Kocasinan / İldem/Beyazşehir,,04,20000.0,,,,,3+2
2026-03-02,Kocasinan / İldem/Beyazşehir | 3.5+1,Kocasinan / İldem/Beyazşehir,,04,12000.0,,,,,3.5+1
2026-03-02,Melikgazi / Becen | 1+1,Melikgazi / Becen,,04,20000.0,,,,,1+1
2026-03-02,Melikgazi / Becen | 10 Üzeri,Melikgazi / Becen,,04,155000.0,,,,,10 Üzeri
2026-03-02,Melikgazi / Becen | 2+1,Melikgazi / Becen,,04,12375.0,,,,,2+1
2026-03-02,Melikgazi / Becen | 2.5+1,Melikgazi / Becen,,04,14000.0,,,,,2.5+1
2026-03-02,Melikgazi / Becen | 3+1,Melikgazi / Becen,,04,15000.0,,,,,3+1
2026-03-02,Melikgazi / Becen | 3.5+1,Melikgazi / Becen,,04,55000.0,,,,,3.5+1
2026-03-02,Melikgazi / Becen | 4+1,Melikgazi / Becen,,04,37000.0,,,,,4+1
2026-03-02,Melikgazi / Becen | 4.5+1,Melikgazi / Becen,,04,110000.0,,,,,4.5+1
2026-03-02,Melikgazi / Becen | 5+1,Melikgazi / Becen,,04,78000.0,,,,,5+1
2026-03-02,Melikgazi / Becen | 6+2,Melikgazi / Becen,,04,92500.0,,,,,6+2
2026-03-02,Melikgazi / Becen | 7+1,Melikgazi / Becen,,04,120000.0,,,,,7+1
2026-03-02,Melikgazi / Becen | 8+1,Melikgazi / Becen,,04,130000.0,,,,,8+1
2026-03-02,Melikgazi / Becen | 8+2,Melikgazi / Becen,,04,100000.0,,,,,8+2
