District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Akıncılar,3+1,15000.0,04,0.0,0.0,0.0,
Divriği,2+1,18500.0,04,0.0,-14.942528735632186,-26.0,-14.942528735632186
Divriği,3+1,15000.0,04,0.0,0.0,0.0,-11.76470588235294
Divriği,4+1,30000.0,04,0.0,,0.0,-3.225806451612903
Gemerek,3+1,12000.0,04,0.0,,,
Gemerek / Yeniçubuk,1+1,15000.0,04,0.0,0.0,0.0,
Gemerek / Yeniçubuk,2+1,12250.0,04,0.0,,,16.666666666666664
Gemerek / Yeniçubuk,3+1,17000.0,04,0.0,0.0,0.0,
Gürün,2+1,18000.0,04,0.0,-16.27906976744186,9.090909090909092,46.93877551020408
Gürün,3+1,17000.0,04,0.0,23.636363636363637,23.636363636363637,13.333333333333334
Hafik,1+1,19000.0,04,0.0,,,
Kangal,3+1,25000.0,04,0.0,0.0,14.285714285714285,14.942528735632186
Merkez,1+1,21000.0,04,-4.545454545454546,1.2048192771084338,-2.3255813953488373,-4.545454545454546
Merkez,1.5+1,32000.0,04,0.0,,8.47457627118644,8.47457627118644
Merkez,2+0,22000.0,04,0.0,0.0,0.0,-1.1235955056179776
Merkez,2+1,19249.5,04,-3.7476873843692187,4.051351351351351,6.941666666666666,-9.414117647058823
Merkez,2.5+1,27500.0,04,0.0,5.769230769230769,5.769230769230769,5.769230769230769
Merkez,3+1,26500.0,04,0.9523809523809524,-0.9345794392523363,0.47393364928909953,26.190476190476193
Merkez,3.5+1,35000.0,04,0.0,0.0,4.477611940298507,4.477611940298507
Merkez,4+1,39000.0,04,0.0,-2.5,19.083969465648856,-2.5
Merkez,4.5+1,42500.0,04,8.974358974358974,11.842105263157894,21.428571428571427,-7.608695652173914
Merkez / Aydoğan,1+1,19500.0,04,0.0,25.806451612903224,8.333333333333332,6.8493150684931505
Merkez / Aydoğan,2+0,13000.0,04,0.0,0.0,0.0,0.0
Merkez / Aydoğan,2+1,14500.0,04,-1.694915254237288,-4.918032786885246,-1.694915254237288,-6.451612903225806
Merkez / Aydoğan,3+1,18375.0,04,-2.0,-2.0,6.521739130434782,2.083333333333333
Merkez / Aydoğan,3.5+1,22000.0,04,0.0,15.789473684210526,14.285714285714285,18.91891891891892
Merkez / Aydoğan,4+1,24000.0,04,0.0,2.127659574468085,-2.0408163265306123,0.0
Merkez / Aydoğan,6+1,20000.0,04,0.0,0.0,-33.33333333333333,-33.33333333333333
Merkez / Ferhatbostan,1+1,22500.0,04,0.0,18.421052631578945,12.5,16.883116883116884
Merkez / Ferhatbostan,2+0,22500.0,04,0.0,15.384615384615385,21.293800539083556,32.35294117647059
Merkez / Ferhatbostan,2+1,16000.0,04,3.225806451612903,4.918032786885246,6.666666666666667,4.0650406504065035
Merkez / Ferhatbostan,3+1,20500.0,04,1.2345679012345678,0.0,0.0,0.0
Merkez / Ferhatbostan,3.5+1,25000.0,04,0.0,0.0,0.0,7.642626480086114
Merkez / Ferhatbostan,4+1,25500.0,04,6.25,13.333333333333334,13.333333333333334,-8.928571428571429
Merkez / Ferhatbostan,4.5+1,35500.0,04,0.0,2.898550724637681,2.898550724637681,7.575757575757576
Merkez / Ferhatbostan,5+1,32500.0,04,0.0,4.838709677419355,4.838709677419355,17.117117117117118
Merkez / Gökçebostan,1+1,15750.0,04,0.0,0.0,0.0,0.0
Merkez / Gökçebostan,2+1,18500.0,04,7.246376811594203,19.35483870967742,19.35483870967742,15.625
Merkez / Gökçebostan,2.5+1,18000.0,04,0.0,0.0,0.0,0.0
Merkez / Gökçebostan,3+1,19000.0,04,0.0,-2.564102564102564,-1.2987012987012987,-2.564102564102564
Merkez / Gökçebostan,3.5+1,25000.0,04,0.0,0.0,35.13513513513514,13.636363636363635
Merkez / Gökçebostan,4+1,18750.0,04,0.0,0.0,0.0,-27.184466019417474
Merkez / Gökçebostan,Stüdyo (1+0),12250.0,04,0.0,4.25531914893617,4.25531914893617,-2.0
