Ana Kategori,Kategori ID,Stok Kodu,Ürün Adı,Fiyat,tuik_category,basic_inflation_1d
Kadin,301,M405487839-0027-0104,YELEK,72950.0,03,0.0
Kadin,301,M405487845-0027-0104,EKRU-BEJ CEKET,75950.0,03,0.0
Kadin,301,M404576991-0088,CAMEL O YAKA TRİKO,45950.0,03,0.0
Kadin,301,M404577017-0088,CAMEL V YAKA TRİKO,45950.0,03,0.0
Kadin,301,M404576999-0017,TABA BOL PAÇA PANTOLON,30950.0,03,0.0
Kadin,301,M404577018-0088,CAMEL V YAKA TRİKO,45950.0,03,0.0
Kadin,301,M404577000-0017,TABA KISA KOLLU BLUZ,30950.0,03,0.0
Kadin,301,M404577016-0088,CAMEL UZUN KOLLU ELBİSE,50950.0,03,0.0
Kadin,301,M404480414-0088,CAMEL KRUVAZE CEKET,45950.0,03,0.0
Kadin,301,M404480415-0088,PANTOLON,25950.0,03,0.0
Kadin,301,M404480401-0088,CAMEL KOLSUZ BLUZ,20950.0,03,0.0
Kadin,301,M405092255-0063-0021,PEMBE KISA KOLLU GÖMLEK,35950.0,03,0.0
Kadin,301,M405092261-0021-0031,ETEK,50950.0,03,0.0
Kadin,301,M405092301-0063,PEMBE-BEJ DEGRADE İPEK BLUZ,40950.0,03,0.0
Kadin,301,M405092260-0063-0021,ETEK,50950.0,03,0.0
Kadin,301,M405092291-0021-0063,PEMBE-BEJ POLO YAKA BLUZ,55950.0,03,0.0
Kadin,301,M404577019-0027,EKRU MONT,69950.0,03,0.0
Kadin,301,M404576990-0054,LİLA ETEK,50950.0,03,0.0
Kadin,301,M404576989-0054,LİLA O YAKA UZUN KOLLU BLUZ,40950.0,03,0.0
Kadin,301,M404690234-0054,LİLA TRİKO,8950.0,03,0.0
Kadin,301,M404634840-0054,PANTOLON,42950.0,03,0.0
Kadin,301,M404644548-0054,LİLA ŞAPKA,20950.0,03,0.0
Kadin,301,M404634839-0054,LİLA KISA KOLLU BLUZ,30950.0,03,0.0
Kadin,301,M404576982-0038,MAVİ V YAKA KOLSUZ BLUZ,25950.0,03,0.0
Kadin,301,M404576985-0038,MAVİ BOL PAÇA PANTOLON,35950.0,03,0.0
Kadin,301,M404576984-0038,MAVİ KRUVAZE YAKA CEKET,70950.0,03,0.0
Kadin,301,M404576997-0038,MAVİ KABAN,105950.0,03,0.0
Kadin,301,M404576983-0038,MAVİ UZUN KOLLU GÖMLEK,45950.0,03,0.0
Kadin,301,M404480382-0038,PANTOLON,25950.0,03,0.0
Kadin,301,M404402058-0038,MAVİ KAYIK YAKA TRİKO,20950.0,03,0.0
Kadin,301,M404402059-0038-0012,MAVİ POLO YAKA TRİKO,30950.0,03,0.0
Kadin,301,M404576981-0038,MAVİ V YAKA TRİKO,40950.0,03,0.0
Kadin,301,M404576980-0038,MAVİ UZUN KOLLU GÖMLEK,80950.0,03,0.0
Kadin,301,M404480364-0038,PANTOLON,30950.0,03,0.0
Kadin,301,M404480363-0038,MAVİ KISA KOLLU GÖMLEK,25950.0,03,0.0
Kadin,301,M404480377-0038,ŞORT,25950.0,03,0.0
Kadin,301,M404480405-0038,YELEK,40950.0,03,0.0
Kadin,301,M405092286-0038,PANTOLON,35950.0,03,0.0
Kadin,301,M405818680-0088-0038,CAMEL-MAVİ TRİKO,15950.0,03,0.0
Kadin,301,M404690232-0012-0038,BEYAZ-MAVİ V YAKA TRİKO,8950.0,03,0.0
Kadin,301,M404634838-0047-0042,ETEK,35950.0,03,0.0
Kadin,301,M301415434-0012,BEYAZ UZUN KOLLU GÖMLEK,18950.0,03,0.0
Kadin,301,M404634836-0047-0038,MAVİ DESENLİ CEKET,45950.0,03,0.0
Kadin,301,M404634837-0047-0042,PANTOLON,30950.0,03,0.0
