Ana Kategori,Kategori ID,Stok Kodu,Ürün Adı,Fiyat,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d
Kadin,301,M405487839-0027-0104,EKRU-BEJ KRUVAZE YELEK,72950.0,03,0.0,0.0,0.0
Kadin,301,M405487845-0027-0104,EKRU-BEJ CEKET,75950.0,03,0.0,0.0,0.0
Kadin,301,M405487842-0027,EKRU ASKILI BLUZ,30950.0,03,0.0,0.0,0.0
Kadin,301,M405487840-0104,BEJ-EKRU GÖMLEK,42950.0,03,0.0,0.0,0.0
Kadin,301,M405487846-0104,BEJ BOL KESİM PANTOLON,32950.0,03,0.0,0.0,0.0
Kadin,301,M405487841-0104,BEJ KISA KOLLU ELBİSE,57950.0,03,0.0,0.0,0.0
Kadin,301,M404576991-0088,CAMEL O YAKA TRİKO,45950.0,03,0.0,0.0,0.0
Kadin,301,M405487838-0104,BLUZ,35950.0,03,0.0,0.0,
Kadin,301,M405487843-0104,BEJ DÜZ KESİM PANTOLON,39950.0,03,0.0,0.0,0.0
Kadin,301,M404577017-0088,CAMEL V YAKA TRİKO,45950.0,03,0.0,0.0,0.0
Kadin,301,M404577018-0088,CAMEL V YAKA TRİKO,45950.0,03,0.0,0.0,0.0
Kadin,301,M404576999-0017,TABA BOL PAÇA PANTOLON,30950.0,03,0.0,0.0,0.0
Kadin,301,M404577000-0017,TABA KISA KOLLU BLUZ,30950.0,03,0.0,0.0,0.0
Kadin,301,M404577016-0088,CAMEL UZUN KOLLU ELBİSE,50950.0,03,0.0,0.0,0.0
Kadin,301,M404480414-0088,CAMEL KRUVAZE CEKET,45950.0,03,0.0,0.0,0.0
Kadin,301,M404480415-0088,CAMEL BOL KESİM PANTOLON,25950.0,03,0.0,0.0,0.0
Kadin,301,M404480401-0088,CAMEL KOLSUZ BLUZ,20950.0,03,0.0,0.0,0.0
Kadin,301,M405092261-0021-0031,BEJ MİDİ ETEK,50950.0,03,0.0,0.0,0.0
Kadin,301,M405092301-0063,PEMBE-BEJ DEGRADE İPEK BLUZ,40950.0,03,0.0,0.0,0.0
Kadin,301,M405092274-0063,ELBİSE,100950.0,03,0.0,0.0,
Kadin,301,M405092260-0063-0021,PEMBE-BEJ DEGRADE İPEK ETEK,50950.0,03,0.0,0.0,0.0
Kadin,301,M405092291-0021-0063,PEMBE-BEJ POLO YAKA BLUZ,55950.0,03,0.0,0.0,0.0
Kadin,301,M405092255-0063-0021,PEMBE KISA KOLLU GÖMLEK,35950.0,03,0.0,0.0,0.0
Kadin,301,M404577019-0021,EKRU MONT,69950.0,03,0.0,0.0,
Kadin,301,M404576990-0054,LİLA MİDİ ETEK,50950.0,03,0.0,0.0,0.0
Kadin,301,M404576989-0054,LİLA O YAKA UZUN KOLLU BLUZ,40950.0,03,0.0,0.0,0.0
Kadin,301,M404634840-0054,LİLA BOL KESİM PANTOLON,42950.0,03,0.0,0.0,0.0
Kadin,301,M404644548-0054,LİLA ŞAPKA,20950.0,03,0.0,0.0,0.0
Kadin,301,M404634839-0054,LİLA KISA KOLLU BLUZ,30950.0,03,0.0,0.0,0.0
Kadin,301,M404690234-0054,LİLA TRİKO,8950.0,03,0.0,0.0,0.0
Kadin,301,M404576997-0038,MAVİ KABAN,105950.0,03,0.0,0.0,0.0
Kadin,301,M404480382-0038,MAVİ DAR PAÇA KETEN PANTOLON,25950.0,03,0.0,0.0,0.0
Kadin,301,M404402058-0038,MAVİ KAYIK YAKA TRİKO,20950.0,03,0.0,0.0,0.0
Kadin,301,M404634838-0047-0042,MAVİ DESENLİ MİDİ ETEK,35950.0,03,0.0,0.0,0.0
Kadin,301,M301415434-0012,BEYAZ UZUN KOLLU GÖMLEK,18950.0,03,0.0,0.0,0.0
Kadin,301,M404634836-0047-0038,MAVİ DESENLİ CEKET,45950.0,03,0.0,0.0,0.0
Kadin,301,M404634837-0047-0042,MAVİ DESENLİ PANTOLON,30950.0,03,0.0,0.0,0.0
Kadin,301,M404576981-0038,MAVİ V YAKA TRİKO,28665.0,03,-30.0,-30.0,-30.0
Kadin,301,M404402059-0038-0012,MAVİ POLO YAKA TRİKO,30950.0,03,0.0,0.0,0.0
Kadin,301,M404576985-0038,MAVİ DÜZ KESİM PANTOLON,35950.0,03,0.0,0.0,0.0
Kadin,301,M404576984-0038,MAVİ KRUVAZE YAKA CEKET,70950.0,03,0.0,0.0,0.0
Kadin,301,M404576982-0038,MAVİ V YAKA KOLSUZ BLUZ,25950.0,03,0.0,0.0,0.0
Kadin,301,M404576980-0038,MAVİ UZUN KOLLU GÖMLEK,80950.0,03,0.0,0.0,0.0
Kadin,301,M404576983-0038,MAVİ UZUN KOLLU GÖMLEK,45950.0,03,0.0,0.0,0.0
Kadin,301,M404480364-0038,MAVİ BOL PAÇA PANTOLON,30950.0,03,0.0,0.0,0.0
Kadin,301,M404480363-0038,MAVİ KISA KOLLU GÖMLEK,25950.0,03,0.0,0.0,0.0
Kadin,301,M405092286-0038,MAVİ BOL PAÇA PANTOLON,35950.0,03,0.0,0.0,0.0
Kadin,301,M405818680-0088-0038,CAMEL-MAVİ TRİKO,15950.0,03,0.0,0.0,0.0
Kadin,301,M404480405-0038,MAVİ KETEN YELEK,40950.0,03,0.0,0.0,0.0
Kadin,301,M404480377-0038,MAVİ KETEN ŞORT,25950.0,03,0.0,0.0,0.0
Kadin,301,M301536772-0038-0012,MAVİ ÇİZGİLİ GÖMLEK,15950.0,03,0.0,0.0,0.0
Kadin,301,M404690232-0012-0038,BEYAZ-MAVİ V YAKA TRİKO,8950.0,03,0.0,0.0,0.0
Kadin,301,M405092256-0072,MONT,69950.0,03,0.0,0.0,
Kadin,301,M405091805-0072,SARI BOL KESİM PANTOLON,40950.0,03,0.0,0.0,0.0
Kadin,301,M405091800-0072,SARI KOLSUZ T-SHIRT,20950.0,03,0.0,0.0,0.0
Kadin,301,M405092293-0072,SARI KISA KOLLU TRİKO,35950.0,03,0.0,0.0,0.0
Kadin,301,M404556791-0071,PUDRA DAR PAÇA PANTOLON,18950.0,03,0.0,0.0,0.0
Kadin,301,M405115009-0071,BLUZ,20950.0,03,0.0,0.0,
Kadin,301,M404810105-0071,PUDRA KOLSUZ ELBİSE,22950.0,03,0.0,0.0,0.0
Kadin,301,M405731608-0021,PUDRA DERİ BOMBER CEKET,40950.0,03,0.0,0.0,0.0
Kadin,301,M404810533-0071,PUDRA KISA KOLLU BLUZ,20950.0,03,0.0,0.0,0.0
Kadin,301,M404402063-0071,PUDRA TRİKO,25950.0,03,0.0,0.0,0.0
Kadin,301,M404480403-0071-0021,PUDRA ÇİZGİLİ GÖMLEK,35950.0,03,0.0,0.0,0.0
Kadin,301,M404480387-0070,GÜL KURUSU BOL KEİSM PANTOLON,30950.0,03,0.0,0.0,0.0
Kadin,301,M404402057-0070,GÜL KURUSU V YAKA TRİKO,25950.0,03,0.0,0.0,0.0
Kadin,301,M404480404-0070,GÜL KURUSU GÖMLEK,35950.0,03,0.0,0.0,0.0
Kadin,301,M404402056-0070,GÜL KURUSU O YAKA TRİKO,25950.0,03,0.0,0.0,0.0
Kadin,301,M404676455-0071,PUDRA DENIM PANTOLON,22950.0,03,0.0,0.0,0.0
Kadin,301,M404690236-0069,AÇIK PEMBE TRİKO,10950.0,03,0.0,0.0,0.0
Kadin,301,M404480410-0027,EKRU GÖMLEK,30950.0,03,0.0,0.0,0.0
Kadin,301,M301542006-0027,EKRU DOKULU DÜZ KESİM PANTOLON,18950.0,03,0.0,0.0,0.0
Kadin,301,M301544040-0027,EKRU KIRLANGIÇ YAKA CEKET,35950.0,03,0.0,0.0,0.0
Kadin,301,M404497947-0102-0021,TRİKO,12950.0,03,0.0,0.0,0.0
Kadin,301,M405386581-0012,BEYAZ CEKET,30950.0,03,0.0,0.0,0.0
Kadin,301,M404810529-0012,BEYAZ KISA KOLLU TRİKO,15950.0,03,0.0,0.0,0.0
Kadin,301,M404576998-0027,EKRU BOL PAÇA PANTOLON,35665.0,03,-30.0,-30.0,-30.0
Kadin,301,M404577009-0027,EKRU KRUVAZE YAKA CEKET,63665.0,03,-30.0,-30.0,-30.0
Kadin,301,M404576986-0027,EKRU ATLET,13950.0,03,0.0,0.0,0.0
Kadin,301,M404577015-0027,EKRU HIRKA,54950.0,03,0.0,0.0,0.0
Kadin,301,M404577014-0027,EKRU KISA KOLLU TRİKO,35950.0,03,0.0,0.0,0.0
Kadin,301,M404577008-0027,EKRU FERMUARLI HIRKA,54950.0,03,0.0,0.0,0.0
Kadin,301,M404577013-0027,EKRU BOL PAÇA PANTOLON,35950.0,03,0.0,0.0,0.0
Kadin,301,M404576967-0027,EKRU V YAKA TRİKO,40950.0,03,0.0,0.0,0.0
Kadin,301,M404480408-0027,EKRU DÜZ KESİM PANTOLON,25950.0,03,0.0,0.0,0.0
Kadin,301,M404480407-0027,EKRU GÖMLEK,35950.0,03,0.0,0.0,0.0
Kadin,301,M404576976-0027,EKRU O YAKA TRİKO,35950.0,03,0.0,0.0,0.0
Kadin,301,M404576966-0027,EKRU UZUN KOLLU GÖMLEK,45950.0,03,0.0,0.0,0.0
Kadin,301,M405091802-0027,EKRU KISA KOLLU TRİKO,35950.0,03,0.0,0.0,0.0
Kadin,301,M404576977-0027,EKRU DÜZ KESİM PANTOLON,35950.0,03,0.0,0.0,0.0
Kadin,301,M404576978-0027,EKRU UZUN HIRKA,54950.0,03,0.0,0.0,0.0
Kadin,301,M404576979-0027,EKRU O YAKA KISA KOLLU BLUZ,30950.0,03,0.0,0.0,0.0
Kadin,301,M404810101-0027,EKRU HIRKA,25950.0,03,0.0,0.0,0.0
Kadin,301,M404576543-0012,BEYAZ YELEK,82950.0,03,0.0,0.0,0.0
Kadin,301,M404576542-0012,BEYAZ BOL PAÇA PANTOLON,60950.0,03,0.0,0.0,0.0
Kadin,301,M404576541-0012,BEYAZ O YAKA TRİKO,40950.0,03,0.0,0.0,0.0
Kadin,301,M405091801-0027,GÖMLEK,55950.0,03,0.0,,
Kadin,301,M405487848-0027,EKRU TRİKO,49950.0,03,0.0,0.0,0.0
Kadin,301,M404573195-0012,BEYAZ MONT,49950.0,03,0.0,0.0,0.0
Kadin,301,M404577007-0027,EKRU KAPÜŞONLU SWEATSHIRT,69950.0,03,0.0,0.0,0.0
Kadin,301,M404577010-0027,EKRU BOL PAÇA PANTOLON,28665.0,03,-30.0,-30.0,-30.0
Kadin,301,M404577011-0027,EKRU CEKET,49665.0,03,-30.0,-30.0,-30.0
Kadin,301,M404577005-0025,EKRU POLO YAKA UZUN KOLLU T-SHİRT,30950.0,03,0.0,0.0,0.0
Kadin,301,M404577020-0025,KREM MİDİ ETEK,21665.0,03,-30.0,-30.0,-30.0
Kadin,301,M404577004-0025,KREM UZUN KOLLU GÖMLEK,39165.0,03,-30.0,-30.0,-30.0
Kadin,301,M404577021-0025,KREM T-SHIRT,25165.0,03,-30.0,-30.0,-30.0
Kadin,301,M404577012-0027,EKRU BOL PAÇA PANTOLON,35950.0,03,0.0,0.0,0.0
Kadin,301,M404576975-0027,EKRU CEKET,60950.0,03,0.0,0.0,0.0
Kadin,301,M405091804-0027,EKRU ÇİZGİLİ TRİKO,35950.0,03,0.0,0.0,0.0
Kadin,301,M404340142-0025,KREM KAPÜŞONLU MONT,52950.0,03,0.0,0.0,0.0
Kadin,301,M404644537-0027-0092,EKRU V YAKA TRİKO,25950.0,03,0.0,0.0,0.0
Kadin,301,M404480392-0027,EKRU KETEN BERMUDA,25950.0,03,0.0,0.0,0.0
Kadin,301,M405032785-0021,BEJ O YAKA KISA KOLLU BLUZ,25950.0,03,0.0,0.0,
Kadin,301,M404576544-0027,EKRU YELEK,79950.0,03,0.0,0.0,0.0
Kadin,301,M404576988-0027,EKRU BOL PAÇA PANTOLON,40950.0,03,0.0,0.0,0.0
Kadin,301,M404576987-0027,EKRU HIRKA,54950.0,03,0.0,0.0,0.0
Kadin,301,M404480413-0021,BEJ UZUN ETEK,30950.0,03,0.0,0.0,0.0
Kadin,301,M404480390-0021-0027,ETEK,40950.0,03,0.0,0.0,
Kadin,301,M404480391-0021-0012,BEJ KOLSUZ ELBİSE,40950.0,03,0.0,0.0,0.0
Kadin,301,M404644522-0012-0021,TRİKO,45950.0,03,0.0,0.0,0.0
Kadin,301,M404507278-0012-0004,BEYAZ KETEN KISA KOLLU GÖMLEK,20950.0,03,0.0,0.0,0.0
