id,shown_price,category,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Ananas Adet,189.9,Meyve ve Sebze,01,,,,
Armut Deveci - 500 Gr._1kg,,Bilinmiyor,,,,,
Armut Santa Maria - 500 Gr._1kg,,Bilinmiyor,,,,,
Avokado Adet,98.9,Meyve ve Sebze,01,,,,
Ayva - 500 Gr._1kg,,Bilinmiyor,,,,,
Bakla Taze - 500 Gr._1kg,,Bilinmiyor,,,,,
Bal Kabağı - 500 Gr._1kg,,Bilinmiyor,,,,,
Biber Dolmalık - 500 Gr._1kg,,Bilinmiyor,,,,,
Biber Kırmızı - 500 Gr._1kg,,Bilinmiyor,,,,,
Biber Kırmızı Şili Acı - 500 Gr._1kg,,Bilinmiyor,,,,,
Biber Köy - 500 Gr._1kg,,Bilinmiyor,,,,,
Biber Sivri - 500 Gr._1kg,,Bilinmiyor,,,,,
Biber Tatlı - 500 Gr._1kg,,Bilinmiyor,,,,,
Brokoli - 500 Gr._1kg,,Bilinmiyor,,,,,
Çilek - 500 Gr._1kg,,Bilinmiyor,,,,,
Dereotu Demet,9.9,Meyve ve Sebze,01,,,,
Domates - 500 Gr._1kg,,Bilinmiyor,,,,,
Domates Cherry - 500 Gr._1kg,,Bilinmiyor,,,,,
Domates Pembe - 500 Gr._1kg,,Bilinmiyor,,,,,
Domates Salkım - 500 Gr._1kg,,Bilinmiyor,,,,,
Elma Golden - 500 Gr._1kg,,Bilinmiyor,,,,,
Elma Granny Smith - 500 Gr._1kg,,Bilinmiyor,,,,,
Elma Starking - 500 Gr._1kg,,Bilinmiyor,,,,,
Erüst Ayıklanmış Ispanak 700Gr,144.9,Meyve ve Sebze,01,,,,
Greyfurt - 500 Gr._1kg,,Bilinmiyor,,,,,
Havuç - 500 Gr._1kg,,Bilinmiyor,,,,,
Hindistan Cevizi,122.9,Meyve ve Sebze,01,,,,
Ispanak - 500 Gr._1kg,,Bilinmiyor,,,,,
Kabak - 500 Gr._1kg,,Bilinmiyor,,,,,
Karnabahar - 2 Kg._1kg,,Bilinmiyor,,,,,
Kereviz - 750 Gr._1kg,,Bilinmiyor,,,,,
Kestane - 500 Gr._1kg,,Bilinmiyor,,,,,
Kivi - 500 Gr._1kg,,Bilinmiyor,,,,,
Kumkuat - 500 Gr._1kg,,Bilinmiyor,,,,,
"Lahana - 2,5 Kg._1kg",,Bilinmiyor,,,,,
Lahana Brüksel Paket,109.9,Meyve ve Sebze,01,,,,
"Lahana Kırmızı - 1,5 Kg._1kg",,Bilinmiyor,,,,,
Limon - 500 Gr._1kg,,Bilinmiyor,,,,,
Manav Erüst Atıştırmalık Domates 250 Gr,72.9,Meyve ve Sebze,01,,,,
Manav Erüst Ayıklanmış Ispanak 350 Gr,79.9,Meyve ve Sebze,01,,,,
Manav Erüst Çıtır Marul 100 Gr,174.9,Meyve ve Sebze,01,,,,
Manav Erüst Dağ Salata Kekikli 125 Gr,174.9,Meyve ve Sebze,01,,,,
Manav Erüst Deniz Salata Fesleğenli 125 Gr,174.9,Meyve ve Sebze,01,,,,
Manav Erüst Kekik 25 Gr,149.9,Meyve ve Sebze,01,,,,
Manav Erüst Maskolin 150 Gr,174.9,Meyve ve Sebze,01,,,,
Manav Erüst Rozmarin Biberiye 25 Gr,149.9,Meyve ve Sebze,01,,,,
Manav Erüst Taze Fesleğen 25 Gr,149.9,Meyve ve Sebze,01,,,,
Manav Verita Avokado Adet,114.9,Meyve ve Sebze,01,,,,
Manav Verita Çarkıfelek 3'lü Paket,199.9,Meyve ve Sebze,01,,,,
Manav Verita Doğranmış Hindistan Cevizi 200 Gr,174.9,Meyve ve Sebze,01,,,,
Manav Verita Ejder Meyvesi Tekli Paket,339.9,Meyve ve Sebze,01,,,,
Manav Verita Mango Paket,154.9,Meyve ve Sebze,01,,,,
