category,id,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Meyve ve Sebze,Armut Deveci - 500 Gr.,64.95,01,0.0,0.0,3.177124702144559,3.177124702144559
Meyve ve Sebze,Armut Santa Maria - 500 Gr.,81.95,01,0.0,-0.6064281382656156,2.5015634771732334,2.5015634771732334
Meyve ve Sebze,Avokado Adet,129.9,01,,13.054830287206265,15.057573073516387,22.662889518413596
Meyve ve Sebze,Bakla Taze - 500 Gr.,54.95,01,-4.351610095735422,15.806111696522654,-31.269543464665418,-43.61210877373012
Meyve ve Sebze,Biber California - 500 Gr.,94.95,01,0.0,0.0,,8.576329331046312
Meyve ve Sebze,Biber Dolmalık - 500 Gr.,114.95,01,0.0,2.223210315695865,6.979990693345742,64.33166547533953
Meyve ve Sebze,Biber Kırmızı - 500 Gr.,93.95,01,0.0,10.59446733372572,31.490552834149753,56.7139282735613
Meyve ve Sebze,Biber Kırmızı Şili Acı - 500 Gr.,124.95,01,0.0,40.472175379426645,42.881646655231556,
Meyve ve Sebze,Biber Köy - 500 Gr.,114.95,01,0.0,0.0,4.547521600727603,43.77736085053158
Meyve ve Sebze,Biber Sivri - 500 Gr.,109.95,01,0.0,37.5234521575985,37.5234521575985,109.628217349857
Meyve ve Sebze,Biber Tatlı - 500 Gr.,94.95,01,0.0,18.76172607879925,28.397565922920894,81.02955195424212
Meyve ve Sebze,Çağla Badem - 500 Gr.,132.95,01,2.308580223162755,-33.50837709427357,-46.80936187237448,
Meyve ve Sebze,Dereotu Demet,11.9,01,0.0,0.0,0.0,20.2020202020202
Meyve ve Sebze,Domates - 500 Gr.,59.95,01,0.0,-7.698229407236336,22.47191011235955,81.94233687405159
Meyve ve Sebze,Domates Cherry - 500 Gr.,112.95,01,0.0,25.569760978321288,45.836023240800515,138.0400421496312
Meyve ve Sebze,Domates Pembe - 500 Gr.,73.95,01,0.0,9.636767976278724,5.718370264474625,40.991420400381315
Meyve ve Sebze,Domates Salkım - 500 Gr.,62.45,01,0.0,1.627339300244101,34.445640473627556,89.52959028831562
Meyve ve Sebze,Elma Golden - 500 Gr.,69.95,01,0.0,0.0,0.0,-6.671114076050701
Meyve ve Sebze,Elma Granny Smith - 500 Gr.,82.95,01,3.7523452157598496,,,-5.145797598627786
Meyve ve Sebze,Elma Starking - 500 Gr.,59.95,01,0.0,-14.295925661186562,-14.295925661186562,-14.295925661186562
Meyve ve Sebze,Enginar Adet,66.9,01,0.0,-1.4727540500736376,-4.291845493562231,
Meyve ve Sebze,Greyfurt - 500 Gr.,31.45,01,0.0,0.0,0.0,-3.081664098613262
Meyve ve Sebze,Havuç - 500 Gr.,17.95,01,0.0,0.0,80.40201005025126,9.118541033434651
Meyve ve Sebze,Hindistan Cevizi,122.9,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Kabak - 500 Gr.,39.95,01,48.23747680890539,23.11248073959938,-15.806111696522654,-44.858523119392686
Meyve ve Sebze,Karnabahar - 2 Kg.,131.8,01,53.61305361305363,24.574669187145574,37.57828810020879,57.279236276849666
Meyve ve Sebze,Karpuz - 10 Kg.,799.0,01,0.0,,,
Meyve ve Sebze,Kivi - 500 Gr.,94.95,01,0.0,0.0,0.0,5.558643690939411
Meyve ve Sebze,"Lahana - 2,5 Kg.",49.75,01,0.0,33.557046979865774,33.557046979865774,-9.1324200913242
Meyve ve Sebze,"Lahana Kırmızı - 1,5 Kg.",52.35,01,0.0,16.722408026755854,16.722408026755854,16.722408026755854
Meyve ve Sebze,Limon - 500 Gr.,64.95,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Manav Alabaş Turp (Kohlrabi) - 1 Kg.,49.9,01,0.0,-28.612303290414886,-50.050050050050054,
Meyve ve Sebze,Manav Erüst Atıştırmalık Domates 250 Gr,72.9,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Manav Erüst Kekik 25 Gr,149.9,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Manav Erüst Mini Havuç 250 Gr,199.9,01,0.0,0.0,0.0,
Meyve ve Sebze,Manav Erüst Rozmarin Biberiye 25 Gr,149.9,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Manav Erüst Taze Fesleğen 25 Gr,149.9,01,0.0,0.0,0.0,
Meyve ve Sebze,Manav Verita Avokado Adet,114.9,01,0.0,0.0,0.0,
Meyve ve Sebze,Manav Verita Doğranmış Hindistan Cevizi 200 Gr,174.9,01,0.0,,0.0,
Meyve ve Sebze,Manav Verita Kuşkonmaz Paket 300 Gr,379.9,01,4.110715264456015,,1.3336889837289945,
Meyve ve Sebze,Manav Verita Mango Paket,179.9,01,5.885815185403178,,12.507817385866165,16.139444803098772
Meyve ve Sebze,Manav Verita Zencefil 250 Gr,94.9,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Manav Zerdeçal 100 Gr (Paket),64.9,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Mango Adet,99.9,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Mantar Paket 400 Gr,77.9,01,-16.146393972012916,-16.146393972012916,-16.146393972012916,-8.24499411071849
Meyve ve Sebze,Marul Adet,67.9,01,0.0,-24.47163515016685,4.622496147919876,-15.01877346683354
Meyve ve Sebze,Marul Iceberg Adet,125.9,01,0.0,14.558689717925386,32.66596417281349,32.66596417281349
Meyve ve Sebze,Marul Kıvırcık Adet,89.9,01,0.0,0.0,12.515644555694616,12.515644555694616
Meyve ve Sebze,Maydanoz Demet,11.9,01,0.0,0.0,0.0,20.2020202020202
Meyve ve Sebze,Muz İthal - 500 Gr.,82.45,01,0.0,0.0,10.00667111407605,13.802622498274673
Meyve ve Sebze,Muz Yerli - 500 Gr.,49.95,01,0.0,-9.099181073703367,-1.9627085377821392,-9.099181073703367
Meyve ve Sebze,Patates - 500 Gr.,14.95,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Patlıcan - 500 Gr.,54.95,01,0.0,-35.31489111241907,-50.02273760800363,-21.44388849177984
Meyve ve Sebze,Patlıcan Topan - 500 Gr.,59.95,01,0.0,-29.42907592701589,-45.47521600727603,-14.295925661186562
Meyve ve Sebze,Pazı Demet,25.9,01,0.0,0.0,0.0,-25.787965616045845
Meyve ve Sebze,Pırasa - 500 Gr.,19.95,01,0.0,14.326647564469916,14.326647564469916,-6.993006993006993
Meyve ve Sebze,Portakal - 500 Gr.,24.95,01,0.0,-16.69449081803005,4.175365344467641,-16.69449081803005
Meyve ve Sebze,Portakal Sıkmalık - 500 Gr.,22.45,01,0.0,0.0,32.448377581120944,0.0
Meyve ve Sebze,Roka Demet,11.9,01,0.0,0.0,0.0,20.2020202020202
Meyve ve Sebze,Salatalık - 500 Gr.,42.45,01,0.0,6.257822277847308,6.257822277847308,-48.51425106124924
Meyve ve Sebze,Salatalık Silör - 500 Gr.,47.45,01,0.0,7.963594994311718,18.773466833541928,-47.24847137298499
Meyve ve Sebze,Sarımsak Paket 250 Gr,114.9,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Soğan Beyaz - 500 Gr.,32.95,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Soğan Kırmızı - 500 Gr.,37.45,01,0.0,13.657056145675265,13.657056145675265,13.657056145675265
Meyve ve Sebze,Soğan Kuru - 500 Gr.,8.45,01,0.0,-10.582010582010582,-5.5865921787709505,0.0
Meyve ve Sebze,Soğan Taze - 500 Gr.,64.95,01,0.0,8.340283569641366,18.198362147406733,23.83222116301239
Meyve ve Sebze,Soğan Yahnilik - 500 Gr.,67.45,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Tere Demet,11.9,01,0.0,0.0,0.0,20.2020202020202
Meyve ve Sebze,Turp Beyaz - 500 Gr.,17.45,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Turp Kırmızı - 500 Gr.,17.45,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Verita Altın Çilek 100 GR,109.9,01,0.0,0.0,0.0,0.0
Meyve ve Sebze,Verita Demirhindi 225 Gr,229.9,01,0.0,,0.0,0.0
Meyve ve Sebze,Verita Lime 3' lü Paket,99.9,01,0.0,0.0,-4.7664442326024785,-9.099181073703367
Meyve ve Sebze,Verita Yaban Mersini 125 Gr,259.9,01,0.0,,,
Meyve ve Sebze,Zencefil - 500 Gr.,134.95,01,0.0,0.0,-5.265005265005265,3.8476337052712584
Et ve Tavuk,Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.,479.8,01,0.0,,,0.0
Et ve Tavuk,Akdeniz Toros Dana Burger 360 Gr,569.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,349.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,599.8,01,0.0,,,0.0
Et ve Tavuk,Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),429.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,279.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Akdeniz Toros Piliç Bonfile (Donuk Olarak Satılır) - 1 Kg.,439.9,01,0.0,,,0.0
Et ve Tavuk,Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.,229.9,01,0.0,,,0.0
Et ve Tavuk,Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,479.9,01,0.0,,,0.0
Et ve Tavuk,Akdeniz Toros Piliç Kangal Sucuk 250 Gr,189.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Akdeniz Toros Piliç Nuggut 500 Gr,279.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),189.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Akdeniz Toros Tavuk Izgara Şiş (Donuk Olarak Satılır) - 1 Kg.,589.9,01,0.0,,,
Et ve Tavuk,Apikoğlu Dana Antrikot Pastırma 70 Gr,199.9,01,0.0,0.0,0.0,-23.08580223162754
Et ve Tavuk,Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,485.0,01,0.0,0.0,0.0,-9.345794392523365
Et ve Tavuk,Apikoğlu Dana Kangal Sucuk - 500 Gr.,999.5,01,0.0,0.0,,
Et ve Tavuk,Apikoğlu Dana Kangal Sucuk 280 Gr,749.9,01,0.0,0.0,0.0,
Et ve Tavuk,Apikoğlu Dana Parça Pastırma 80 GR,329.9,01,0.0,0.0,0.0,
Et ve Tavuk,Apikoğlu Dana Parmak Sucuk - 500 Gr.,999.5,01,0.0,0.0,,
Et ve Tavuk,Apikoğlu Kurutulmuş Dana Füme Et 100 GR,519.0,01,0.0,0.0,0.0,-8.787346221441124
Et ve Tavuk,Bolca Hindi Bonfile - 1 Kg.,519.9,01,0.0,0.0,18.185951352580133,0.0
Et ve Tavuk,Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.,539.9,01,0.0,0.0,22.732439190725167,0.0
Et ve Tavuk,Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,359.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,299.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr,399.9,01,0.0,0.0,33.34444814938313,0.0
Et ve Tavuk,Çapanoğlu Fümechef Karabiberli Dana Rosatbeef 100 Gr,399.9,01,0.0,0.0,,
Et ve Tavuk,Çemeni Sıyrılmış Dana Pastı - 500 Gr.,,01,,,,
Et ve Tavuk,Cumhuriyet Acılı Parmak Sucuk - 500 Gr.,,01,,,,
Et ve Tavuk,Cumhuriyet Çemeni Sıyrılmış Pastırma 90 Gr,399.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Cumhuriyet Kangal Fermente Sucuk - 500 Gr.,,01,,,,
Et ve Tavuk,Cumhuriyet Küvet Sucuk 300 Gr,659.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Dana Antrikot - 500 Gr.,799.95,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Dana Bonfile - 500 Gr.,,01,,,,
Et ve Tavuk,Dana Haşlamalık Et - 500 Gr.,569.95,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Dana İşkembe - 500 Gr.,99.95,01,,0.0,,0.0
Et ve Tavuk,Dana Kol Kuşbaşı - 500 Gr.,539.95,01,0.0,0.0,0.0,-1.8183471224656786
Et ve Tavuk,Dana Kol Kuşbaşı Kıymalık - 500 Gr.,539.95,01,0.0,0.0,0.0,-1.8183471224656786
Et ve Tavuk,Dana Kontrfile - 500 Gr.,599.5,01,0.0,0.0,-21.113231133627217,-21.113231133627217
Et ve Tavuk,Dana Kuşbaşı Kıymalık - 500 Gr.,479.95,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Dana Kuzu Kıymalık (%80 Dana+%20 Ku - 500 Gr.,479.95,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Dana Nuar - 500 Gr.,569.95,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Dana Rosto - 500 Gr.,559.95,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Dana Rulo Kıymalık - 500 Gr.,499.95,01,0.0,0.0,0.0,25.003125390673837
Et ve Tavuk,Dana Sote - 500 Gr.,599.95,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Erpiliç Bonfile - 1 Kg.,329.9,01,0.0,0.0,0.0,50.022737608003624
Et ve Tavuk,Erpiliç But - 1 Kg.,149.9,01,0.0,0.0,0.0,50.05005005005005
