id,category,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Armut Deveci - 500 Gr.,Meyve ve Sebze,67.45,01,0.0,-3.5739814152966405,3.849114703618168,7.148530579825257
Armut Santa Maria - 500 Gr.,Meyve ve Sebze,82.45,01,0.0,-2.942907592701589,0.0,3.1269543464665412
Avokado Adet,Meyve ve Sebze,137.9,01,0.0,,28.999064546304957,22.143489813994684
Bakla Taze - 500 Gr.,Meyve ve Sebze,54.95,01,0.0,-29.506093649775494,4.7664442326024785,-35.31489111241907
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,92.45,01,-5.13083632632119,-7.503751875937968,-17.78568252556692,5.717552887364208
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,122.45,01,0.0,25.654181631605947,25.654181631605947,75.05360972122944
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,144.95,01,0.0,9.437523593808987,62.956717256885874,70.62978222483812
Biber Köy - 500 Gr.,Meyve ve Sebze,109.95,01,0.0,0.0,-6.385696040868455,10.005002501250624
Biber Sivri - 500 Gr.,Meyve ve Sebze,107.45,01,0.0,7.503751875937968,10.26167265264238,72.05764611689351
Biber Tatlı - 500 Gr.,Meyve ve Sebze,107.45,01,-2.2737608003638017,34.39649781113195,10.26167265264238,69.34594168636721
Çilek - 500 Gr.,Meyve ve Sebze,79.95,01,,,,-41.83339396144052
Dereotu Demet,Meyve ve Sebze,11.9,01,0.0,0.0,0.0,
Domates - 500 Gr.,Meyve ve Sebze,77.45,01,0.0,24.019215372297836,3.3355570380253505,86.85162846803377
Domates Cherry - 500 Gr.,Meyve ve Sebze,149.95,01,,21.960146400975994,36.38017280582081,136.327817178881
Domates Pembe - 500 Gr.,Meyve ve Sebze,84.95,01,0.0,9.683666881859263,3.0321406913280775,30.792917628945343
Domates Salkım - 500 Gr.,Meyve ve Sebze,77.45,01,0.0,29.190992493744787,3.3355570380253505,98.84467265725289
Elma Golden - 500 Gr.,Meyve ve Sebze,72.45,01,0.0,3.5739814152966405,3.5739814152966405,-3.3355570380253505
Elma Granny Smith - 500 Gr.,Meyve ve Sebze,84.95,01,0.0,2.4110910186859553,,
Elma Starking - 500 Gr.,Meyve ve Sebze,59.95,01,0.0,0.0,-14.295925661186562,-14.295925661186562
Enginar Adet,Meyve ve Sebze,54.9,01,0.0,0.0,-21.459227467811168,
Erüst Ayıklanmış Ispanak 700Gr,Meyve ve Sebze,124.9,01,,,-13.802622498274673,-13.802622498274673
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,114.95,01,,-11.542901115813764,-9.80776775205963,
Greyfurt - 500 Gr.,Meyve ve Sebze,31.45,01,0.0,0.0,0.0,0.0
Havuç - 500 Gr.,Meyve ve Sebze,24.95,01,0.0,35.23035230352304,11.1358574610245,47.1976401179941
