id,category,product_id,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Avokado İthal Adet,Meyve ve Sebze,6487,84.9,01,0.0,0.0,0.0,
Bakla Taze - 500 Gr.,Meyve ve Sebze,8123,49.95,01,0.0,17.667844522968196,31.62055335968379,0.0
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,5029,24.95,01,-9.107468123861567,-37.54693366708386,-69.73923590054578,-73.7230121116377
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,8087,129.95,01,15.56247220987104,20.939972080037215,36.861506055818836,20.939972080037215
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,9815,99.95,01,14.29388221841052,,-37.511722413254134,-31.045187995860633
Biber Köy - 500 Gr.,Meyve ve Sebze,7769,24.95,01,-9.107468123861567,-39.80699638118215,-61.585835257890686,-73.7230121116377
Biber Sivri - 500 Gr.,Meyve ve Sebze,9774,19.95,01,-20.04008016032064,-50.06257822277848,-65.27415143603133,-79.52796305797844
Biber Tatlı - 500 Gr.,Meyve ve Sebze,4120,19.95,01,21.27659574468085,-50.06257822277848,-51.86972255729796,-75.80351728320194
Deniz Börülcesi Adet,Meyve ve Sebze,8096,21.9,01,,,,
Dereotu Demet,Meyve ve Sebze,1498,11.9,01,0.0,0.0,33.70786516853933,0.0
Domates - 500 Gr.,Meyve ve Sebze,9778,88.95,01,7.883565797453001,4.7086521483225425,4.7086521483225425,4.7086521483225425
Domates Cherry - 500 Gr.,Meyve ve Sebze,8735,62.45,01,-0.7942811755361397,-30.184460592509783,-55.37692032868882,-56.916177992411164
Domates Pembe - 500 Gr.,Meyve ve Sebze,619,77.45,01,21.11024237685692,-6.064281382656155,-24.40214738897023,-11.435105774728417
Domates Salkım - 500 Gr.,Meyve ve Sebze,4455,64.95,01,6.562756357670222,-7.147962830593281,-7.147962830593281,-3.7064492216456637
Elma Golden - 500 Gr.,Meyve ve Sebze,4138,67.45,01,0.0,0.0,-3.5739814152966405,12.51042535446205
Elma Granny Smith - 500 Gr.,Meyve ve Sebze,8576,84.95,01,0.0,0.0,17.25327812284334,0.0
Elma Starking - 500 Gr.,Meyve ve Sebze,4125,64.95,01,0.0,0.0,-3.7064492216456637,8.340283569641366
Enginar Adet,Meyve ve Sebze,6805,25.9,01,-21.27659574468085,-35.08771929824562,-38.18615751789976,-51.948051948051955
Erik - 500 Gr.,Meyve ve Sebze,1247,124.95,01,-25.38071065989847,-46.246504624650456,-42.538514601057706,
Fasulye Ayşe Kadın - 500 Gr.,Meyve ve Sebze,9703,94.95,01,-5.002501250625312,-7.320644216691069,-1.5552099533437014,
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,4355,67.45,01,,,17.40644038294169,-37.22661703117729
Havuç - 500 Gr.,Meyve ve Sebze,9740,32.45,01,62.65664160401004,30.060120240480977,71.24010554089712,75.8807588075881
Hindistan Cevizi,Meyve ve Sebze,8547,122.9,01,0.0,0.0,0.0,0.0
Kabak - 500 Gr.,Meyve ve Sebze,9759,22.45,01,0.0,-6.263048016701461,0.0,-37.55215577190543
Kabak Girit - 500 Gr.,Meyve ve Sebze,766,67.45,01,5.473025801407349,,-3.5739814152966405,
Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,8066,539.8,01,0.0,0.0,0.0,0.0
Akdeniz Toros Dana Burger 360 Gr,Et ve Tavuk,11066,569.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,Et ve Tavuk,11067,349.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Dana Sosis 5'li 250 Gr,Et ve Tavuk,11068,329.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,7303,599.8,01,0.0,0.0,0.0,0.0
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,9367,429.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,2907,299.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Piliç Bonfile (Donuk Olarak Satılır)  - 1 Kg.,Et ve Tavuk,8216,459.9,01,0.0,,,
Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,7394,259.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Piliç Izgara Tava (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,9360,359.9,01,0.0,0.0,0.0,
Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,9359,529.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Piliç Kangal Sucuk 250 Gr,Et ve Tavuk,11069,189.9,01,0.0,0.0,0.0,0.0
