id,shown_price,product-id,category,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Avokado İthal Adet,84.9,6487,Meyve ve Sebze,01,0.0,0.0,0.0,0.0
Bezelye - 500 Gr.,33.95,704,Meyve ve Sebze,01,0.0,-10.540184453227932,,
Biber California - 500 Gr.,64.95,8727,Meyve ve Sebze,01,0.0,0.0,,
Biber Dolmalık - 500 Gr.,24.95,5029,Meyve ve Sebze,01,0.0,0.0,0.0,-33.37783711615488
Biber Kırmızı - 500 Gr.,99.95,8087,Meyve ve Sebze,01,0.0,-23.08580223162754,-23.08580223162754,2.565418163160595
Biber Kırmızı Şili Acı - 500 Gr.,92.45,9815,Meyve ve Sebze,01,0.0,0.0,-7.503751875937968,-26.010404161664663
Biber Köy - 500 Gr.,22.95,7769,Meyve ve Sebze,01,0.0,2.2271714922048997,-8.016032064128256,-34.33476394849786
Biber Sivri - 500 Gr.,19.95,9774,Meyve ve Sebze,01,0.0,0.0,0.0,-55.61735261401558
Biber Tatlı - 500 Gr.,21.45,4120,Meyve ve Sebze,01,0.0,22.922636103151863,7.518796992481203,-46.30788485607009
Börülce - 500 Gr.,159.95,7970,Meyve ve Sebze,01,0.0,23.08580223162755,0.0,
Çilek - 500 Gr.,77.45,3233,Meyve ve Sebze,01,0.0,14.825796886582655,-20.52334530528476,-16.675632060247445
Deniz Börülcesi Adet,19.9,8096,Meyve ve Sebze,01,0.0,-13.100436681222707,-13.100436681222707,
Dereotu Demet,11.9,1498,Meyve ve Sebze,01,0.0,0.0,0.0,0.0
Domates - 500 Gr.,39.95,9778,Meyve ve Sebze,01,0.0,-20.02002002002002,-52.97233666862861,-52.97233666862861
Domates Cherry - 500 Gr.,36.95,8735,Meyve ve Sebze,01,0.0,-21.299254526091584,-40.832666132906326,-73.40770061173083
Domates Pembe - 500 Gr.,34.95,619,Meyve ve Sebze,01,,-5.412719891745602,-50.03573981415297,-62.19578150351541
Domates Salkım - 500 Gr.,27.45,4455,Meyve ve Sebze,01,0.0,-25.71041948579162,-56.04483586869495,-57.736720554272516
Elma Golden - 500 Gr.,69.95,4138,Meyve ve Sebze,01,0.0,0.0,3.7064492216456637,0.0
Elma Starking - 500 Gr.,62.45,4125,Meyve ve Sebze,01,0.0,0.0,0.0,-7.412898443291327
Enginar Adet,25.9,6805,Meyve ve Sebze,01,0.0,-10.380622837370243,0.0,-39.62703962703963
Erik - 500 Gr.,109.95,1247,Meyve ve Sebze,01,0.0,-9.468917249897077,-15.390534821085023,-45.01125281320329
Fasulye Ayşe Kadın - 500 Gr.,87.45,9703,Meyve ve Sebze,01,0.0,19.87662782727896,19.87662782727896,12.187299550994227
Fasulye Çalı - 500 Gr.,59.95,4355,Meyve ve Sebze,01,0.0,9.099181073703367,-11.11934766493699,-1.6406890894175554
Havuç - 500 Gr.,32.45,9740,Meyve ve Sebze,01,0.0,0.0,0.0,71.24010554089712
Hindistan Cevizi,122.9,8547,Meyve ve Sebze,01,0.0,0.0,0.0,0.0
Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.,539.8,8066,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Akdeniz Toros Dana Burger 360 Gr,569.9,11066,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,349.9,11067,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Akdeniz Toros Dana Sosis 5'li 250 Gr,329.9,11068,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,599.8,7303,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),429.9,9367,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,299.9,2907,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.,259.9,7394,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,529.9,9359,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Akdeniz Toros Piliç Kangal Sucuk 250 Gr,189.9,11069,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Akdeniz Toros Piliç Nuggut 500 Gr,279.9,11064,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),189.9,9368,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,519.0,12301,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Apikoğlu Dana Kangal Sucuk 280 Gr,749.9,12297,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Apikoğlu Dana Parmak Sucuk - 500 Gr.,1199.5,12299,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Apikoğlu Dana Yarım Kangal Sucuk 180 Gr,399.9,12904,Et ve Tavuk,01,0.0,33.34444814938313,33.34444814938313,33.34444814938313
Apikoğlu Kurutulmuş Dana Füme Et 100 GR,569.0,12303,Et ve Tavuk,01,0.0,0.0,0.0,0.0
Bolca Hindi Bonfile - 1 Kg.,539.9,1968,Et ve Tavuk,01,0.0,0.0,22.732439190725167,3.8468936333910366
Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.,559.9,1969,Et ve Tavuk,01,0.0,0.0,27.278927028870196,3.7043897017966296
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,359.9,6603,Et ve Tavuk,01,0.0,0.0,80.04002001000498,0.0
Çapanoğlu Dana Füme Et 60 Gr,159.9,12890,Et ve Tavuk,01,0.0,0.0,-20.01000500250125,-5.885815185403178
Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,259.9,6519,Et ve Tavuk,01,0.0,0.0,-13.337779259753251,0.0
Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr,399.9,6522,Et ve Tavuk,01,0.0,0.0,33.34444814938313,0.0
Çapanoğlu Fümechef Karabiberli Dana Rosatbeef 100 Gr,399.9,12406,Et ve Tavuk,01,0.0,0.0,33.34444814938313,0.0
Cumhuriyet Acılı Parmak Sucuk - 500 Gr.,1099.5,4632,Et ve Tavuk,01,,,,0.0
Activia Ananas&Yulaf&Hindistan Cevizli Probiyotikli Blow,65.0,12602,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,31.313131313131315,13.043478260869565
Activia Doğal Probiyotikli Ananaslı Yoğurt 4*100 Gr,114.9,1797,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,15.477386934673373,15.477386934673373
Activia Doğal Probiyotikli Çilekli Yoğurt 4*100 Gr,114.9,7647,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,15.477386934673373,
Activia Doğal Probiyotikli Kuru Kayısılı Yoğurt 4*100 Gr,114.9,7646,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,15.477386934673373,
Activia Doğal Probiyotikli Sade Yoğurt 4*100 Gr,114.9,7333,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,15.477386934673373,
Activia Probiyotikli Bowl Ahududu&Yulaf&Ceviz,65.0,12089,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,31.313131313131315,13.043478260869565
Activia Probiyotikli Bowl Muz&Yulaf&Fındık,65.0,12090,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,31.313131313131315,13.043478260869565
Activia Probiyotikli Bowl Yaban Mersini&Chia,65.0,12088,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,31.313131313131315,13.043478260869565
Activia x2 Probiyotik Ahududu&Hibisküs Shot 80 Ml,38.9,8941,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,19.692307692307686,
Akdeniz Toros Mantı 500 Gr,179.9,11070,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,0.0,0.0
Alan Kuru Sele Zeytin - 500 Gr.,199.95,9002,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,0.0,0.0
