2026-09-18 07:05:04 [INFO] ==================================================
2026-09-18 07:05:04 [INFO] Yapimaks Scraper basliyor (async)
2026-09-18 07:05:04 [INFO] ==================================================
2026-09-18 07:05:04 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-18 07:05:04 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-18 07:05:05 [INFO] Cookie basariyla alindi.
2026-09-18 07:05:05 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-18 07:05:06 [INFO] Sitemap'ten toplam 8395 urun URL'si bulundu.
2026-09-18 07:05:06 [INFO] Dunun dosyasi: 2026-08-18.csv
2026-09-18 07:05:06 [INFO] Dunun dosyasinda 8396 urun var.
2026-09-18 07:05:06 [INFO] State dosyasi yok, dunun satirlariyla baslatildi.
2026-09-18 07:05:06 [WARNING] GUNLUK BUTCE: 8053 urun cekilmeye aday, ilk 2500 tazelenecek; kalan 5553 yarin (en bayatlar önce) devam eder (self-heal).
2026-09-18 07:05:06 [INFO] Tasinacak (degismeyen) urun: 8396 | Yeniden cekilecek: 2500
2026-09-18 07:05:06 [INFO] [15821] 'ACİL ÇIKIŞ ARMATÜR EXIT SOL 3 SAAT AKÜLÜ' | 225.00 TL | SKU: CATA.CT9170
2026-09-18 07:05:06 [INFO] [15820] 'ACİL ÇIKIŞ ARMATÜR EXIT AŞAĞI 3 SAAT AKÜ' | 225.00 TL | SKU: CATA.CT9167
2026-09-18 07:05:06 [INFO] [14029] 'AĞAÇ KESİM MOTORU BENZİNLİ TESTERE 41CC ' | 5500.00 TL | SKU: KAMA.KMR41
2026-09-18 07:05:07 [INFO] [459] 'AGT SÜPÜRGELİK 8cm NATURA PS08000' | 140.00 TL | SKU: AGT.120022744
2026-09-18 07:05:08 [INFO] [11244] 'AĞAÇ KESİM MOTORU TESTERE 46CC KAMA' | 5750.00 TL | SKU: KAMA.KMR46
2026-09-18 07:05:10 [INFO] [15866] 'ALÇIPAN TÖRPÜ YEDEĞİ 60mm  STANLEY' | 199.00 TL | SKU: STANLEY.5-21-515
2026-09-18 07:05:11 [INFO] [15864] 'ALÇI MALASI PLASTİK AÇIK SAP 35 CM DEKOR' | 369.00 TL | SKU: DEKOR.093
2026-09-18 07:05:12 [INFO] [12840] 'AMPUL LEDOLET FLAMENT ST64 4W SARI 2700K' | 80.00 TL | SKU: LEDOLET.ST64
2026-09-18 07:05:13 [INFO] [15845] 'AMPUL SENSÖRLÜ LED 9W BEYAZ 6500K LEDOLE' | 110.00 TL | SKU: LEDOLET.512.002.180
2026-09-18 07:05:15 [INFO] [10004] 'ANKASTRE STOP VALF 1/2 (VOLANLI)' | 685.00 TL | SKU: VİSAM.890.006
2026-09-18 07:05:16 [INFO] [3250] 'AĞAÇ KESİM MOTORU TEST ELEKTRİK EX75043A' | 5250.00 TL | SKU: EUROMAX.EX75043A
2026-09-18 07:05:17 [INFO] [1546] 'ARDUAZLI POLİROOF PR-4500 HARDAL (-5) 3.' | 1950.00 TL | SKU: BTM.0025
2026-09-18 07:05:18 [INFO] [478] 'AGT PARKE BELLA AKASYA NEO (2,292m2)' | 992.00 TL | SKU: AGT.120028461
2026-09-18 07:05:20 [INFO] [789] 'ASMA TAVAN KAROPAN T24 L KÖŞE 3M 1 1AD (' | 67.50 TL | SKU: ASMAT.041
2026-09-18 07:05:21 [INFO] [7980] 'AVUÇ TAŞLAMA RTM 1090 125 MM 950W RTRMAX' | 2950.00 TL | SKU: RTRMAX.RTM1090
2026-09-18 07:05:22 [INFO] [15840] 'APLİK DUVAR LED HAİTİ 10W 3200K GÜNIŞIĞI' | 205.00 TL | SKU: CATA.CT8011G
2026-09-18 07:05:23 [INFO] [448] 'AGT SÜPÜRGELİK 6cm ANTALYA ÇAM SPR-5030' | 100.00 TL | SKU: AGT.120020463
2026-09-18 07:05:25 [INFO] [6844] 'AYAK LÜKENS BEYAZ 10 CM DESENLİ' | 40.00 TL | SKU: NOBEL.73101032
2026-09-18 07:05:26 [INFO] [15106] 'AMPUL LEDOLET FLAMENT 2200K SARI 4W G95' | 95.00 TL | SKU: LEDOLET.G95
2026-09-18 07:05:27 [INFO] [13319] 'AYAK KOLTUK DESTEK KAHVE 16 CM' | 79.00 TL | SKU: NOBEL.12801635
2026-09-18 07:05:28 [INFO] [795] 'ASMA TAVAN KAROPAN KÜRE BEYAZ 60*60 8MM ' | 62.50 TL | SKU: ASMAT.052
2026-09-18 07:05:30 [INFO] [13687] 'BAHÇE AYDINLATMASI APLİK PRİZMA-2 40W Sİ' | 520.00 TL | SKU: HOROZ.400-010-144
