2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Yapimaks Scraper basliyor (async)
2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-19 07:02:58 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-19 07:02:59 [INFO] Cookie basariyla alindi.
2026-09-19 07:02:59 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-19 07:02:59 [INFO] Sitemap'ten toplam 8384 urun URL'si bulundu.
2026-09-19 07:02:59 [INFO] Dunun dosyasi: 2026-09-18.csv
2026-09-19 07:03:00 [INFO] Dunun dosyasinda 8586 urun var.
2026-09-19 07:03:00 [WARNING] GUNLUK BUTCE: 5617 urun cekilmeye aday, ilk 2500 tazelenecek; kalan 3117 yarin (en bayatlar önce) devam eder (self-heal).
2026-09-19 07:03:00 [INFO] Tasinacak (degismeyen) urun: 8586 | Yeniden cekilecek: 2500
2026-09-19 07:03:00 [INFO] [4830] '25 1/2 TE DIŞ DİŞLİ KALDE' | 82.00 TL | SKU: KALDE.3222TMO250B25
2026-09-19 07:03:00 [INFO] [4809] '25 1/2 DIŞ DİŞLİ DİRSEK PPRC KALDE' | 123.00 TL | SKU: KALDE.3222EMO250B00
2026-09-19 07:03:00 [INFO] [4836] '25 1/2 OYNAR BAŞLI REKOR DİŞİ KALDE' | 171.00 TL | SKU: KALDE.3252TUF250B00
2026-09-19 07:03:01 [INFO] [4831] '25 3/4 TE DIŞ DİŞLİ PPRC KALDE' | 120.00 TL | SKU: KALDE.3222TMO250C25
2026-09-19 07:03:02 [INFO] [8013] 'AKÜ 18 V 5 AH RTX1805 X-LION RTRMAX' | 3250.00 TL | SKU: RTRMAX.RTX1805
2026-09-19 07:03:04 [INFO] [4817] '25 3/4 İÇ DİŞLİ REKOR PPRC KALDE' | 71.00 TL | SKU: KALDE.3222NFO250C00
2026-09-19 07:03:05 [INFO] [10244] 'ALASKA SEHPA XL KAHVE PLASTİK YÜCEL' | 1980.00 TL | SKU: YÜCEL.024
2026-09-19 07:03:06 [INFO] [9307] 'ALÇ.VİDASI MUHTELİF KG' | 500.00 TL | SKU: STD.ALÇ.VİD.MUH.001
2026-09-19 07:03:07 [INFO] [10239] 'ALASKA KOLTUK ANTRASİT YÜCEL (MİNDER HAR' | 3800.00 TL | SKU: YÜCEL.019
2026-09-19 07:03:09 [INFO] [13040] 'ALÇI MALA AÇIK SAP 40 CM DUYAR 233' | 250.00 TL | SKU: DUYAR.233
2026-09-19 07:03:10 [INFO] [14477] 'ASTAR DIŞ CEPHE NUCLEUS PANZER RG-1 (15 ' | 2500.00 TL | SKU: FİLLİ.NUCLEUS.2501-2487-02-00000.RG1.15L
2026-09-19 07:03:11 [INFO] [4822] '25 3/4 DIŞ DİŞLİ REKOR PPRC KALDE(ERKEK ' | 80.00 TL | SKU: KALDE.3222NMO250C00
2026-09-19 07:03:12 [INFO] [3440] 'AUTOKIT ÖN CAM METALİZE GÜNEŞLİK FA1-626' | 229.00 TL | SKU: AUTOKİT.FA1-626
2026-09-19 07:03:14 [INFO] [3391] 'AUTOKIT OTO EV MULTİ SPREY KOKU KAVUN 50' | 229.00 TL | SKU: AUTOKİT.FA1-196
2026-09-19 07:03:15 [INFO] [10248] 'ALASKA MİNDER KOLTUK ANTRASİT YÜCEL 1 AD' | 540.00 TL | SKU: YÜCEL.028
2026-09-19 07:03:16 [INFO] [3419] 'AUTOKIT LİMON KOLONYASI 400ML MAGİC DOSE' | 152.00 TL | SKU: AUTOKİT.FA1-323
2026-09-19 07:03:17 [INFO] [3487] 'AUTOKIT OTO HAVALANDIRMA KOKU MANGO AİR ' | 91.00 TL | SKU: AUTOKİT.FA2-1152
2026-09-19 07:03:19 [INFO] [3488] 'AUTOKIT OTO HAVALANDIRMA KOKU ENDLESS LO' | 91.00 TL | SKU: AUTOKİT.FA2-1153
