2026-09-21 07:38:47 [INFO] ==================================================
2026-09-21 07:38:47 [INFO] Yapimaks Scraper basliyor (async)
2026-09-21 07:38:47 [INFO] ==================================================
2026-09-21 07:38:47 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-21 07:38:47 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-21 07:38:48 [INFO] Cookie basariyla alindi.
2026-09-21 07:38:48 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-21 07:38:49 [INFO] Sitemap'ten toplam 8389 urun URL'si bulundu.
2026-09-21 07:38:49 [INFO] Dunun dosyasi: 2026-09-20.csv
2026-09-21 07:38:49 [INFO] Dunun dosyasinda 8594 urun var.
2026-09-21 07:38:49 [INFO] GUNLUK BUTCE: 1224 urun aday — hepsi bu koşuda tazelenir.
2026-09-21 07:38:49 [INFO] Tasinacak (degismeyen) urun: 8594 | Yeniden cekilecek: 1224
2026-09-21 07:38:49 [INFO] [9456] 'SET ELEKTRİK SETİ KONTROL KALEMİ+KLEMENS' | 115.00 TL | SKU: TEK-İŞ.522633
2026-09-21 07:38:50 [INFO] [13963] 'ŞERİT METRE 5m x 19mm ETVAL' | 150.00 TL | SKU: ETVAL.JH-N577
2026-09-21 07:38:50 [WARNING] [https://yapimaks.com/ray-spot-40w-4000k-9005-siyah-kasa-masialux-p13935] Urun parse hatasi (deneme 1/3): API yanitinda fiyat bulunamadi
2026-09-21 07:38:51 [INFO] [4413] 'ŞİBER VANA 1/2' | 480.00 TL | SKU: GMS.SV311
2026-09-21 07:38:52 [INFO] [12967] 'SİBOPLU KARTUŞ OCAK+230GR TÜP K/192-230 ' | 495.00 TL | SKU: ORCAMP.K/192-230
2026-09-21 07:38:53 [INFO] [9377] 'SÜZGEÇ 10X10 KROM KAPAK IZGARA' | 35.00 TL | SKU: SÜZGEÇ.MTS-602.184
2026-09-21 07:38:54 [INFO] [8908] 'SGS ŞAP MALASI ÜÇGEN' | 179.00 TL | SKU: SGS.994
2026-09-21 07:38:56 [INFO] [9374] 'SÜZGEÇ 15X15 METAL KAPAK YANDAN 50MM' | 139.00 TL | SKU: SÜZGEÇ.158542Y201515
2026-09-21 07:38:57 [INFO] [2726] 'SÜZGEÇ TELİ 80CM 16X18 (50) 1 M' | 75.00 TL | SKU: EBAX.015
2026-09-21 07:38:58 [INFO] [8801] 'SGS MERDİVEN KAYDIRMAZ BANT 50MMx5 MT' | 134.00 TL | SKU: SGS.2272
2026-09-21 07:38:59 [INFO] [14408] 'SÜZGEÇ 10X10 METAL ÇERÇEVE  KAPAK YANDAN' | 144.00 TL | SKU: SÜZGEÇ.158543A501011
2026-09-21 07:39:01 [INFO] [11676] 'SHATTAF ŞATAF TAHARET FİX KROM GRİ SET D' | 250.00 TL | SKU: DIAMOND.SHT3053
2026-09-21 07:39:02 [INFO] [339] 'TOREX AÇIK KANCA 19X70 + GRAPEX DÜBEL M6' | 55.00 TL | SKU: 8680613930332
2026-09-21 07:39:03 [INFO] [9317] 'SUNTA VİDASI MUHTELİF' | 425.00 TL | SKU: STD.SUNTA
2026-09-21 07:39:04 [INFO] [182] 'TOREX ÇATI VİDASI MATKAP UÇLU 5,5X25 AKB' | 47.00 TL | SKU: 8680613131364
2026-09-21 07:39:06 [INFO] [13934] 'SİBAX YANGIN SÖNDÜRÜCÜ SPREY SB112-1000 ' | 399.00 TL | SKU: SİBAX.SB112
2026-09-21 07:39:07 [INFO] [189] 'TOREX ÇATI VİDASI MATKAP UÇLU 6,3X32 AKB' | 47.00 TL | SKU: 8680613131432
2026-09-21 07:39:08 [INFO] [2665] 'TABAKLIK STEP KÜÇÜK ŞEFFAF' | 75.00 TL | SKU: DÜNYA.07108
2026-09-21 07:39:09 [INFO] [188] 'TOREX ÇATI VİDASI MATKAP UÇLU 6,3X25 AKB' | 47.00 TL | SKU: 8680613131425
2026-09-21 07:39:11 [INFO] [191] 'TOREX ÇATI VİDASI MATKAP UÇLU 6,3X50 AKB' | 47.00 TL | SKU: 8680613131456
2026-09-21 07:39:12 [INFO] [301] 'TOREX ÇELİK ÇİVİ 2X20 SARI FOSFAT 1P=76' | 47.00 TL | SKU: 8680613830038
2026-09-21 07:39:13 [WARNING] [https://yapimaks.com/ray-spot-40w-4000k-9005-siyah-kasa-masialux-p13935] Urun parse hatasi (deneme 2/3): API yanitinda fiyat bulunamadi
2026-09-21 07:39:14 [INFO] [302] 'TOREX ÇELİK ÇİVİ 2X25 SARI FOSFAT 1P=70' | 47.00 TL | SKU: 8680613830045
2026-09-21 07:39:16 [INFO] [12470] 'TORNAVİDA SETİ 5 Lİ RH07825 RTRMAX' | 315.00 TL | SKU: RTRMAX.RH07825
2026-09-21 07:39:17 [INFO] [5889] 'TRP.VİDA 5,5*60 6MM 1 AD' | 2.75 TL | SKU: MERİDYEN.5.5X60
2026-09-21 07:39:18 [INFO] [9115] 'TRP.VİDA 5,5*90-5MM 1 AD' | 4.00 TL | SKU: STD.900146700
2026-09-21 07:39:19 [WARNING] [https://yapimaks.com/ray-spot-40w-4000k-9005-siyah-kasa-masialux-p13935] Urun parse hatasi (deneme 3/3): API yanitinda fiyat bulunamadi
2026-09-21 07:39:19 [ERROR] [https://yapimaks.com/ray-spot-40w-4000k-9005-siyah-kasa-masialux-p13935] Tum denemeler basarisiz: API yanitinda fiyat bulunamadi
2026-09-21 07:39:19 [WARNING] [https://yapimaks.com/ray-spot-40w-4000k-9005-siyah-kasa-masialux-p13935] Eski satir korundu, yarin tekrar denenir.
2026-09-21 07:39:21 [INFO] [5092] "TRİFONLU KELEPÇE UZUN (2') 70 LİK" | 32.50 TL | SKU: TRF.KELEPÇE.U07
2026-09-21 07:39:22 [INFO] [12347] 'TUTKAL AHŞAP BEYAZ 1/2 SU BAZLI 350 GR P' | 145.00 TL | SKU: PASS.PT01
2026-09-21 07:39:23 [INFO] [11771] 'YERSİL METAL 55CM İZMİR FIRÇA' | 225.00 TL | SKU: İZMİRFIRÇA.5594
2026-09-21 07:39:24 [INFO] [925] 'ZIMPARA RULO SÜNGER GREEN/GOLD 150 KUM A' | 75.00 TL | SKU: ATLAS.006.002.120
2026-09-21 07:39:26 [INFO] [923] 'ZIMPARA RULO SÜNGER GREEN/GOLD 80 KUM AT' | 75.00 TL | SKU: ATLAS.006.002.080
2026-09-21 07:39:27 [INFO] [924] 'ZIMPARA RULO SÜNGER GREEN/GOLD P-100 KUM' | 80.00 TL | SKU: ATLAS.006.78072754639
2026-09-21 07:39:28 [INFO] [9837] 'TOSHİBA PİL İNCE AAA LR03 TEKLİ' | 32.50 TL | SKU: TOSHİBA.LR03GCP.BP1X10
2026-09-21 07:39:29 [INFO] [6548] 'TABLO ASKI KANCASI 5 ADET' | 13.00 TL | SKU: NOBEL.347263
2026-09-21 07:39:31 [INFO] [1837] 'TÜP ÇEK TEKERLEKLİ' | 405.00 TL | SKU: ÇELİKAYNA.702
2026-09-21 07:39:32 [INFO] [12572] 'TABAKLIK TEK KATLI SİYAH METAL' | 650.00 TL | SKU: ACERO.20362
2026-09-21 07:39:33 [INFO] [15284] 'TAKIM ÇANTASI 19" METAL KİLİTLİ JMT-19 M' | 750.00 TL | SKU: MANO.JMT-19
2026-09-21 07:39:34 [INFO] [15271] 'TAMİR BANDI ÇAMUR/SAKIZ 100 MMX2 MT' | 105.00 TL | SKU: WONDER.WBÇ1002
2026-09-21 07:39:36 [INFO] [15301] 'MUSLUK ADAPTÖRÜ 1/2-3/4 DY8024GL' | 60.00 TL | SKU: DAYE.8024GL
2026-09-21 07:39:37 [INFO] [168] 'TOREX ALÇIPAN VİDASI MATKAP UÇLU 3,5X35 ' | 47.00 TL | SKU: 8680613130725
2026-09-21 07:39:38 [INFO] [941] 'ZIMPARA SU NO : 240' | 50.00 TL | SKU: ATLAS.240
2026-09-21 07:39:39 [INFO] [3578] 'SICAK HAVA TABANCASI 2000W FASTBOND 2730' | 1400.00 TL | SKU: FASTBOND.27305
2026-09-21 07:39:41 [INFO] [11995] 'SİLİKON BEYAZ ANTİ KÜF NÖTR TYTAN 280 ML' | 185.00 TL | SKU: SELENA.10051326
2026-09-21 07:39:42 [INFO] [11996] 'SİLİKON ŞEFFAF ANTİ KÜF NÖTR TYTAN 280 M' | 185.00 TL | SKU: SELENA.177
2026-09-21 07:39:43 [INFO] [6028] 'TRP.VİDA 5,5x75 6MM 1 AD' | 3.65 TL | SKU: MERİDYEN.TRP5575
2026-09-21 07:39:44 [INFO] [942] 'ZIMPARA SU NO : 280' | 50.00 TL | SKU: ATLAS.280
